Frame,MSE
0,0
1,0.009564043
2,0.01931449
3,0.01697052
4,0.01543799
5,0.01166508
6,0.01105523
7,0.01079287
8,0.009701112
9,0.009405759
10,0.009188529
11,0.009272841
12,0.009370246
13,0.009137021
14,0.009079244
15,0.008063451
16,0.007990814
17,0.00788371
18,0.007619409
19,0.007484907
20,0.007397469
21,0.007287174
22,0.007305386
23,0.007236333
24,0.007179275
25,0.00720236
26,0.007211133
27,0.007234648
28,0.007130293
29,0.006905683
30,0.006861608
31,0.006707421
32,0.00660278
33,0.006563848
34,0.006443602
35,0.006390937
36,0.005858855
37,0.005791269
38,0.005745552
39,0.005763175
40,0.005742841
41,0.005561741
42,0.005631273
43,0.00509707
44,0.005124719
45,0.005147332
46,0.005060195
47,0.00515131
48,0.005146905
49,0.004980479
50,0.004520589
51,0.004415675
52,0.004480872
53,0.004430884
54,0.004405561
55,0.00436672
56,0.004324093
57,0.004258488
58,0.004311945
59,0.003488545
60,0.002836768
61,0.002803966
62,0.002807608
63,0.002745798
64,0.002944532
65,0.00276205
66,0.002592524
67,0.002433186
68,0.002371989
69,0.002407178
70,0.002269875
71,0.002295845
72,0.002280532
73,0.002279933
74,0.002350504
75,0.002274232
76,0.002250984
77,0.002148053
78,0.002026111
79,0.002010891
80,0.00195226
81,0.00214762
82,0.002288974
83,0.002005282
84,0.001989156
85,0.001960887
86,0.001895198
87,0.002338655
88,0.002387018
89,0.00173355
90,0.001696352
91,0.001653339
92,0.001498091
93,0.001456007
94,0.001421186
95,0.001406338
96,0.001399912
97,0.001423948
98,0.001437455
99,0.001515447
100,0.001506454
101,0.00141573
102,0.001425938
103,0.00666037
104,0.005607218
105,0.005609111
106,0.005368753
107,0.005307198
108,0.005558848
109,0.005450203
110,0.005174601
111,0.005204158
112,0.005217467
113,0.004351419
114,0.00408136
115,0.006158329
116,0.005653168
117,0.005294177
118,0.006155776
119,0.006723472
120,0.004730009
121,0.005806831
122,0.005932085
123,0.005501671
124,0.005584377
125,0.005914154
126,0.005942254
127,0.005793975
128,0.005647893
129,0.004940844
130,0.006253483
131,0.0072285
132,0.00838907
133,0.008707721
134,0.008627969
135,0.00847995
136,0.008387324
137,0.008683695
138,0.008543757
139,0.008514259
140,0.007664891
141,0.006367878
142,0.006186814
143,0.005690444
144,0.005625884
145,0.005739407
146,0.005100171
147,0.005212737
148,0.00575765
149,0.005666329
150,0.005853243
151,0.006025922
152,0.00670139
153,0.007052745
154,0.007820155
155,0.01008574
156,0.01002888
157,0.01014684
158,0.009327142
159,0.008921122
160,0.008885032
161,0.008700438
162,0.008550741
163,0.00833569
164,0.008123446
165,0.007970311
166,0.00781247
167,0.007677588
168,0.007623437
169,0.007263665
170,0.00704773
171,0.006908057
172,0.006795477
173,0.00674815
174,0.006450284
175,0.006426644
176,0.00607282
177,0.006289759
178,0.006273212
179,0.006307077
180,0.007836631
181,0.007744123
182,0.007372685
183,0.006298555
184,0.00622662
185,0.006059849
186,0.005577283
187,0.00556327
188,0.00559667
189,0.005600017
190,0.005614022
191,0.005609199
192,0.005474128
193,0.005473619
194,0.005415256
195,0.005370166
196,0.005285709
197,0.005115323
198,0.00506262
199,0.004914567
200,0.004199851
201,0.003977865
202,0.003811903
203,0.003742594
204,0.003746145
205,0.003737528
206,0.003739554
207,0.003752449
208,0.003680015
209,0.003469859
210,0.003353081
211,0.002946406
212,0.002891007
213,0.002908454
214,0.002993262
