Frame,MSE
0,0
1,0.0134089
2,0.01326809
3,0.01323957
4,0.0131371
5,0.01324168
6,0.01319573
7,0.01322146
8,0.01325535
9,0.01319114
10,0.01324172
11,0.01325526
12,0.01317285
13,0.01317389
14,0.0131814
15,0.01293573
16,0.01291724
17,0.01295941
18,0.01286981
19,0.01287543
20,0.01286368
21,0.01282192
22,0.01346594
23,0.01356562
24,0.01359108
25,0.01343239
26,0.01336997
27,0.01351623
28,0.01340879
29,0.01306758
30,0.01301254
31,0.01322507
32,0.01331874
33,0.01288638
34,0.01295218
35,0.0129166
36,0.01291199
37,0.01289729
38,0.01292008
39,0.01298545
40,0.01290115
41,0.01287539
42,0.01297213
43,0.0130464
44,0.01310204
45,0.01321426
46,0.01310893
47,0.01327593
48,0.01313925
49,0.0131855
50,0.01336052
51,0.0134295
52,0.01358446
53,0.01359957
54,0.01354489
55,0.0135152
56,0.01350738
57,0.01441049
58,0.01449458
59,0.01420946
60,0.01425623
61,0.01435629
62,0.01438438
63,0.01451898
64,0.01437441
65,0.01419327
66,0.01422439
67,0.01426438
68,0.01437275
69,0.01424859
70,0.01422759
71,0.0142946
72,0.01431173
73,0.01434381
74,0.0144073
75,0.01432973
76,0.01423378
77,0.01421113
78,0.01402838
79,0.01401272
80,0.01400749
81,0.01398322
82,0.01400338
83,0.01404408
84,0.01412555
85,0.01441778
86,0.01445933
87,0.01438687
88,0.01436433
89,0.01428906
90,0.01436831
91,0.01449472
92,0.0151033
93,0.01521686
94,0.01514149
95,0.01521
96,0.01529679
97,0.01527821
98,0.01539767
99,0.01546434
100,0.01703783
101,0.01727046
102,0.01709793
103,0.01701861
104,0.01712703
105,0.01717618
106,0.01683004
107,0.01837928
108,0.01805155
109,0.01824849
110,0.01802626
111,0.01729045
112,0.01724357
113,0.01715438
114,0.01825416
115,0.01845051
116,0.0182297
117,0.0184292
118,0.01827881
119,0.01818701
120,0.0180156
121,0.01945763
122,0.01936762
123,0.01943013
124,0.01950739
125,0.01961472
126,0.01959313
127,0.01965995
128,0.01953789
129,0.01965357
130,0.01976626
131,0.01987872
132,0.01996529
133,0.01995155
134,0.02014233
135,0.01846236
136,0.01857306
137,0.01879069
138,0.01863679
139,0.01869052
140,0.01890813
141,0.01910878
142,0.01753846
143,0.01759043
144,0.01760371
145,0.01765741
146,0.01811116
147,0.0180336
148,0.01815529
149,0.01645845
150,0.01666027
151,0.01687035
152,0.01688124
153,0.01704143
154,0.01706148
155,0.01717038
156,0.01569225
157,0.01574749
158,0.01584356
159,0.0159455
160,0.01592155
161,0.01603379
162,0.01595449
163,0.01442789
164,0.01452732
165,0.01459166
166,0.01466909
167,0.01472016
168,0.01480142
169,0.01498204
170,0.01380379
