Frame,MSE
0,0
1,0.01576688
2,0.0428067
3,0.01782979
4,0.01674255
5,0.0160191
6,0.01258695
7,0.01534712
8,0.01253767
9,0.02321575
10,0.02297046
11,0.0119361
12,0.01087406
13,0.01040405
14,0.01384252
15,0.01205013
16,0.01551465
17,0.01380604
18,0.01531133
19,0.01427154
20,0.0127375
21,0.0128888
22,0.01049891
23,0.009852641
24,0.008826304
25,0.009542117
26,0.008000268
27,0.009226004
28,0.008351942
29,0.00733748
30,0.007731178
31,0.00727662
32,0.007992308
33,0.007365791
34,0.008035092
35,0.008740604
36,0.006557783
37,0.006619929
38,0.007649309
39,0.008562723
40,0.01034877
41,0.007184918
42,0.007836008
43,0.006417423
44,0.006297427
45,0.006364872
46,0.008321823
47,0.007017847
48,0.005926172
49,0.00586797
50,0.005009491
51,0.004607035
52,0.004490651
53,0.004365736
54,0.004473024
55,0.004104615
56,0.004911995
57,0.004537109
58,0.00473434
59,0.003873825
60,0.003936626
61,0.003618763
62,0.00393462
63,0.003907016
64,0.004244749
65,0.003848166
66,0.003742389
67,0.003886922
68,0.003974095
69,0.004019124
70,0.004574136
71,0.006059681
72,0.004389753
73,0.003796047
74,0.004007455
75,0.00509237
76,0.004269535
77,0.003849004
78,0.004197117
79,0.004605282
80,0.00453924
81,0.005562556
82,0.003845556
83,0.004370231
84,0.003316877
85,0.00309748
86,0.002922645
87,0.003996851
88,0.003387324
89,0.002732046
90,0.002722881
91,0.002460485
92,0.002360899
93,0.00213019
94,0.002068402
95,0.002102229
96,0.001972804
97,0.002151305
98,0.00197756
99,0.002102029
100,0.001994858
101,0.001922734
102,0.001915567
103,0.006267722
104,0.007273601
105,0.005186855
106,0.005617061
107,0.00539896
108,0.004813408
109,0.004847662
110,0.007250566
111,0.004763218
112,0.005627048
113,0.004544845
114,0.008554512
115,0.009465139
116,0.00482342
117,0.005194007
118,0.005965258
119,0.005585283
120,0.003752781
121,0.004524216
122,0.004011759
123,0.003283237
124,0.003157791
125,0.003830041
126,0.004063254
127,0.005105889
128,0.005364924
129,0.005707353
130,0.007987897
131,0.007959178
132,0.005883967
133,0.007372907
134,0.008588032
135,0.007941924
136,0.008529331
137,0.007047329
138,0.007477727
139,0.007868603
140,0.009445121
141,0.01260905
142,0.01305902
143,0.01053838
144,0.01023387
145,0.01220675
146,0.01079515
147,0.009780241
148,0.007281313
149,0.006863405
150,0.00638438
151,0.006260186
152,0.008678886
153,0.01020759
154,0.01112948
155,0.01910228
156,0.02000744
157,0.01738233
158,0.01743248
159,0.01034583
160,0.01166397
161,0.01281981
162,0.008902766
163,0.007218804
164,0.009011281
165,0.00786795
166,0.01194041
167,0.008437539
168,0.007069311
169,0.007437652
170,0.007015366
171,0.00758846
172,0.007424085
173,0.007836584
174,0.007997734
175,0.008628259
176,0.007282836
177,0.00745274
178,0.006943064
179,0.006719107
180,0.00673216
181,0.005944425
182,0.006030633
183,0.005681832
184,0.005243808
185,0.005714384
186,0.005707127
187,0.005400647
188,0.005440123
189,0.004380008
190,0.005608587
191,0.005280877
192,0.005802043
193,0.005404884
194,0.005259995
195,0.004919648
196,0.005953531
197,0.005962024
198,0.00546317
199,0.005247269
200,0.005182388
201,0.00523543
202,0.005320583
203,0.004847968
204,0.004763139
205,0.003950961
206,0.003742093
207,0.003362244
208,0.002717135
209,0.002801471
210,0.002841454
211,0.002648136
212,0.00333282
213,0.0037479
214,0.004212626
215,0.004310505
216,0.004185995
217,0.003354907
218,0.004202187
219,0.004062104
220,0.003604207
