Frame,MSE
0,0
1,0.007043458
2,0.007016012
3,0.007030563
4,0.007030682
5,0.007045739
6,0.007044987
7,0.007095664
8,0.007124737
9,0.007075645
10,0.007110513
11,0.007126817
12,0.007105242
13,0.007106596
14,0.007079127
15,0.006986298
16,0.006986544
17,0.006980122
18,0.00704082
19,0.006984354
20,0.006975304
21,0.006963389
22,0.007171223
23,0.007187115
24,0.007201626
25,0.007217299
26,0.00718066
27,0.007180338
28,0.007153046
29,0.006975817
30,0.007000826
31,0.007002256
32,0.007021746
33,0.006997629
34,0.007019283
35,0.007015203
36,0.006882029
37,0.006936434
38,0.00691094
39,0.00690843
40,0.006957312
41,0.007009414
42,0.006990179
43,0.006955042
44,0.006954079
45,0.006969552
46,0.007040319
47,0.007003232
48,0.007009724
49,0.007008358
50,0.007128454
51,0.007277949
52,0.007310567
53,0.007300825
54,0.007343943
55,0.00739651
56,0.007456854
57,0.007757206
58,0.007813456
59,0.007788356
60,0.00772239
61,0.007759974
62,0.007750603
63,0.007800438
64,0.007756618
65,0.007772778
66,0.007762258
67,0.007771189
68,0.007749481
69,0.007783642
70,0.007737126
71,0.007771544
72,0.007726793
73,0.007723484
74,0.00774672
75,0.007732573
76,0.007731318
77,0.00769466
78,0.00758909
79,0.007389357
80,0.007170318
81,0.007034542
82,0.007056365
83,0.007054575
84,0.007067937
85,0.007205578
86,0.007269788
87,0.007227914
88,0.007240063
89,0.00724497
90,0.007245636
91,0.007301225
92,0.007492971
93,0.007503473
94,0.00747365
95,0.007421435
96,0.007419158
97,0.007433066
98,0.007464043
99,0.007465874
100,0.007300143
101,0.007304982
102,0.007188844
103,0.007200547
104,0.007209744
105,0.007173747
106,0.007124857
107,0.007246316
108,0.007193277
109,0.007220807
110,0.007129793
111,0.007147143
112,0.007128929
113,0.007108665
114,0.007174317
115,0.007219591
116,0.007168384
117,0.007059747
118,0.006984882
119,0.006987099
120,0.006918367
121,0.006728245
122,0.006693519
123,0.006712166
124,0.006741424
125,0.006840893
126,0.006843843
127,0.00684716
128,0.00643976
129,0.006472468
130,0.006485291
131,0.006543995
132,0.006535856
133,0.006591017
134,0.006642034
135,0.006500559
136,0.006505139
137,0.006546617
138,0.006479868
139,0.006443453
140,0.00644334
141,0.00649785
142,0.006228041
143,0.006243295
144,0.006229421
145,0.006160451
146,0.006147479
147,0.006095441
148,0.006156619
149,0.006118158
150,0.006116937
151,0.006155449
152,0.006149305
153,0.006168254
154,0.006187109
155,0.006209593
156,0.005903888
157,0.005910539
158,0.005909056
159,0.005926233
160,0.005889229
161,0.005927497
162,0.005879293
163,0.005714957
164,0.005746132
165,0.005778959
166,0.005835819
167,0.005857671
168,0.005867804
169,0.005914909
170,0.005694194
171,0.005721746
172,0.005641404
173,0.0056188
174,0.005616975
175,0.005526934
176,0.005509591
177,0.005372604
178,0.005376606
179,0.00539329
180,0.005403905
181,0.005408142
182,0.005411812
183,0.005403074
184,0.005501018
185,0.005465453
186,0.005438339
187,0.00544905
188,0.005422086
189,0.005436939
190,0.005416472
191,0.005399632
192,0.005388343
193,0.005405754
194,0.005395281
195,0.005353327
196,0.005338873
197,0.005336116
198,0.005304885
199,0.005304982
200,0.005286067
201,0.005290314
202,0.005317525
203,0.005303863
204,0.00530276
205,0.005542146
206,0.00545228
207,0.005449154
208,0.005428786
209,0.005436761
210,0.005451287
211,0.005463426
212,0.005766321
213,0.005740609
214,0.005729862
215,0.005777396
216,0.005700605
217,0.005661058
218,0.005679832
219,0.005900546
220,0.005871844
221,0.005883004
222,0.005909982
223,0.005953934
224,0.005906127
225,0.005900139
226,0.006358334
227,0.006316097
228,0.006299138
229,0.006306053
230,0.006294276
231,0.006305311
232,0.006271821
233,0.006522109
234,0.006495975
235,0.006479199
236,0.006483254
237,0.006474304
238,0.00657372
239,0.006463549
240,0.006803222
241,0.006823135
242,0.006793975
243,0.006791736
244,0.006714334
245,0.006745251
246,0.006782708
247,0.007289494
248,0.007336478
249,0.007297892
250,0.007420138
251,0.007259156
252,0.007159369
253,0.007233295
254,0.007322734
255,0.007337759
256,0.007297392
257,0.007281931
258,0.007307892
259,0.007157885
260,0.007131077
261,0.007190178
262,0.007169362
263,0.007170872
264,0.007224024
265,0.007219334
266,0.007184319
267,0.007171309
268,0.007221119
269,0.007288128
270,0.007276482
271,0.007229867
272,0.007222317
273,0.007177106
274,0.007057322
275,0.006989602
276,0.00707593
277,0.007093546
278,0.007092965
279,0.007101414
280,0.007093984
281,0.007124998
282,0.007095688
283,0.007039904
284,0.007068345
285,0.007129345
286,0.00715378
287,0.007184504
288,0.007222251
289,0.007275016
290,0.007306345
291,0.0072088
292,0.007261246
293,0.007234958
294,0.007321948
295,0.007266522
296,0.007037998
297,0.007051993
298,0.007071564
299,0.007044511
300,0.007018446
301,0.006957634
302,0.006939533
303,0.007020655
304,0.007020953
305,0.006994058
306,0.007400006
307,0.007457675
308,0.007494045
309,0.00742186
310,0.007435386
311,0.007423346
312,0.007255093
313,0.007109913
314,0.007119258
315,0.00710877
316,0.006995033
317,0.006974176
318,0.007004383
319,0.00700336
320,0.006943507
321,0.006972589
322,0.007038468
323,0.00705982
324,0.007011569
325,0.007008082
326,0.006933974
327,0.006910639
328,0.006929354
329,0.006923108
