Frame,MSE
0,0
1,0.01569082
2,0.04283531
3,0.01735967
4,0.01767279
5,0.01687338
6,0.01619224
7,0.01658193
8,0.01746634
9,0.0246609
10,0.0249526
11,0.01070775
12,0.007525362
13,0.01028343
14,0.01008993
15,0.009683938
16,0.006696282
17,0.007514111
18,0.007351985
19,0.007159015
20,0.006804354
21,0.008720121
22,0.008203693
23,0.008234639
24,0.009056775
25,0.008568183
26,0.008625154
27,0.0110736
28,0.01013126
29,0.008373693
30,0.0132408
31,0.01009332
32,0.008180196
33,0.009064574
34,0.00447604
35,0.004955121
36,0.004396552
37,0.005759519
38,0.005244802
39,0.005719879
40,0.00787586
41,0.007105311
42,0.007791886
43,0.007507875
44,0.006663028
45,0.005978251
46,0.006710741
47,0.00607048
48,0.005306026
49,0.004254898
50,0.003778177
51,0.003803571
52,0.003362041
53,0.003589157
54,0.003607162
55,0.003392115
56,0.003432251
57,0.003952256
58,0.003794778
59,0.00342323
60,0.003560971
61,0.003409738
62,0.003484402
63,0.00296609
64,0.003011812
65,0.002753934
66,0.002697539
67,0.002637791
68,0.002873964
69,0.002979664
70,0.003230626
71,0.002584658
72,0.002596215
73,0.003151236
74,0.003018923
75,0.003332538
76,0.003078434
77,0.002904803
78,0.00235033
79,0.002387117
80,0.002283326
81,0.002332846
82,0.002524598
83,0.002936634
84,0.001992031
85,0.002799953
86,0.001901334
87,0.002690617
88,0.002443954
89,0.001949844
90,0.001679548
91,0.001623951
92,0.001674624
93,0.001445863
94,0.001559007
95,0.00165814
96,0.001767557
97,0.001471602
98,0.001506893
99,0.00160142
100,0.001543626
101,0.001587719
102,0.001607898
103,0.005368731
104,0.00512655
105,0.006423517
106,0.006655031
107,0.005907754
108,0.008353536
109,0.005763847
110,0.004448857
111,0.004637717
112,0.005892974
113,0.005793716
114,0.009687697
115,0.01032717
116,0.006684772
117,0.006971352
118,0.00570921
119,0.006338986
120,0.00460175
121,0.01076302
122,0.007587772
123,0.006058773
124,0.007284342
125,0.009625559
126,0.01039057
127,0.01410896
128,0.01460475
129,0.01472878
130,0.01674023
131,0.01734549
132,0.01492456
133,0.01474621
134,0.01512608
135,0.01424114
136,0.01313028
137,0.01398849
138,0.0144304
139,0.01489462
140,0.01875933
141,0.008541306
142,0.008720953
143,0.01011002
144,0.005393601
145,0.006119637
146,0.005448571
147,0.00544874
148,0.006991622
149,0.009114674
150,0.008386438
151,0.006410185
152,0.007121725
153,0.00997954
154,0.007924817
155,0.008273551
156,0.009328314
157,0.009336332
158,0.008903523
159,0.008676545
160,0.007908681
161,0.009353641
162,0.006910867
163,0.005472838
164,0.006396742
165,0.006163098
166,0.007167909
167,0.007314302
168,0.006334889
169,0.005260244
170,0.005058012
171,0.005138205
172,0.005331656
173,0.00488464
174,0.006068155
175,0.006805219
176,0.005956915
177,0.006451015
178,0.006540814
179,0.006065067
180,0.01086381
181,0.00827293
182,0.007534128
183,0.00621345
184,0.004746877
185,0.006051864
186,0.005515732
187,0.005067524
188,0.005808628
189,0.005331163
190,0.00600398
191,0.006080287
192,0.006798465
193,0.007035294
194,0.006033438
195,0.005548507
196,0.00603873
197,0.004837896
198,0.004888989
199,0.004530893
200,0.004615096
201,0.004032349
202,0.003640428
203,0.003968767
204,0.00361582
205,0.002977427
206,0.00362151
207,0.003731362
208,0.003352221
209,0.003568161
210,0.003063822
211,0.00308547
212,0.003158442
213,0.003179236
214,0.003358814
215,0.003431191
216,0.003354889
217,0.003942763
218,0.004011258
219,0.002722563
220,0.002836195
221,0.002936492
222,0.003067122
223,0.003089681
224,0.002890325
225,0.002659387
226,0.002771203
227,0.00271266
228,0.002625034
229,0.002752375
230,0.002958809
231,0.003031393
232,0.0030599
233,0.004010975
234,0.002897102
235,0.002772562
236,0.002561504
