Frame,MSE
0,0
1,0.00717057
2,0.01153585
3,0.01119683
4,0.01202657
5,0.01071178
6,0.009977963
7,0.009282107
8,0.008182819
9,0.007342984
10,0.007909639
11,0.007147421
12,0.006973072
13,0.006859962
14,0.00713739
15,0.006070835
16,0.005665664
17,0.006014158
18,0.005796048
19,0.005527155
20,0.005348877
21,0.005242628
22,0.005020355
23,0.003724261
24,0.003624217
25,0.003492433
26,0.003557374
27,0.003602704
28,0.003460953
29,0.003499597
30,0.003373203
31,0.004002461
32,0.003426544
33,0.00342373
34,0.003188531
35,0.003004658
36,0.002576729
37,0.002718696
38,0.003049689
39,0.002896239
40,0.002533273
41,0.002380691
42,0.002895937
43,0.002734305
44,0.00255872
45,0.002623317
46,0.002549512
47,0.002508505
48,0.002641013
49,0.002574367
50,0.001970792
51,0.001770766
52,0.002596803
53,0.002376276
54,0.002583739
55,0.002484494
56,0.003098007
57,0.001794694
58,0.001769748
59,0.001665349
60,0.001623355
61,0.001707232
62,0.001663301
63,0.001646852
64,0.001644508
65,0.001549652
66,0.001625195
67,0.001588732
68,0.001767642
69,0.001605919
70,0.001596433
71,0.001722743
72,0.001693159
73,0.00170954
74,0.001764661
75,0.001756959
76,0.001782227
77,0.00171356
78,0.00166798
79,0.001736469
80,0.001605184
81,0.001873118
82,0.002022241
83,0.001909862
84,0.001653509
85,0.00169664
86,0.00158356
87,0.002106871
88,0.002170648
89,0.001558413
90,0.001465607
91,0.001283304
92,0.001208852
93,0.001172695
94,0.001126224
95,0.001115285
96,0.001071578
97,0.001106151
98,0.000973058
99,0.001064956
100,0.001086854
101,0.001069858
102,0.0008885385
103,0.00349661
104,0.003590614
105,0.003768942
106,0.004471011
107,0.00415563
108,0.004712688
109,0.004226611
110,0.003795858
111,0.00372546
112,0.004295589
113,0.002800665
114,0.002899719
115,0.003263229
116,0.003128229
117,0.003469184
118,0.003592835
119,0.005043161
120,0.004103821
121,0.005285576
122,0.004023663
123,0.003319438
124,0.01073337
125,0.01758342
126,0.01867631
