Frame,Variance
0,0
1,0.009565185
2,0.01927471
3,0.01616692
4,0.01253831
5,0.01136033
6,0.01105637
7,0.01079287
8,0.009697689
9,0.009405759
10,0.009188529
11,0.009272841
12,0.009369684
13,0.009136075
14,0.009079244
15,0.008060023
16,0.007990814
17,0.00788371
18,0.0076334
19,0.007483785
20,0.007390098
21,0.007288378
22,0.007306184
23,0.007237314
24,0.007179275
25,0.00720236
26,0.00721238
27,0.007234967
28,0.007125154
29,0.006909699
30,0.006861608
31,0.00670595
32,0.006605168
33,0.006564024
34,0.006441693
35,0.006390362
36,0.005855846
37,0.005791269
38,0.005745552
39,0.005763175
40,0.005742841
41,0.005561741
42,0.005631273
43,0.005093626
44,0.005124602
45,0.005147332
46,0.005060671
47,0.005151279
48,0.005147513
49,0.004980479
50,0.004520549
51,0.004416315
52,0.004480413
53,0.004431274
54,0.004405343
55,0.004365964
56,0.004324411
57,0.004259421
58,0.004311906
59,0.002834532
60,0.002826744
61,0.002804394
62,0.002796538
63,0.002711319
64,0.002837763
65,0.002595037
66,0.002468851
67,0.002363874
68,0.00234777
69,0.002395105
70,0.00226961
71,0.002295291
72,0.002280077
73,0.002279933
74,0.002350504
75,0.002274444
76,0.002250984
77,0.002148373
78,0.002026021
79,0.002010891
80,0.001953901
81,0.002147386
82,0.002289593
83,0.002005272
84,0.001988596
85,0.001959247
86,0.001893947
87,0.002330938
88,0.002385806
89,0.001732545
90,0.001696352
91,0.001634235
92,0.001489333
93,0.001446412
94,0.001421072
95,0.001403662
96,0.001397228
97,0.001421991
98,0.001437154
99,0.001515447
100,0.00150709
101,0.001415385
102,0.001423089
103,0.00590621
104,0.005352047
105,0.005267066
106,0.005059533
107,0.005363372
108,0.005580815
109,0.005475259
110,0.005228599
111,0.005271996
112,0.005223403
113,0.004351419
114,0.00408136
115,0.006129794
116,0.005653168
117,0.005294177
118,0.006155776
119,0.006750582
120,0.004730009
121,0.005806831
122,0.005932085
123,0.005501671
124,0.005584377
125,0.005914154
126,0.005905876
127,0.005082907
128,0.004656538
129,0.004940844
130,0.006253483
131,0.0072285
132,0.00838907
133,0.008707721
134,0.008627969
135,0.00847995
136,0.008387324
137,0.008683695
138,0.008543757
139,0.008514259
140,0.007664891
141,0.006367878
142,0.006186814
143,0.005832989
144,0.005625884
145,0.005739407
146,0.005100171
147,0.005212737
148,0.00575765
149,0.005666329
150,0.005853243
151,0.006080845
152,0.00670139
153,0.007052745
154,0.007820155
155,0.01005837
156,0.01002888
157,0.01014684
158,0.009327142
159,0.008916947
160,0.008885032
161,0.008700438
162,0.008554058
163,0.00833569
164,0.008123446
165,0.007970311
166,0.007811535
167,0.007678611
168,0.007623437
169,0.00723606
170,0.007050588
171,0.006908057
172,0.006805412
173,0.006629175
174,0.005826236
175,0.005396219
176,0.005380608
177,0.005565155
178,0.005549034
179,0.005687414
180,0.007415171
181,0.007358132
182,0.0070652
183,0.00627475
184,0.006231932
185,0.006059849
186,0.005576893
187,0.005565055
188,0.005599373
189,0.005600017
190,0.005609981
191,0.005615522
192,0.005474128
193,0.00547283
194,0.005416927
195,0.005372261
196,0.005292339
197,0.005127401
198,0.005058588
199,0.004347622
200,0.004192483
201,0.003977672
202,0.003811903
203,0.003742594
204,0.003746874
205,0.003737528
206,0.003739848
207,0.003752864
208,0.003680015
209,0.003469859
210,0.003353501
211,0.002946387
212,0.002891217
213,0.002908454
214,0.002993637
215,0.003020094
216,0.003039343
217,0.003070084
218,0.00297758
219,0.003229638
220,0.003212659
221,0.003410263
222,0.003444059
223,0.003409881
224,0.003407657
225,0.003483693
226,0.003472603
227,0.00342216
228,0.003397213
229,0.003630264
230,0.003703898
231,0.003590945
232,0.003776136
233,0.00406034
234,0.004071468
235,0.003821836
236,0.003720407
237,0.0037175
238,0.003696448
239,0.004713402
240,0.004559794
241,0.004472586
242,0.004479209
243,0.004552548
244,0.004566579
245,0.004538092
246,0.004462872
247,0.00465953
248,0.005190962
249,0.005802547
250,0.005813652
251,0.005234622
252,0.00488633
253,0.004445651
254,0.004403279
255,0.004112385
256,0.004154467
257,0.003576521
258,0.003541281
259,0.003665714
260,0.004005233
261,0.003622489
262,0.003618187
263,0.003594962
264,0.00333657
265,0.002900145
266,0.002941488
267,0.00314676
268,0.003075294
269,0.00304543
270,0.003180163
271,0.003672508
272,0.00367351
273,0.003762564
274,0.003934999
275,0.00407579
276,0.004472333
277,0.005894532
278,0.006091592
279,0.006153413
280,0.005895425
281,0.005254207
282,0.004989585
283,0.004652217
284,0.004242172
285,0.004522844
286,0.004146785
287,0.003323353
288,0.002876482
289,0.003188158
290,0.003301752
291,0.00373659
292,0.002748343
293,0.002201109
294,0.002096871
295,0.001769144
296,0.001793987
297,0.001749152
298,0.001676979
299,0.00128542
300,0.001155522
301,0.001170632
302,0.001236397
303,0.001504777
304,0.001780301
305,0.001840892
306,0.001839934
307,0.001693345
308,0.001748382
309,0.001783758
310,0.001858356
311,0.001967766
312,0.002074154
313,0.002124877
314,0.001980682
315,0.001950861
316,0.002067023
317,0.001997532
318,0.001774379
319,0.001660025
320,0.001601671
321,0.001577913
322,0.001572416
323,0.001539813
324,0.001527697
325,0.001586056
326,0.001618301
327,0.001596317
328,0.001448999
329,0.00143895
330,0.001473013
331,0.001647386
332,0.00167365
333,0.001717178
334,0.00149642
335,0.001409862
336,0.001425131
337,0.001392721
338,0.001214647
339,0.001070851
340,0.001046544
341,0.0010204
342,0.0009100486
343,0.0009167966
344,0.0009401562
345,0.0009672723
346,0.001020689
347,0.001043712
348,0.001143944
349,0.0009359584
350,0.000898071
351,0.0008718905
352,0.0008375254
353,0.0008480157
354,0.0008369241
355,0.0008487874
356,0.0008840613
357,0.0008662071
358,0.0008989469
359,0.0009113217
360,0.0009603979
361,0.0009220224
362,0.0009092789
363,0.0009721924
364,0.0009829757
365,0.0009905418
366,0.001009036
367,0.001025769
368,0.001018934
369,0.001068076
370,0.001126118
371,0.001170385
372,0.001197684
373,0.001187241
374,0.001159586
375,0.001184801
376,0.001193961
377,0.00113612
378,0.001169783
379,0.001163333
380,0.001139687
381,0.001146001
382,0.001167738
383,0.001227258
384,0.001187481
385,0.00121084
386,0.00126361
387,0.001295475
388,0.001315552
389,0.001363642
390,0.001375012
391,0.001420042
392,0.001511195
393,0.001478574
394,0.001484142
395,0.00145546
396,0.001436359
397,0.001421446
398,0.001479683
399,0.001481765
400,0.001487013
401,0.001483758
402,0.001501639
403,0.001506981
404,0.001573309
405,0.00162843
406,0.0016534
407,0.001786269
408,0.001725209
409,0.001586092
410,0.001483184
411,0.001384488
412,0.001246196
413,0.001219942
