Frame,Variance
0,0.0060327
1,0.005204126
2,0.004893563
3,0.00474834
4,0.005211114
5,0.004771725
6,0.004968204
7,0.005884198
8,0.006175381
9,0.006803134
10,0.007171995
11,0.006854211
12,0.00679238
13,0.006976326
14,0.006928577
15,0.007184243
16,0.00786718
17,0.008270296
18,0.008045055
19,0.007357551
20,0.007513462
21,0.008046109
22,0.007955299
23,0.007934269
24,0.00783167
25,0.007454242
26,0.007995475
27,0.008021342
28,0.009769
29,0.00908195
30,0.0147125
31,0.01011754
32,0.0081908
33,0.0118723
34,0.007515102
35,0.008096805
36,0.008942885
37,0.01085648
38,0.007906213
39,0.00808337
40,0.008875041
41,0.008419888
42,0.00687486
43,0.007326006
44,0.007446616
45,0.007421289
46,0.007886321
47,0.007763702
48,0.008803054
49,0.01073006
50,0.01023864
51,0.007742188
52,0.008462047
53,0.01569731
54,0.01147943
55,0.008677634
56,0.008231866
57,0.008410266
58,0.01110214
59,0.01013472
60,0.008317538
61,0.009370402
62,0.01118855
63,0.006668499
64,0.02049224
65,0.009594368
66,0.007074061
67,0.01802248
68,0.02467825
69,0.02073901
70,0.01856682
71,0.023562
72,0.02384037
73,0.02125847
74,0.0177289
75,0.01114939
76,0.02716622
77,0.02039912
78,0.01976881
79,0.01838773
80,0.01680252
81,0.01765806
82,0.01735536
83,0.01671687
84,0.01270806
85,0.01881138
86,0.02715794
87,0.02515831
88,0.02126132
89,0.01983788
90,0.01539825
91,0.01064454
92,0.0116832
93,0.01180818
94,0.01142972
95,0.01465475
96,0.01179504
97,0.01286903
98,0.02308308
99,0.02155021
100,0.01183082
101,0.01229245
102,0.0100215
103,0.01277935
104,0.01087248
105,0.009379536
106,0.009547836
107,0.01457066
108,0.01581991
109,0.01150994
110,0.01295697
111,0.01156218
112,0.01406307
113,0.02665601
114,0.01104166
115,0.01890207
116,0.01796201
117,0.009144709
118,0.009833378
119,0.02980211
120,0.03002084
121,0.03097681
122,0.0341167
123,0.03310625
124,0.03385305
125,0.03367991
126,0.03473114
127,0.03173106
128,0.03241584
129,0.03064088
130,0.03228288
131,0.03143853
132,0.03215697
133,0.02996754
134,0.02787657
135,0.008960251
136,0.01026675
137,0.009723006
138,0.01336267
139,0.01820805
140,0.01256353
141,0.01175772
142,0.01408982
143,0.01329018
144,0.01469966
145,0.01432553
146,0.01354851
147,0.01119471
148,0.01230892
149,0.01155922
150,0.01108162
151,0.01041626
152,0.01974988
153,0.01641932
154,0.009357634
155,0.0187391
156,0.01132971
157,0.01441365
158,0.01404409
159,0.01219945
160,0.01033464
161,0.01241757
162,0.007167704
163,0.00481563
164,0.005347277
165,0.006957851
166,0.007697442
167,0.007381014
168,0.01920713
169,0.01764954
170,0.0176025
171,0.017787
172,0.01800417
173,0.01730877
174,0.02181694
175,0.03672569
176,0.03040591
177,0.03071888
178,0.03799897
179,0.03036336
180,0.03234342
181,0.03412585
182,0.02996287
183,0.0302234
184,0.0338015
185,0.02831275
186,0.02992243
187,0.02457055
188,0.02911596
189,0.02823769
190,0.02124509
191,0.02176118
192,0.01978757
193,0.02337741
194,0.02654954
195,0.0188845
196,0.01845903
197,0.0188178
198,0.01762327
199,0.01774337
200,0.01846322
201,0.01761536
202,0.01761022
203,0.01622143
204,0.0144965
205,0.01530963
206,0.01741298
207,0.01763768
208,0.01604446
209,0.01311846
210,0.01184568
211,0.01038635
212,0.01118647
213,0.01067487
214,0.01048003
215,0.01055553
216,0.01062766
217,0.01176179
218,0.01107019
219,0.00979707
220,0.007776979
221,0.008081888
222,0.008300262
223,0.009158527
224,0.00808849
225,0.009648547
226,0.008297189
227,0.009574435
228,0.008009637
229,0.008275435
230,0.007898621
231,0.008264832
232,0.008035331
233,0.007445054
234,0.007447967
235,0.00827543
236,0.008733284
237,0.006809901
238,0.005746055
239,0.005903578
240,0.005490589
241,0.005573954
242,0.005179168
243,0.006004105
244,0.006233902
245,0.007659584
246,0.009219732
247,0.009358242
248,0.009397271
249,0.01010561
250,0.008923818
251,0.009045131
252,0.008231583
253,0.008058111
254,0.01008607
255,0.009956175
256,0.01032092
257,0.01067664
258,0.01144643
259,0.009333238
260,0.00979659
261,0.009417728
262,0.01100531
263,0.009121762
264,0.009691157
265,0.009630742
266,0.01182959
267,0.01170229
268,0.01019133
269,0.009546757
270,0.006589827
271,0.00681979
272,0.008472604
273,0.007829372
274,0.007529828
275,0.007349542
276,0.007249639
277,0.00742076
278,0.007364094
279,0.00763886
280,0.008091825
281,0.00597858
282,0.006056624
283,0.005976121
284,0.006262292
285,0.005409999
286,0.006151664
287,0.00708173
288,0.006613765
289,0.006260354
290,0.005872168
291,0.005777666
292,0.005445749
293,0.004468061
294,0.004668389
295,0.00370293
296,0.002413587
297,0.001503282
298,0.001249941
299,0.0007353796
300,0.000446353
301,0.0004232714
302,0.000417628
303,0.0003700454
304,0.0003513397
305,0.0004056648
306,0.0004347296
307,0.000322534
308,0.0002255247
309,0.0001984197
310,0.0002813365
311,0.0004366083
312,0.001261401
313,0.00200368
314,0.00266196
315,0.003645029
316,0.00404655
317,0.003655193
318,0.003404804
319,0.004528943
320,0.003092078
321,0.002439929
322,0.001999189
323,0.002082773
324,0.002498236
325,0.00267841
326,0.003544094
327,0.003031625
328,0.003750979
329,0.002477374
330,0.003085859
331,0.003503878
332,0.003210342
333,0.003605379
334,0.003470131
335,0.003845278
336,0.00506293
337,0.005476783
338,0.005716493
339,0.004614541
340,0.005094077
341,0.005613414
342,0.006682924
343,0.005599268
344,0.005983396
345,0.003687695
346,0.003942274
347,0.003803394
348,0.003405724
349,0.004197229
350,0.004315523
351,0.004632897
352,0.003822373
353,0.003897096
354,0.006432763
355,0.006021509
356,0.007224962
357,0.008590632
358,0.008952796
359,0.008461211
360,0.009401894
361,0.00925108
362,0.008600187
363,0.009256321
364,0.008978911
365,0.007802434
366,0.008647731
367,0.008959115
368,0.00694383
369,0.008182277
370,0.008984368
371,0.00958219
372,0.01023121
373,0.01087871
374,0.01179883
375,0.007570603
376,0.007127511
377,0.006638118
378,0.006813184
379,0.006789351
380,0.006310423
381,0.006427519
382,0.009694068
383,0.009391491
384,0.00934243
385,0.009901098
386,0.009658622
387,0.009460905
388,0.009843852
389,0.0112887
390,0.01116616
391,0.0113261
392,0.01131696
393,0.01092664
394,0.01214142
395,0.01203531
396,0.01082989
397,0.01036411
398,0.01003798
399,0.009703715
400,0.009647733
401,0.009448809
402,0.009741905
403,0.008122443
404,0.007463955
405,0.007319852
406,0.007210624
407,0.006958594
408,0.00750765
409,0.007058978
410,0.004555418
411,0.0046794
412,0.004616645
413,0.004231914
414,0.004525383
415,0.004532046
416,0.004498872
417,0.003781329
418,0.003573381
419,0.003511226
420,0.003983833
421,0.003977635
422,0.004322457
423,0.004602863
424,0.003710144
425,0.003985303
426,0.004507767
427,0.004524845
428,0.004693345
429,0.004878271
430,0.00497564
431,0.004383397
432,0.00380638
433,0.003591951
434,0.003949
435,0.003669199
436,0.003410142
437,0.003317742
438,0.003618193
439,0.003208986
440,0.003227261
441,0.003241159
442,0.003405938
443,0.003438627
444,0.003520481
445,0.002802673
446,0.002914264
447,0.002924226
448,0.003010396
449,0.003023243
450,0.002927997
451,0.002955258
452,0.002802128
453,0.002947785
454,0.002970444
455,0.002923008
456,0.002813539
457,0.002845293
458,0.002781477
459,0.002629275
460,0.002502459
461,0.002019784
462,0.001981108
463,0.002009104
464,0.002172625
465,0.00238332
466,0.002398233
467,0.003402015
468,0.003046904
469,0.003000032
470,0.002554012
471,0.002538959
472,0.002488995
473,0.002329895
474,0.002544016
475,0.002534872
476,0.002467241
477,0.002321
478,0.002257543
479,0.00229199
480,0.002500433
481,0.002486784
482,0.002361662
483,0.002408389
484,0.002399282
485,0.002617413
486,0.002561173
487,0.002774731
488,0.002648035
489,0.002534525
490,0.003036735
491,0.002927884
492,0.003119681
493,0.003321928
494,0.003258472
495,0.002970897
496,0.003282596
497,0.003318941
498,0.003386775
499,0.003444984
500,0.003342137
501,0.003263902
502,0.003098549
503,0.003140669
504,0.003076111
505,0.002857976
506,0.00317668
507,0.003163893
508,0.003140558
509,0.002818293
510,0.002692452
511,0.002985554
512,0.002977596
513,0.003166038
514,0.003111102
515,0.00359252
516,0.004241417
517,0.004587498
518,0.004377924
519,0.004619056
520,0.004536978
521,0.004147658
522,0.003497928
523,0.003213041
524,0.003242146
525,0.003494041
526,0.003459057
527,0.003365624
528,0.003822854
529,0.003453859
530,0.003283483
531,0.003132167
532,0.003275339
533,0.003195713
534,0.003299982
535,0.003244203
536,0.003165287
537,0.003262982
538,0.003464033
539,0.003388524
540,0.003439107
541,0.003648436
542,0.003756935
543,0.003996273
544,0.004074603
545,0.004109978
546,0.003464364
547,0.002844166
548,0.002985733
549,0.003201209
550,0.003212236
551,0.002964164
552,0.003107867
553,0.002972669
554,0.002895367
555,0.00291029
556,0.003251565
557,0.003030312
558,0.003030095
559,0.00276608
560,0.00264776
561,0.002356015
562,0.002768584
563,0.002466635
564,0.002718808
565,0.002659461
566,0.003010547
567,0.002779676
568,0.00285632
569,0.003074197
570,0.003092793
571,0.002532411
572,0.002607465
573,0.002854448
574,0.002639086
575,0.002895561
576,0.003029857
577,0.002763111
578,0.002763678
579,0.002684203
580,0.003191861
581,0.003399169
582,0.003420752
583,0.003102873
584,0.002736731
585,0.002478991
586,0.002461793
587,0.002478479
588,0.002396065
589,0.002168268
590,0.002118694
591,0.002187586
592,0.001925186
593,0.001999427
594,0.001526968
595,0.001333202
596,0.001401308
597,0.001169423
598,0.0005477849
599,0.0004307208
600,0.0002702692
601,0.0002431212
602,0.0001686921
603,0.0001911817
604,0.0001018343
605,8.486888E-05
606,9.827533E-05
607,0.0001329119
608,0.0001688133
609,0.0001625373
610,0.0001477415
611,0.0002245448
612,0.0002208243
613,0.0002396965
614,0.000546457
615,0.001307421
616,0.002316645
617,0.003199437
618,0.003463736
619,0.004605908
620,0.004167742
621,0.004574408
622,0.001884576
623,0.004284006
624,0.003619336
625,0.003020614
626,0.002678731
627,0.002645119
628,0.003733625
629,0.003434056
630,0.003275665
631,0.005319346
632,0.006230363
633,0.006866932
634,0.00752536
635,0.005489872
636,0.007295695
637,0.005667534
638,0.005585629
639,0.004773987
640,0.005674091
641,0.005576632
642,0.005304621
643,0.005068211
644,0.004358818
645,0.004426105
646,0.004463213
647,0.004705461
648,0.004602203
649,0.003522168
650,0.004642034
651,0.003209996
652,0.004259784
653,0.004605212
654,0.005298875
655,0.005895291
656,0.005780713
657,0.006334141
658,0.007710003
659,0.009186582
660,0.008331425
661,0.007785535
662,0.00791775
663,0.008165855
664,0.008346596
665,0.008317945
666,0.009049146
667,0.008205518
668,0.007994927
669,0.008765076
670,0.008736186
671,0.01038127
672,0.009129758
673,0.00869251
674,0.008346081
675,0.007643571
676,0.007511646
677,0.008035887
678,0.007741139
679,0.007521045
680,0.008346774
681,0.008699954
682,0.008252108
683,0.008450345
684,0.008656421
685,0.007216535
686,0.008973069
687,0.006991958
688,0.006872928
689,0.006245662
690,0.005960764
691,0.005292985
692,0.005065327
693,0.0052938
694,0.005046814
695,0.004647878
696,0.004339924
697,0.004846354
698,0.003270413
699,0.002808615
700,0.002300216
701,0.002220945
702,0.001833345
703,0.001741518
704,0.00151349
705,0.001057507
706,0.001065921
707,0.001080749
708,0.001174306
709,0.001137812
710,0.001127182
711,0.001183501
712,0.001188461
713,0.001089223
714,0.001137905
715,0.001132092
716,0.001198454
717,0.001201726
718,0.001298684
719,0.001272151
720,0.001239802
721,0.00131722
722,0.001139941
723,0.001122052
724,0.001182804
725,0.001446934
726,0.00138973
727,0.001465857
728,0.001444875
729,0.001485369
730,0.001384458
731,0.001246782
732,0.001213809
733,0.001227556
734,0.001181394
735,0.001033554
736,0.001008839
737,0.0009880112
738,0.0009633771
739,0.00101175
740,0.001066657
741,0.001098265
742,0.001036183
743,0.0009328145
744,0.0008299556
745,0.000869721
746,0.000818921
747,0.0007329317
748,0.0006647812
749,0.0005728877
750,0.0004743378
751,0.0003650903
752,0.000335099
753,0.0002173715
754,0.0001766452
755,0.000157758
756,0.0001573753
757,0.0001290519
758,0.0001274449
759,0.0001346568
760,0.0001383008
761,0.0001364273
762,0.0001470768
763,0.0001372935
764,0.0001033747
765,0.0001039632
766,0.000124782
767,0.0001140802
768,9.288383E-05
769,8.914827E-05
770,8.710816E-05
771,8.590999E-05
772,9.498162E-05
773,0.0001028683
774,0.0001154439
775,0.0001297945
776,0.0001135732
777,0.000138892
778,0.0001581585
779,0.0004443097
780,0.00131408
781,0.003642424
782,0.008598465
783,0.01393951
784,0.01951217
785,0.02033401
786,0.02377474
787,0.02339325
788,0.02013324
789,0.03086663
790,0.04135543
791,0.05881248
792,0.01568158
793,0.001662491
794,0.0008539894
795,0.0008798854
796,0.0008425193
797,0.0009353352
798,0.001583137
799,0.001909225
800,0.001583147
801,0.001865934
802,0.002330969
803,0.002806929
804,0.002572264
805,0.002453318
806,0.004024733
807,0.00426676
808,0.004223936
809,0.005059601
810,0.005348521
811,0.005977159
812,0.006608007
813,0.006305857
814,0.006853835
815,0.006754754
816,0.00640202
817,0.005896522
818,0.00617598
819,0.005908869
820,0.005976104
821,0.006121531
822,0.006091585
823,0.006355058
824,0.006995723
825,0.006503696
826,0.007140478
827,0.009136336
828,0.009651843
829,0.009707038
830,0.009886069
831,0.01164183
832,0.01173889
833,0.01158297
834,0.009011823
835,0.007611441
836,0.009343191
837,0.01140537
838,0.0114305
839,0.01185669
840,0.01103966
841,0.006427248
842,0.00494692
843,0.00448692
