Frame,Variance
0,0
1,0.01090022
2,0.009997636
3,0.009860739
4,0.01052362
5,0.01047207
6,0.009843691
7,0.008812041
8,0.009483458
9,0.009114462
10,0.009691388
11,0.01019873
12,0.01009516
13,0.01004094
14,0.01009531
15,0.01061357
16,0.01051138
17,0.009996815
18,0.009256778
19,0.009475454
20,0.009288481
21,0.009135438
22,0.01086031
23,0.01064166
24,0.009680585
25,0.009758841
26,0.00948992
27,0.008862861
28,0.009053385
29,0.01084539
30,0.008096459
31,0.008619272
32,0.008998796
33,0.008863998
34,0.008624468
35,0.009086919
36,0.009327412
37,0.009222112
38,0.008464003
39,0.009460477
40,0.008749995
41,0.01148536
42,0.01225752
43,0.01221215
44,0.01124091
45,0.01193546
46,0.01037072
47,0.0103195
48,0.009694437
49,0.0103019
50,0.01212942
51,0.01039069
52,0.009734021
53,0.009874262
54,0.009694558
55,0.009635874
56,0.009518139
57,0.01063702
58,0.01099526
59,0.01259525
60,0.01150377
61,0.01277498
62,0.01608397
63,0.0124321
64,0.013186
65,0.01484442
66,0.01347895
67,0.0109835
68,0.01067302
69,0.009253168
70,0.009871296
71,0.009999715
72,0.01070121
73,0.01092997
74,0.01068044
75,0.01028404
76,0.009644221
77,0.009566084
78,0.009847703
79,0.00974719
80,0.00979113
81,0.009805417
82,0.009751735
83,0.009756251
84,0.009640126
85,0.01012712
86,0.01067577
87,0.01026526
88,0.01168784
89,0.01168782
90,0.009658087
91,0.009522242
92,0.009532289
93,0.009374468
94,0.009577462
95,0.009722862
96,0.009679082
97,0.009922955
98,0.01113062
99,0.01264241
100,0.01467129
101,0.01569428
102,0.008894812
103,0.01008355
104,0.008838953
105,0.01252599
106,0.01547579
107,0.01376762
108,0.01360923
109,0.01350127
110,0.01391442
111,0.01470458
112,0.01277055
113,0.01382882
114,0.01530453
115,0.01695356
116,0.01083457
117,0.009327709
118,0.00941143
119,0.00886324
120,0.007957325
121,0.008021605
122,0.009442884
123,0.007953527
124,0.007490789
125,0.007505957
126,0.007952673
127,0.007513012
128,0.007782914
129,0.006895285
130,0.007218401
131,0.008520282
132,0.008057221
133,0.008605897
134,0.009354455
135,0.00817237
136,0.00935604
137,0.009695147
138,0.009385084
139,0.008841665
140,0.008875751
141,0.00844177
142,0.006516306
143,0.007221301
144,0.007378899
145,0.006861875
146,0.006973553
147,0.006719678
148,0.007878262
149,0.008209008
150,0.006902716
151,0.007782374
152,0.007047635
153,0.007027667
154,0.007589736
155,0.007104667
156,0.006172086
157,0.006180872
158,0.006641667
159,0.007902013
160,0.00674025
161,0.006830909
162,0.006573759
163,0.007328114
164,0.008602233
165,0.007436601
166,0.007485913
167,0.007116332
168,0.006911198
169,0.007359576
