Frame,Variance
0,0
1,0.01559059
2,0.01576488
3,0.01605451
4,0.01560958
5,0.01558982
6,0.01533068
7,0.01570551
8,0.01578259
9,0.01483291
10,0.01485517
11,0.0149477
12,0.01419318
13,0.01427036
14,0.01423791
15,0.01421036
16,0.01513657
17,0.01520283
18,0.01432434
19,0.01470635
20,0.0143244
21,0.01426921
22,0.0141085
23,0.01452586
24,0.01378969
25,0.01391466
26,0.01348068
27,0.01378954
28,0.01415628
29,0.01377214
30,0.01410948
31,0.01326328
32,0.0135821
33,0.01363594
34,0.01297637
35,0.01333177
36,0.01294574
37,0.01311105
38,0.01319217
39,0.01330912
40,0.01302005
41,0.01314117
42,0.01345389
43,0.01281525
44,0.01256633
45,0.01280901
46,0.01266827
47,0.01258405
48,0.01236516
49,0.01377219
50,0.01193855
51,0.01239257
52,0.01327441
53,0.01189336
54,0.01121975
55,0.01128107
56,0.01107762
57,0.01108815
58,0.01072971
59,0.01109732
60,0.0100395
61,0.00971963
62,0.009652385
63,0.009776725
64,0.00922463
65,0.009323834
66,0.009025165
67,0.009021141
68,0.008614088
69,0.008167018
70,0.007687367
71,0.007903394
72,0.00746046
73,0.007022069
74,0.006790995
75,0.006782745
76,0.006881466
77,0.006882304
78,0.006880486
79,0.007051211
80,0.006699704
81,0.006671102
82,0.006799163
83,0.006629506
84,0.006764458
85,0.006665132
86,0.006580018
87,0.006667044
88,0.006724228
89,0.006782128
90,0.00667907
91,0.006378663
92,0.005896766
93,0.005454231
94,0.005483884
95,0.005291033
96,0.005464599
97,0.005088916
98,0.005138416
99,0.005045191
100,0.005231788
101,0.005599955
102,0.005012292
103,0.005035163
104,0.004995611
105,0.004865002
106,0.004746845
107,0.005090006
108,0.005479279
109,0.005410517
110,0.004804534
111,0.004693664
112,0.004878374
113,0.004713054
114,0.004648888
115,0.004710953
116,0.004590494
117,0.004636623
118,0.004522455
119,0.004501808
120,0.004458346
121,0.004478592
122,0.004452706
123,0.004405832
124,0.00451664
125,0.004447911
126,0.004530483
127,0.004571512
128,0.004177531
129,0.004252014
130,0.004193346
131,0.004176821
132,0.004356643
133,0.004511488
134,0.004105248
135,0.004179535
136,0.004026837
137,0.003946452
138,0.0039607
139,0.004056693
140,0.003921391
141,0.003954615
142,0.003876927
143,0.003927488
144,0.003791858
145,0.003897125
146,0.003795907
147,0.003796071
148,0.003861805
149,0.003832583
150,0.003784016
151,0.003802253
152,0.00374371
153,0.003796377
154,0.003806444
155,0.003840932
156,0.003889109
157,0.003915154
