Frame,Variance
0,0.01623997
1,0.01726231
2,0.01716884
3,0.01659363
4,0.01851992
5,0.01883526
6,0.01876518
7,0.01905185
8,0.01876065
9,0.0183024
10,0.0202224
11,0.02102361
12,0.01892757
13,0.01961872
14,0.01800105
15,0.01750558
16,0.01859557
17,0.0182003
18,0.01611968
19,0.01558214
20,0.01623654
21,0.01578533
22,0.01509519
23,0.01381446
24,0.01292585
25,0.01297042
26,0.01229933
27,0.01129488
28,0.009769669
29,0.009247701
30,0.009387309
31,0.00786265
32,0.007275789
33,0.007656585
34,0.007302423
35,0.007383606
36,0.007781102
37,0.007908246
38,0.008027563
39,0.008425216
40,0.00973356
41,0.01057338
42,0.01236354
43,0.01247077
44,0.01340282
45,0.01277397
46,0.01225618
47,0.01129425
48,0.01135108
49,0.01182519
50,0.01030565
51,0.01049779
52,0.01032293
53,0.009790259
54,0.008493808
55,0.008619217
56,0.007124439
57,0.004547591
58,0.003016752
59,0.002618696
60,0.002835022
61,0.002437108
62,0.001684998
63,0.002278315
64,0.002374371
65,0.002875373
66,0.003080856
67,0.002670344
68,0.003488442
69,0.00365572
70,0.00369368
71,0.004634221
72,0.00388902
73,0.004593505
74,0.005548637
75,0.005465944
76,0.005959733
77,0.006795602
78,0.006894984
79,0.006586918
80,0.007721528
81,0.007949607
82,0.007859989
83,0.008181024
84,0.007461933
85,0.00718776
86,0.006632965
87,0.00727163
88,0.006479669
89,0.006360812
90,0.006546362
91,0.006274599
92,0.005996116
93,0.006023477
94,0.006510541
95,0.006249552
96,0.00579728
97,0.005553697
98,0.005202907
99,0.005453606
100,0.005037273
101,0.00516902
102,0.00517921
103,0.005144192
104,0.005178141
105,0.004851053
106,0.004769667
107,0.005051809
108,0.004517281
109,0.004581279
110,0.004251893
111,0.003914567
112,0.004091403
113,0.004063332
114,0.004410696
115,0.004328615
116,0.004365092
117,0.004495894
118,0.004301789
119,0.00408664
120,0.004261531
121,0.004383177
122,0.00461987
123,0.004890528
124,0.004336575
125,0.004447598
126,0.004525565
127,0.004330048
128,0.002599148
129,0.003291467
130,0.002948513
131,0.003280453
132,0.003264579
133,0.003135374
134,0.0031346
135,0.002850325
136,0.002917297
137,0.00333999
138,0.003238331
139,0.00338681
140,0.003418603
141,0.002521362
142,0.003336085
143,0.003138671
144,0.003080067
145,0.003003913
146,0.003211086
147,0.003004091
148,0.003192907
149,0.003328294
150,0.00335522
151,0.003279233
152,0.00341691
153,0.00389398
154,0.003881451
155,0.003653394
156,0.004145981
157,0.004080026
158,0.004487399
159,0.004929435
160,0.005346708
161,0.00596326
162,0.005918986
163,0.006371718
164,0.006497693
165,0.007305996
166,0.009071012
167,0.009668924
168,0.01036341
169,0.0100348
170,0.009978962
171,0.009180319
172,0.009093232
173,0.008770941
174,0.009024736
175,0.0103373
176,0.01080539
177,0.01072695
178,0.01140471
179,0.0116157
180,0.01145811
181,0.01137444
182,0.01360445
183,0.01510321
184,0.01937877
185,0.02138509
186,0.02476709
187,0.0285307
188,0.02813369
189,0.02457171
190,0.01762882
191,0.01302625
192,0.008317159
193,0.006485743
194,0.004567798
195,0.003268207
196,0.001579993
197,0.00156322
198,0.001673743
199,0.002034659
200,0.00199061
201,0.002299487
202,0.00241159
203,0.002529629
204,0.002604095
205,0.002693881
206,0.002085068
207,0.002017067
208,0.001639851
209,0.001622328
210,0.001675641
211,0.001835121
212,0.00171264
213,0.00166267
214,0.001961674
215,0.001757522
216,0.001679301
217,0.00170845
218,0.001695527
219,0.001543578
220,0.001480832
221,0.001423991
222,0.001352964
223,0.001303735
224,0.001489958
225,0.001325155
226,0.001397413
227,0.001217838
228,0.001416415
229,0.0009259822
230,0.0009062482
231,0.001064221
232,0.001062087
233,0.001292724
234,0.001554833
235,0.00130577
236,0.001612404
237,0.001631278
238,0.001506338
239,0.001680123
240,0.001950295
241,0.002290844
242,0.001740134
243,0.002432885
244,0.002608406
245,0.003360831
246,0.003534302
247,0.003622537
248,0.003616094
249,0.004453797
250,0.004671517
251,0.004894145
252,0.00507354
253,0.005265053
254,0.004959863
255,0.005225391
256,0.005308684
257,0.005095647
258,0.00510175
259,0.005176506
260,0.004741789
261,0.004287487
262,0.003632285
263,0.003488857
264,0.003316494
265,0.003054223
266,0.002930835
267,0.002058769
268,0.001184298
269,0.0007460022
270,0.0007858962
271,0.0008113178
272,0.0008500398
273,0.0009457328
274,0.0008602495
275,0.0008240231
276,0.0009243101
277,0.001063008
278,0.001094247
279,0.000967596
280,0.001212876
281,0.00121099
282,0.001563058
283,0.001639185
284,0.001798422
285,0.001583139
286,0.001638228
287,0.001910633
288,0.001837361
289,0.001301003
290,0.001560604
291,0.00284114
292,0.004157171
293,0.005215848
294,0.006012765
295,0.006485254
296,0.006130322
297,0.005452944
298,0.004203238
299,0.00200053
300,0.001912048
301,0.002010133
302,0.001867638
303,0.001573445
304,0.001638398
305,0.001596157
306,0.001912858
307,0.002505541
308,0.003141838
309,0.003784832
310,0.004712165
311,0.004783051
312,0.00621556
313,0.005646735
314,0.004667629
315,0.00450126
316,0.005928993
317,0.006327606
318,0.005407454
319,0.007233485
320,0.006353982
321,0.00538301
322,0.005326984
323,0.004841844
324,0.004838347
325,0.00482452
326,0.006837326
327,0.006187745
328,0.005411658
329,0.004620302
330,0.00470614
331,0.004509999
332,0.004127049
333,0.004647228
334,0.003967639
335,0.002570501
336,0.002191778
337,0.001874836
338,0.001062228
339,0.0005437045
340,0.0006295595
341,0.0004334199
342,0.001125921
343,0.00129332
344,0.001756982
345,0.002074222
346,0.002317809
347,0.002625295
348,0.003100157
349,0.003647501
350,0.004667383
351,0.004915737
352,0.005025671
353,0.006119507
354,0.007758197
355,0.00935621
356,0.01031372
357,0.01022048
358,0.01081182
359,0.01031386
360,0.0103461
361,0.007579825
362,0.006009921
363,0.005498874
364,0.005738722
365,0.006429215
366,0.006261948
367,0.006586222
368,0.006676147
369,0.005568271
370,0.005020825
371,0.004087244
372,0.003749542
373,0.004210957
374,0.003750448
375,0.00355617
376,0.003997755
377,0.004437934
378,0.005127081
379,0.005970152
380,0.005975844
381,0.005669352
382,0.005456693
383,0.008478225
384,0.01394581
385,0.01605623
386,0.01348953
387,0.01117965
388,0.01273467
389,0.01429629
390,0.01502309
391,0.01502835
392,0.01444625
393,0.01918268
394,0.0139679
395,0.01314333
396,0.0099703
397,0.008706823
398,0.007660291
399,0.007221013
400,0.007599583
401,0.008111788
