Frame,Variance
0,0
1,0.007268181
2,0.00960343
3,0.007056364
4,0.007105407
5,0.006690689
6,0.006586464
7,0.00696129
8,0.005255976
9,0.005174888
10,0.004980468
11,0.005011726
12,0.004260689
13,0.004088968
14,0.00406742
15,0.003904087
16,0.003796787
17,0.003869344
18,0.003896373
19,0.003642504
20,0.003537939
21,0.003562371
22,0.003659645
23,0.00365428
24,0.003543204
25,0.00346148
26,0.003474913
27,0.003532651
28,0.003374663
29,0.003314369
30,0.003265144
31,0.003114991
32,0.002979922
33,0.003116756
34,0.002995008
35,0.002908921
36,0.002519656
37,0.002426432
38,0.002458645
39,0.002472714
40,0.002410522
41,0.002395161
42,0.002401755
43,0.002334494
44,0.002367615
45,0.002450792
46,0.002771311
47,0.002478155
48,0.002512699
49,0.002416182
50,0.001807427
51,0.001711254
52,0.001811106
53,0.001687096
54,0.001645939
55,0.001565572
56,0.00159633
57,0.00153842
58,0.00159692
59,0.001484801
60,0.001504144
61,0.001478972
62,0.001498947
63,0.001543442
64,0.001652448
65,0.00153995
66,0.001523381
67,0.001527384
68,0.00158745
69,0.001609062
70,0.001576062
71,0.001653892
72,0.001659248
73,0.001724742
74,0.001843247
75,0.001794339
76,0.001754418
77,0.001705343
78,0.00159215
79,0.0016238
80,0.00156673
81,0.001742481
82,0.001826929
83,0.001480861
84,0.001345529
85,0.001294298
86,0.001258257
87,0.001619217
88,0.001720745
89,0.001167536
90,0.001146588
91,0.0009377227
92,0.0008072972
93,0.0007817328
94,0.0007289239
95,0.0007323077
96,0.0007690181
97,0.0007880643
98,0.0007375691
99,0.0007345745
100,0.0006817733
101,0.0006336809
102,0.0006112598
103,0.004285496
104,0.003622196
105,0.003732021
106,0.003779324
107,0.003923965
108,0.003833109
109,0.00354746
110,0.003443257
111,0.003642264
112,0.003598567
113,0.00304629
114,0.002925316
115,0.004524328
116,0.004324104
117,0.004325578
118,0.004815918
119,0.005093002
120,0.003702931
121,0.004708302
122,0.005232655
123,0.004868616
124,0.00280304
125,0.003866206
126,0.003674437
127,0.00331589
128,0.002429994
129,0.003072638
130,0.00405256
131,0.004889096
132,0.005761785
133,0.003114365
134,0.003097694
135,0.002879197
136,0.003214058
137,0.003414649
138,0.003307803
139,0.003523004
140,0.003637517
141,0.003325251
142,0.003750656
143,0.003264771
144,0.004838089
145,0.004840793
146,0.004354123
147,0.005181322
148,0.003592937
149,0.002399546
150,0.002563544
151,0.002661312
152,0.003054981
153,0.003028646
154,0.003264447
155,0.003957354
156,0.003911889
157,0.004171918
158,0.003972257
159,0.003589404
160,0.003602015
161,0.00334049
162,0.003144951
163,0.003175991
164,0.00310043
165,0.003259408
166,0.003361466
167,0.003093437
168,0.003225848
169,0.003197849
170,0.003206083
171,0.003077718
172,0.003055692
173,0.002906811
174,0.003086227
175,0.003238464
176,0.003121084
177,0.003305224
178,0.003201965
179,0.003222748
180,0.003307583
181,0.003288133
182,0.003313761
183,0.002982692
184,0.002934319
185,0.002868835
186,0.003358199
187,0.002817407
188,0.003005307
189,0.00311805
190,0.00275729
191,0.002970089
192,0.002562963
193,0.002556544
194,0.002510432
195,0.002918893
196,0.002566099
197,0.002977793
198,0.002180635
199,0.001882435
200,0.002268411
201,0.002198705
202,0.002393661
203,0.002429328
204,0.00215088
205,0.002514518
206,0.001636853
207,0.001677382
208,0.00165171
209,0.001867511
210,0.001927719
211,0.001993432
212,0.002045881
213,0.002218927
214,0.002176441
215,0.001994647
216,0.001950681
217,0.001771651
218,0.001683327
219,0.00179933
220,0.001762465
221,0.00180284
222,0.001754806
223,0.001703708
224,0.001651727
225,0.001622335
226,0.001608817
227,0.001561506
228,0.001531986
229,0.001586784
230,0.001607552
231,0.001637449
232,0.001683349
233,0.00168629
234,0.00162913
235,0.001588897
236,0.001552095
237,0.001543583
238,0.0015457
239,0.002047414
240,0.001973725
241,0.001947789
242,0.001933837
243,0.001888918
244,0.001878104
245,0.001766494
246,0.001854261
247,0.001910611
248,0.002181073
249,0.002292468
250,0.002366856
251,0.002230588
252,0.002106255
253,0.002253126
254,0.002407284
255,0.002149433
256,0.002218533
257,0.002102878
258,0.00194301
259,0.001913541
260,0.001744812
261,0.002025929
262,0.002025166
263,0.002097985
264,0.002226716
265,0.002390817
266,0.002509444
267,0.002658471
268,0.00266916
269,0.002220867
270,0.002203983
271,0.002307589
272,0.002324582
273,0.002400454
274,0.002497125
275,0.002620208
276,0.00288304
277,0.003969629
278,0.004797442
279,0.004879328
280,0.004770698
281,0.004740239
282,0.00442876
283,0.004031222
284,0.003429209
285,0.003202416
286,0.002613939
287,0.002429188
288,0.002366092
289,0.002411375
290,0.002642596
291,0.002798672
292,0.002066734
293,0.001655203
294,0.001588585
295,0.001277209
296,0.001308874
297,0.001162753
298,0.001087466
299,0.0007317858
300,0.0005589625
301,0.0005728774
302,0.0005889768
303,0.0008067203
304,0.0008109963
305,0.000839155
306,0.0008690352
307,0.0008166343
308,0.0008443122
309,0.0008730183
310,0.0009300851
311,0.001022288
312,0.001054396
313,0.001063754
314,0.000981989
315,0.0009704602
316,0.001002895
317,0.0009118011
318,0.00084063
319,0.0008499451
320,0.0008315493
321,0.0007397681
322,0.0007436397
323,0.0007872508
324,0.0007543426
325,0.0007781753
326,0.0007719651
327,0.0007547259
328,0.000668905
329,0.000649715
330,0.0006674587
331,0.000710936
332,0.0007205103
333,0.0007812373
334,0.0006512089
335,0.0006038478
336,0.0006025451
337,0.0006014978
338,0.0006128685
339,0.0006257346
340,0.0006242534
341,0.0006254321
342,0.0005484288
343,0.0005555464
344,0.0005518206
345,0.0005688592
346,0.0006049473
347,0.0006116133
348,0.0007201224
349,0.0006319138
350,0.0005539256
351,0.0005685742
352,0.0005029668
353,0.0005256663
354,0.0005362323
355,0.0005421812
356,0.0005679884
357,0.0005798573
358,0.0005697862
359,0.0005562486
360,0.0006139419
361,0.000580479
362,0.0005776503
363,0.0005934567
364,0.0005967982
365,0.0006080946
366,0.0006455631
367,0.0006438075
368,0.0006653351
369,0.000697272
370,0.0006916599
371,0.0006826246
372,0.0006817706
373,0.0006761211
374,0.0006712999
375,0.0006760168
376,0.0007031169
377,0.0006887953
378,0.0007228482
379,0.0007150171
380,0.0006822917
381,0.0006631358
382,0.0006720012
383,0.0007032416
384,0.000721666
385,0.0007372624
386,0.0007827549
387,0.0008600258
388,0.0008420808
389,0.0008556233
390,0.0008775639
391,0.0009296286
392,0.0009717729
393,0.0009432885
394,0.001015374
395,0.0009963402
396,0.0009174444
397,0.0009005051
398,0.0008643992
399,0.0008627608
400,0.0008723985
401,0.0008714177
402,0.0009034869
403,0.0008770406
404,0.0009195197
405,0.0009591473
