Frame,Variance
0,0.01381792
1,0.01375641
2,0.01375257
3,0.01375741
4,0.01376137
5,0.01371406
6,0.01391362
7,0.01444593
8,0.01494511
9,0.01509159
10,0.01509221
11,0.01499794
12,0.0150838
13,0.01510017
14,0.01560217
15,0.01537131
16,0.01535661
17,0.01533945
18,0.01535536
19,0.01535984
20,0.01537026
21,0.01411273
22,0.01418375
23,0.01406098
24,0.0139119
25,0.01408915
26,0.01405057
27,0.0140744
28,0.01444964
29,0.01447503
30,0.014287
31,0.01437615
32,0.01471548
33,0.01456322
34,0.01437787
35,0.01471622
36,0.01483869
37,0.01493476
38,0.01524708
39,0.01534497
40,0.01559837
41,0.01568051
42,0.01499023
43,0.01506347
44,0.01499987
45,0.01534163
46,0.015446
47,0.01539637
48,0.01531893
49,0.01446402
50,0.01445192
51,0.0144419
52,0.01433931
53,0.0150909
54,0.01518878
55,0.01525334
56,0.01473962
57,0.01464091
58,0.01484904
59,0.01482581
60,0.01484687
61,0.0149181
62,0.01498295
63,0.01439697
64,0.01445639
65,0.01440755
66,0.01458925
67,0.01446748
68,0.01459255
69,0.01460909
70,0.01430009
71,0.01440705
72,0.0144115
73,0.01459104
74,0.01471252
75,0.01477738
76,0.01513764
77,0.01512949
78,0.01457679
79,0.0146013
80,0.01492885
81,0.01523105
82,0.01543649
83,0.01559181
84,0.01351254
85,0.01387727
86,0.01377516
87,0.01231289
88,0.01174878
89,0.01204631
90,0.01154209
91,0.01106734
92,0.01114304
93,0.01180297
94,0.01140316
95,0.01271396
96,0.0128272
97,0.01328176
98,0.01246486
99,0.01282023
100,0.01254506
101,0.0126178
102,0.0127111
103,0.01268619
104,0.01271202
105,0.01100761
106,0.01085855
107,0.01076708
108,0.01108304
109,0.01127061
110,0.01137442
111,0.01141261
112,0.01316411
113,0.01297264
114,0.0133095
115,0.01326445
116,0.01325457
117,0.01333664
118,0.01379883
119,0.01436257
120,0.01465278
121,0.01480819
122,0.01501644
123,0.01507148
124,0.01433735
125,0.01444382
126,0.01479443
127,0.01501048
128,0.01582761
129,0.01578931
130,0.01572999
131,0.01636848
132,0.01610823
133,0.01679699
134,0.01706652
135,0.01741642
136,0.01753805
137,0.01749666
138,0.01722412
139,0.01742894
140,0.01709744
141,0.01754859
142,0.0172783
143,0.01720931
144,0.01528363
145,0.01511558
146,0.01448664
147,0.01604293
148,0.01604797
149,0.01740748
150,0.01524269
151,0.01681058
152,0.01571859
153,0.01508713
154,0.0175717
155,0.01752435
156,0.0173125
157,0.01627359
158,0.01076651
159,0.0125536
160,0.0109224
161,0.01404999
162,0.01407322
163,0.01370193
164,0.0134474
165,0.01434383
166,0.01423884
167,0.01394224
168,0.0190419
169,0.01896881
170,0.01902471
171,0.01868418
172,0.0186433
173,0.01892758
174,0.0187532
175,0.01674103
176,0.01705598
177,0.01738062
178,0.01724724
179,0.01737206
180,0.0179026
181,0.01859655
182,0.01834043
183,0.01825695
184,0.01782325
185,0.01773467
186,0.01720752
187,0.01712756
188,0.01687391
189,0.01442113
190,0.01406691
191,0.01363848
192,0.01337039
193,0.01392179
194,0.01365378
195,0.01310608
196,0.0117978
197,0.01146851
198,0.01158863
199,0.01155525
200,0.01140478
201,0.01141327
202,0.01149086
203,0.0120102
204,0.01194938
205,0.0123184
206,0.01222717
207,0.01224643
208,0.01140203
209,0.01084909
210,0.01373103
211,0.01385565
212,0.01314059
213,0.01297429
214,0.01291792
215,0.01232856
216,0.01237908
217,0.01261135
218,0.01321501
219,0.01120891
220,0.01151425
221,0.01172328
222,0.01112663
223,0.01061993
224,0.009916476
225,0.01035916
226,0.01036441
227,0.009387746
228,0.009054854
229,0.008798484
230,0.008468841
231,0.008730885
232,0.009023092
233,0.008625955
234,0.008490419
235,0.008337012
236,0.00849082
237,0.008294722
238,0.005023514
239,0.005204124
240,0.005316258
241,0.005309097
242,0.005337215
243,0.005681875
244,0.005519335
245,0.005103868
246,0.005130641
247,0.005242247
248,0.005292702
249,0.005362436
250,0.005262629
251,0.005276562
252,0.004718579
253,0.004729387
254,0.004837251
255,0.00480753
256,0.004892936
257,0.00489484
258,0.004853641
259,0.005269869
260,0.005397269
261,0.005487088
262,0.005529852
263,0.005576434
264,0.005100346
265,0.005384636
266,0.004261121
267,0.004034108
268,0.004070878
269,0.004051111
270,0.004067078
271,0.004232817
272,0.004238021
273,0.003722675
274,0.003590943
275,0.003566749
276,0.00349904
277,0.003696177
278,0.003667584
279,0.003568328
280,0.004390574
281,0.003946765
282,0.003846306
283,0.003870292
284,0.003890265
285,0.003724451
286,0.00369722
287,0.004383609
