Frame,Variance
0,0
1,0.001383395
2,0.001350204
3,0.001340987
4,0.001360394
5,0.001327353
6,0.001368124
7,0.001375652
8,0.001203531
9,0.001160335
10,0.001171025
11,0.001155355
12,0.001165676
13,0.001143443
14,0.001122948
15,0.001407652
16,0.001405999
17,0.001432382
18,0.001424587
19,0.001442807
20,0.001339749
21,0.001383563
22,0.001169896
23,0.001174557
24,0.001140393
25,0.001252681
26,0.001285576
27,0.001263259
28,0.001245279
29,0.001380125
30,0.001410602
31,0.001428441
32,0.001105794
33,0.00105509
34,0.001033349
35,0.001064405
36,0.0008224106
37,0.000820794
38,0.000846111
39,0.0008277087
40,0.000833416
41,0.0008463846
42,0.0009764025
43,0.0009244657
44,0.0008438629
45,0.0007819362
46,0.0008210561
47,0.0008210818
48,0.0008644004
49,0.0007709675
50,0.0005541021
51,0.0004534716
52,0.0004687442
53,0.0004682181
54,0.0004977258
55,0.0004472672
56,0.0005055206
57,0.000708668
58,0.0007190793
59,0.0007519443
60,0.0007232592
61,0.0007792547
62,0.0007043829
63,0.0007289893
64,0.001033306
65,0.0007701959
66,0.0007836258
67,0.0008352033
68,0.0007768392
69,0.0007908958
70,0.0007954402
71,0.0007941597
72,0.0007138688
73,0.0007863644
74,0.000728581
75,0.0007244337
76,0.0006721311
77,0.0007797473
78,0.0009021879
79,0.0009203423
80,0.0008875487
81,0.0009176563
82,0.0008992759
83,0.0008012562
84,0.0007865904
85,0.0006867131
86,0.0006830037
87,0.0006981685
88,0.0006833916
89,0.0007009891
90,0.000764992
91,0.0007355534
92,0.0008537637
93,0.000839847
94,0.0008001745
95,0.0008136085
96,0.0008616706
97,0.0008972887
98,0.000882652
99,0.0007715971
100,0.0007017627
101,0.0007835414
102,0.0007946132
103,0.0008082605
104,0.0009009631
105,0.0008947682
106,0.000974686
107,0.0009637336
108,0.0009395538
109,0.0009503103
110,0.0009221776
111,0.0009049871
112,0.0008860869
113,0.0009673584
114,0.0009886881
115,0.0009725487
116,0.001041503
117,0.0009603751
