Frame,Variance
0,0
1,0.002390671
2,0.002341089
3,0.0023198
4,0.002384074
5,0.002278647
6,0.002357639
7,0.002228517
8,0.00209169
9,0.001283405
10,0.001235251
11,0.001212223
12,0.001223812
13,0.001214074
14,0.001195009
15,0.001534161
16,0.001586022
17,0.001674132
18,0.001627197
19,0.001632764
20,0.001452726
21,0.001503584
22,0.001194092
23,0.001190223
24,0.001165715
25,0.001286285
26,0.001310701
27,0.001293923
28,0.001317179
29,0.001412889
30,0.00144683
31,0.001468034
32,0.001158869
33,0.00108121
34,0.001080757
35,0.001079266
36,0.0008605365
37,0.0008587072
38,0.0008957734
39,0.0008764021
40,0.0009108622
41,0.0009119583
42,0.0009773137
43,0.0009948531
44,0.0008887832
45,0.0009434453
46,0.0008397495
47,0.0008488753
48,0.0008187062
49,0.0008435586
50,0.0007616181
51,0.0007300785
52,0.0007723443
53,0.0008049188
54,0.0008314466
55,0.0007776458
56,0.0008383489
57,0.0008874135
58,0.0008936146
59,0.0008790022
60,0.0008743951
61,0.0008748166
62,0.0008315152
63,0.0008467232
64,0.001254886
65,0.0008271596
66,0.0007785937
67,0.0007918932
68,0.0007465769
69,0.0007729735
70,0.0007620672
71,0.0007899447
72,0.0007027757
73,0.000778823
74,0.0007515277
75,0.0007363482
76,0.0006747452
77,0.000784449
78,0.0008742416
79,0.0008700326
80,0.0008309739
81,0.0008713093
82,0.0008587358
83,0.0007866933
84,0.0007600897
85,0.0006964777
86,0.0006847471
87,0.0006989264
88,0.0006478018
89,0.0006775364
90,0.0007481988
91,0.0007372244
92,0.0008764216
93,0.0008268919
94,0.0008033899
95,0.0008177253
96,0.0008589618
97,0.0008992019
98,0.0008846901
99,0.0007899146
100,0.0006957746
101,0.0007883706
102,0.0007924711
103,0.0008091071
104,0.0009276937
105,0.0008794721
106,0.0009320351
107,0.0008956702
108,0.0008965295
109,0.0009073163
110,0.0008630736
111,0.0008474443
112,0.0008163784
113,0.000925757
114,0.000913696
115,0.0009114016
116,0.00100142
117,0.0009057011
118,0.0009456297
119,0.0009276596
120,0.0009839252
121,0.0009910145
122,0.001041021
123,0.001060757
124,0.001106592
125,0.001091794
126,0.001150258
127,0.001222459
128,0.001253387
129,0.001325123
130,0.00133203
131,0.001395453
132,0.001507682
133,0.001559274
134,0.001534578
135,0.001560242
136,0.001574521
137,0.001625761
138,0.001585251
139,0.001496774
140,0.001265514
141,0.001511872
142,0.001413469
143,0.001325069
144,0.001369856
145,0.001284168
146,0.001334108
147,0.001181487
148,0.001050017
149,0.001183912
150,0.0009648161
151,0.0007989592
152,0.0007270012
153,0.0006192722
154,0.0005976902
155,0.0007585835
156,0.0006050288
157,0.0005070246
158,0.0005463997
159,0.000502773
160,0.0005307071
161,0.0005367119
162,0.0005903954
163,0.001318907
164,0.001163067
165,0.0009105105
166,0.0006592004
167,0.0005619888
168,0.0006130582
169,0.0006627867
170,0.0006923191
171,0.0006808258
172,0.0006972819
173,0.0007350365
174,0.0006965769
175,0.0007091706
176,0.0007003807
177,0.0006644095
178,0.0005981537
179,0.000622047
180,0.0007692943
181,0.000897837
182,0.001011928
183,0.001063158
184,0.001100675
185,0.0008324712
186,0.0008418891
187,0.0008641727
188,0.0008690533
189,0.0008568066
190,0.0007957809
191,0.0007979234
192,0.0008090293
193,0.0008154835
194,0.0008204259
195,0.0008196154
196,0.0008324404
197,0.0007971983
198,0.0008021819
199,0.0008049225
200,0.0008106282
201,0.0008331557
202,0.0008159729
203,0.000797664
204,0.0007003062
205,0.0007089192
206,0.0006882842
207,0.0006784332
208,0.0007039322
209,0.0006890643
210,0.0006826953
211,0.0006605916
212,0.0006427097
213,0.0006545527
214,0.0006731073
215,0.0006981888
216,0.0006391527
217,0.000636361
218,0.0006977935
219,0.0007015715
220,0.0006840184
221,0.0006410755
222,0.0007129328
223,0.0006579219
224,0.0006130385
225,0.0007361598
226,0.0007357542
227,0.0006991064
228,0.000682823
229,0.0006835504
230,0.0006952203
231,0.0007379921
232,0.0009062546
233,0.0006174651
234,0.0005328022
235,0.0005348022
236,0.0005287868
237,0.0005310754
238,0.0005541609
239,0.0005716076
240,0.0005821633
241,0.0005973175
242,0.0005812708
243,0.000587223
244,0.000600836
245,0.0005969459
246,0.0006715846
247,0.0006508926
248,0.0006598554
249,0.0006669014
250,0.0006365527
251,0.0006283974
252,0.0006233114
253,0.0006878973
254,0.0006837155
255,0.0006809766
256,0.0006596405
257,0.0006177835
258,0.0005857416
259,0.0005883116
260,0.0005779858
261,0.0005953508
262,0.0005688632
263,0.000543775
264,0.0005331894
265,0.0005630615
266,0.0005634807
267,0.0006463461
268,0.0006558132
269,0.0006702665
270,0.0006560381
271,0.0006815844
272,0.0006894603
273,0.0006705743
274,0.0007424571
275,0.0007396691
276,0.0007254667
277,0.0007339748
278,0.0007667323
279,0.0007599283
280,0.0007542916
281,0.0007432784
282,0.0007348907
283,0.0007245011
284,0.0006731519
285,0.0006757506
286,0.0006650891
287,0.000637043
288,0.00055757
289,0.0005819768
290,0.0005440654
291,0.0005365165
292,0.0005833536
293,0.0006200853
294,0.0006077306
295,0.0006728167
296,0.0005991299
297,0.0006012479
298,0.0005630919
299,0.0005550506
300,0.0006131054
301,0.0005691989
302,0.0005557669
303,0.0004294731
304,0.0004144913
305,0.0003969098
306,0.0002654615
307,0.0003080566
308,0.0003296749
309,0.0003935824
310,0.0004828549
311,0.0005594759
312,0.0005800711
313,0.000381206
314,0.0004150753
315,0.0004850314
316,0.0005028245
317,0.0005930608
318,0.0006420437
319,0.0008004513
320,0.0005485128
321,0.0005356009
322,0.0005736949
323,0.0007561603
324,0.0008518985
325,0.0008337622
326,0.0007956434
327,0.0006216327
328,0.000565712
329,0.0005581072
330,0.0005619102
331,0.0006355824
332,0.0006051508
333,0.0005447551
334,0.0004218808
335,0.0004473327
336,0.0004111446
337,0.0003974274
338,0.0004428607
339,0.0004741863
340,0.0005106978
341,0.0003756902
342,0.0003754778
343,0.0003638847
344,0.0003579316
345,0.0003637915
346,0.0003735876
347,0.0004027075
348,0.0004467765
349,0.0004185573
350,0.0003940198
351,0.0003909076
352,0.0004088846
353,0.0004161634
354,0.0004210434
355,0.0004112538
356,0.000443594
357,0.0004784905
358,0.0004898298
359,0.0005291566
360,0.0006465883
361,0.0006466463
362,0.0007521579
363,0.000734208
364,0.0007424376
365,0.0007593324
366,0.0008566991
367,0.0008770447
368,0.0009481921
369,0.0008672634
370,0.0008531071
371,0.0009209946
372,0.0008611518
373,0.0008946771
374,0.0008878785
375,0.0009360343
376,0.000579086
377,0.0005606025
378,0.0005636035
379,0.0005583845
380,0.0005752783
381,0.000591111
382,0.0006081338
383,0.0006670429
384,0.0006348988
385,0.0006428639
386,0.0006729734
387,0.0006654446
388,0.0005813738
389,0.0006203945
390,0.0007184209
391,0.0006764135
392,0.0006823519
393,0.0006814868
394,0.0006757122
395,0.00068841
396,0.0006935339
397,0.0008807007
398,0.000881642
399,0.0009147102
400,0.0009222899
401,0.0009101777
402,0.0009329797
403,0.0009998515
404,0.0008292279
405,0.0007215908
406,0.0007531938
407,0.0007569147
408,0.0007858895
409,0.0007942283
410,0.0008146612
411,0.0009222974
412,0.0009286441
413,0.0009066406
414,0.0008818501
415,0.0008831785
416,0.0008753352
417,0.0008747534
418,0.0007633083
419,0.0007603305
420,0.000748447
421,0.0007251202
422,0.0006741796
423,0.0006706716
424,0.0006857987
425,0.0007392271
426,0.0007896726
427,0.0007794272
428,0.0007841614
429,0.0007944381
430,0.0008291182
431,0.000840363
432,0.001130111
433,0.001180754
434,0.001184186
435,0.001024821
436,0.001034746
437,0.000971869
438,0.0009956482
439,0.0009849533
440,0.001000026
441,0.001020144
442,0.0009464707
443,0.0008473968
444,0.0008590842
445,0.0008491609
446,0.000875285
447,0.0007727409
448,0.0007602663
449,0.0007384896
450,0.0007542783
451,0.0007557429
452,0.0007938298
453,0.0006886296
454,0.0006873448
455,0.0007113342
456,0.0007402463
457,0.0007630647
458,0.0007900702
459,0.000780305
460,0.0008325831
461,0.0008207757
462,0.0008295597
463,0.0008228837
464,0.0008151538
465,0.0008212514
466,0.0008413499
467,0.0007162127
468,0.0007574187
469,0.0007796641
470,0.0007983885
471,0.0008068483
472,0.0008059206
473,0.0008669986
474,0.0008480389
475,0.0007921946
476,0.0007788928
477,0.0007806668
478,0.0007787856
479,0.0007941257
480,0.0008774713
481,0.0008414391
482,0.0008031021
483,0.0008191174
484,0.0008026442
485,0.0008235694
486,0.0008578526
487,0.0007924692
488,0.0008144634
489,0.0007952054
490,0.0008333359
491,0.0007389982
492,0.0008337289
493,0.0008394407
494,0.0008375163
495,0.0008761474
496,0.0008796271
497,0.0008977683
498,0.0008832528
499,0.0008795453
500,0.0009139832
501,0.0008790136
502,0.0008366478
503,0.0008387745
504,0.0008692681
505,0.0009058352
506,0.0008989884
507,0.0009574325
508,0.0009046839
509,0.00100242
510,0.000971179
511,0.0009456112
512,0.0008571267
513,0.0008679291
514,0.0007445379
515,0.0007846294
516,0.000744439
517,0.0007465337
518,0.0005990059
519,0.00062177
520,0.0006369307
521,0.0006001445
522,0.0005807996
523,0.0006668131
524,0.0005981619
525,0.0005731493
526,0.0006008436
527,0.0005761496
528,0.0005645534
529,0.0005539217
530,0.0005417915
531,0.0005243939
532,0.0005529793
533,0.0005463363
534,0.0005369422
535,0.0005191072
