Frame,Variance
0,0
1,0.001850262
2,0.002848311
3,0.003044279
4,0.003132309
5,0.00306632
6,0.002908517
7,0.002771605
8,0.002383293
9,0.001846749
10,0.002194821
11,0.001951206
12,0.00181047
13,0.00156639
14,0.001454125
15,0.04296264
16,0.04676163
17,0.03085265
18,0.002930242
19,0.00279687
20,0.002466787
21,0.002505206
22,0.03935776
23,0.03313415
24,0.03221791
25,0.03226496
26,0.03190732
27,0.031544
28,0.03016458
29,0.009040792
30,0.03076928
31,0.002591437
32,0.001566465
33,0.002069658
34,0.03820775
35,0.003619534
36,0.02788012
37,0.03519944
38,0.03323649
39,0.03645628
40,0.03742416
41,0.05026522
42,0.05096246
43,0.006240713
44,0.02214814
45,0.003709822
46,0.001073961
47,0.05210268
48,0.002333449
49,0.0008428697
50,0.0009192186
51,0.001971129
52,0.001223607
53,0.001631849
54,0.001252669
55,0.0257752
56,0.03249952
57,0.005332188
58,0.005372017
59,0.005410464
60,0.005532498
61,0.006235274
62,0.006112899
63,0.005254029
64,0.01221955
65,0.01489593
66,0.01336769
67,0.01779293
68,0.01529381
69,0.01390565
70,0.0126935
71,0.008592494
72,0.004783994
73,0.002312426
74,0.006417536
75,0.006605966
76,0.005335836
77,0.006890008
78,0.01605251
79,0.01438563
80,0.0151375
81,0.01465906
82,0.01443557
83,0.003960865
84,0.007302617
85,0.01889239
86,0.001158543
87,0.00117907
88,0.01239834
89,0.01234712
90,0.01242783
91,0.01247547
92,0.01107713
93,0.01706836
94,0.001655883
95,0.001637948
96,0.01418149
97,0.01646901
98,0.01654941
99,0.002038115
100,0.01864542
101,0.002070267
102,0.001313221
103,0.001314556
104,0.002575731
105,0.002701774
106,0.001908817
107,0.00171718
108,0.003988541
109,0.004005487
110,0.004025713
111,0.00431647
112,0.00393367
113,0.003426378
114,0.004237501
115,0.00302878
116,0.002954608
117,0.0037078
118,0.003072964
119,0.00365619
120,0.02104625
121,0.2337128
122,0.2371678
123,0.2327227
124,0.1016523
125,0.2447046
126,0.2400363
127,0.2637264
128,0.1524546
129,0.03221194
130,0.004986946
131,0.003393396
132,0.003715054
133,0.005129644
134,0.00661318
135,0.01256547
136,0.08833247
137,0.2666143
138,0.2498291
139,0.2380415
140,0.0283294
141,0.1034326
142,0.003076247
143,0.2786758
144,0.008474188
145,0.003360445
146,0.003256728
147,0.002222807
148,0.004896077
149,0.003917163
150,0.00244759
151,0.002039369
152,0.002886193
153,0.05147956
154,0.02149583
155,0.04483812
156,0.02955153
157,0.01689579
158,0.004726058
159,0.009012872
160,0.008676131
161,0.00213153
162,0.0005913824
163,0.001332162
164,0.001044413
165,0.001226644
166,0.001164693
167,0.002138044
168,0.002549499
169,0.003560728
170,0.003688325
171,0.01523857
172,0.004166152
173,0.01828387
174,0.01824637
175,0.01685891
176,0.008964536
177,0.009284849
178,0.009507645
179,0.009945168
180,0.00930921
181,0.004419393
182,0.001837287
183,0.005180031
184,0.001874299
185,0.004175845
186,0.002611677
