Frame,Variance
0,0
1,0.01593539
2,0.01516819
3,0.0144407
4,0.01396012
5,0.01387657
6,0.01375486
7,0.01370521
8,0.01362327
9,0.01359445
10,0.01363022
11,0.01363583
12,0.01363141
13,0.0136461
14,0.01361664
15,0.01368637
16,0.01366827
17,0.01366555
18,0.01361359
19,0.01364478
20,0.01362631
21,0.01370788
22,0.01373177
23,0.01373286
24,0.01334995
25,0.01340218
26,0.01339382
27,0.01334265
28,0.01332844
29,0.01333463
30,0.01332984
31,0.01276322
32,0.0127611
33,0.01269887
34,0.01271673
35,0.0127719
36,0.01261576
37,0.01263507
38,0.01271859
39,0.01264536
40,0.01255519
41,0.01243802
42,0.01229678
43,0.01227153
44,0.01216487
45,0.01253042
46,0.0123811
47,0.01199673
48,0.01169698
49,0.01149084
50,0.01138265
51,0.01135536
52,0.01153593
53,0.01122563
54,0.01108966
55,0.01103071
56,0.01082951
57,0.01051052
58,0.01021474
59,0.01017399
60,0.009856679
61,0.009651925
62,0.009477682
63,0.009268868
64,0.009131418
65,0.009028336
66,0.008872654
67,0.008576157
68,0.008149152
69,0.007729501
70,0.007291141
71,0.007133229
72,0.006909769
73,0.006870157
74,0.00669783
75,0.006711274
76,0.006713917
77,0.006659266
78,0.006631124
79,0.006626712
80,0.006536009
81,0.006492901
82,0.006530495
83,0.006449488
84,0.006406056
85,0.006370234
86,0.006365884
87,0.006342552
88,0.006388689
89,0.006339696
90,0.00623461
91,0.006118457
92,0.0060902
93,0.005434981
94,0.005187445
95,0.005065136
96,0.005049546
97,0.005008169
98,0.004995847
99,0.004929285
100,0.004865599
101,0.004928726
102,0.004897278
103,0.004881247
104,0.004856978
105,0.004796175
106,0.004740461
107,0.004666361
108,0.004675002
109,0.004639754
110,0.004598056
111,0.004535565
112,0.004499936
113,0.004452493
114,0.004415449
115,0.004519196
116,0.004476239
117,0.004427561
118,0.004394218
119,0.004398849
120,0.004337512
121,0.004344592
122,0.004264785
123,0.004276691
124,0.004257976
125,0.00416225
126,0.004146644
127,0.004095358
128,0.004017993
129,0.004076081
130,0.004069859
131,0.004021256
132,0.004022772
133,0.004005124
134,0.003928591
135,0.003916497
136,0.003884025
137,0.003843834
138,0.003851362
139,0.003854908
140,0.003840932
141,0.003741359
142,0.003754514
143,0.003727276
144,0.003718784
145,0.003736282
146,0.003704349
147,0.003700627
148,0.003720907
