Frame,Variance
0,0
1,0.001375663
2,0.00112565
3,0.001101995
4,0.001114582
5,0.001096033
6,0.001220485
7,0.001511047
8,0.001066548
9,0.00105727
10,0.001053573
11,0.001028214
12,0.001033161
13,0.001028319
14,0.001073628
15,0.001191653
16,0.00118149
17,0.001150974
18,0.001159675
19,0.001193969
20,0.001143164
21,0.001134268
22,0.001164815
23,0.001135749
24,0.001117294
25,0.001142277
26,0.001163289
27,0.001181996
28,0.001177215
29,0.001145369
30,0.00114088
31,0.001142356
32,0.001101547
33,0.001022863
34,0.001091602
35,0.001030202
36,0.0008368363
37,0.0009216116
38,0.0009116695
39,0.000856648
40,0.0009051193
41,0.0009046948
42,0.0008030425
43,0.0008557163
44,0.0006975015
45,0.0007232897
46,0.0006744178
47,0.0007067238
48,0.0006636769
49,0.0007554234
50,0.0005837321
51,0.0005542642
52,0.000609028
53,0.00060893
54,0.0006958036
55,0.0005958302
56,0.000671319
57,0.0008664578
58,0.0008889662
59,0.0008629294
60,0.0008471744
61,0.0008907499
62,0.0008186799
63,0.0008151719
64,0.001003959
65,0.0009343057
66,0.0009806957
67,0.0009920438
68,0.0009636861
69,0.0009888154
70,0.001034843
71,0.0009099356
72,0.0008379793
73,0.000910208
74,0.000782718
75,0.0008119204
76,0.0008087779
77,0.000845891
78,0.000938717
79,0.0009237367
80,0.0009245584
81,0.0008803806
82,0.0009108222
83,0.0007898964
84,0.0007555322
85,0.0007110577
86,0.0006832462
87,0.0007123029
88,0.0007380698
89,0.0008072776
90,0.0008805438
91,0.0007751653
92,0.0008448287
93,0.0008191196
94,0.0007640636
95,0.0007759634
96,0.0007885527
97,0.000830523
98,0.0007755267
99,0.0007702632
100,0.0007960997
101,0.0007416499
102,0.0008267023
103,0.0007798722
104,0.0008481751
105,0.000854995
106,0.001039171
107,0.0009816819
108,0.0009647385
109,0.0009418878
110,0.0009903642
111,0.0009347005
112,0.0009381711
113,0.001020028
114,0.0008558056
115,0.0008908942
116,0.001007053
117,0.00093144
118,0.001018398
119,0.0009729959
120,0.001012231
121,0.001098942
122,0.001062858
123,0.001083416
124,0.001092278
125,0.001126188
126,0.001094221
127,0.001226504
128,0.001243295
129,0.001377261
130,0.001303529
131,0.00137031
132,0.001476041
133,0.001544931
134,0.0008956544
135,0.0009315313
136,0.000963019
137,0.001007072
138,0.0009079105
139,0.000887799
140,0.0007642993
141,0.0009700527
142,0.0008185055
143,0.000796298
144,0.0009696284
145,0.0008564123
146,0.0008926434
147,0.0008149422
148,0.0008090714
149,0.0009889497
150,0.0008086718
151,0.0007726342
152,0.000791539
153,0.0005143991
154,0.000595247
155,0.0005246606
156,0.0004391984
157,0.0003951507
158,0.0004509475
159,0.0003049041
160,0.0003770003
161,0.0003389068
162,0.0006448099
163,0.0004059732
164,0.0003883768
165,0.0003825954
166,0.0003740203
167,0.0002371528
168,0.0002353371
169,0.0002788109
170,0.0002907444
171,0.0002809913
172,0.0003091155
173,0.0003373702
174,0.0003347791
175,0.0003285631
176,0.0003211192
177,0.0002903834
178,0.0002869437
179,0.0003124508
180,0.0003659409
181,0.0003774434
182,0.0004586494
183,0.0003823911
184,0.0005795291
185,0.0003693508
186,0.0003774003
187,0.0003940288
188,0.0003756584
189,0.0003875258
190,0.0003504562
191,0.0003214297
192,0.0006144071
193,0.0003246034
194,0.0003301542
195,0.0005806523
196,0.0003492502
197,0.0003462457
198,0.0003191405
199,0.0003445953
200,0.0003422549
201,0.0003284435
202,0.0003347514
203,0.0003696074
204,0.0002959481
205,0.0003138458
206,0.0002952526
207,0.0004836091
208,0.0002865524
209,0.0002631023
210,0.0002669237
211,0.0002412487
212,0.0001892561
213,0.0002484837
214,0.0002131759
215,0.0002351443
216,0.0002196673
217,0.00024677
218,0.0002368452
219,0.0001934076
220,0.0002007919
221,0.0002043203
222,0.0002389611
223,0.0002188474
224,0.0002019672
225,0.0001928599
226,0.0001901837
227,0.0001870316
228,0.0001815233
229,0.0001842966
230,0.0001923158
231,0.0002061477
232,0.0002455745
233,0.0002484975
234,0.0002464962
235,0.0002364359
236,0.0002350703
237,0.000234751
238,0.0002524845
239,0.0003671106
240,0.000412744
241,0.0004163907
242,0.0003971356
243,0.0003620832
244,0.0003785323
245,0.0003771293
246,0.000669537
247,0.0006527717
248,0.0006599608
249,0.0007023491
250,0.000622182
251,0.0004828403
252,0.0004643723
253,0.0005203896
254,0.0005206136
255,0.000523195
256,0.0004960918
257,0.0004447778
258,0.0004255232
259,0.0004174545
260,0.0004361748
261,0.0004160852
262,0.0004087652
263,0.0003948633
264,0.0003867315
265,0.0003988249
266,0.0004013895
267,0.0004967626
268,0.0005062094
269,0.0005174854
270,0.0005117708
271,0.0005305664
272,0.0005434942
273,0.0005145494
274,0.0006121707
275,0.0005959448
276,0.0005837507
277,0.0005976713
278,0.0006316592
279,0.0006171722
280,0.0005985126
281,0.0005742904
282,0.0005464925
283,0.0005369137
284,0.000495955
285,0.0004825291
286,0.0004577277
287,0.0004350498
288,0.0003924074
289,0.0004334802
290,0.0003778755
291,0.0003802219
292,0.0004262922
293,0.0004482377
294,0.0004453545
295,0.0005964792
296,0.0005574349
297,0.0005699105
298,0.0005526922
299,0.0005305409
300,0.0005568268
301,0.0005081936
302,0.0005290454
303,0.0003818355
304,0.0003702237
305,0.0003495667
306,0.0002058424
307,0.0003065974
308,0.0002790865
309,0.0003478058
310,0.0004206481
311,0.0006093023
312,0.0004478032
313,0.0003368795
314,0.0003776308
315,0.0004441943
316,0.000453095
317,0.0004672619
318,0.0004675956
319,0.0005225831
320,0.0004506645
321,0.000453278
322,0.0004788153
323,0.0005550395
324,0.0005836049
325,0.0006013562
326,0.0005754062
327,0.0004162339
328,0.0003838077
329,0.0003885877
330,0.0004071831
331,0.000490743
332,0.0004481693
333,0.0004194238
334,0.0003113366
335,0.0003680756
336,0.0003381541
337,0.0003300014
338,0.0003637703
339,0.0003852052
340,0.0004355197
341,0.000337203
342,0.0003411758
343,0.0003238929
344,0.0003223812
345,0.0003217441
346,0.0003238244
347,0.0002211665
348,0.0002014676
349,0.00018964
350,0.0001903248
351,0.0001808284
352,0.0002022886
353,0.0002170777
354,0.0002182126
355,0.0002061421
356,0.0002233679
357,0.0002428817
358,0.0002387616
359,0.0002584932
360,0.0003157117
361,0.0003111752
362,0.0003422284
363,0.0003314357
