Frame,Variance
0,0
1,0.002385845
2,0.002341089
3,0.0023198
4,0.002383681
5,0.002278647
6,0.002361982
7,0.002189551
8,0.001296255
9,0.001242118
10,0.001262862
11,0.001227268
12,0.001235392
13,0.001216504
14,0.001197724
15,0.001534161
16,0.001623013
17,0.00170058
18,0.001592069
19,0.001629164
20,0.001452726
21,0.001491042
22,0.001193305
23,0.001190223
24,0.001172783
25,0.001319294
26,0.001311917
27,0.001351266
28,0.001328177
29,0.001407296
30,0.001480399
31,0.001495712
32,0.001119289
33,0.001064231
34,0.001082958
35,0.001079266
36,0.0008605365
37,0.0008587072
38,0.0008957734
39,0.0008764021
40,0.0009108622
41,0.0009119583
42,0.000958233
43,0.001033438
44,0.0009313324
45,0.0008046119
46,0.0008344898
47,0.0008608796
48,0.0008434872
49,0.0008455786
50,0.0008321215
51,0.0007972876
52,0.0008035607
53,0.0008105125
54,0.0008494388
55,0.0007982494
56,0.0008364487
57,0.000888556
58,0.0008905961
59,0.0008816111
60,0.000875076
61,0.0008748166
62,0.0008321746
63,0.0008477795
64,0.001254886
65,0.0007495599
66,0.0007705282
67,0.000790412
68,0.0007449672
69,0.0007606468
70,0.0007620672
71,0.0007899447
72,0.0007027757
73,0.000782826
74,0.0007518278
75,0.0007361616
76,0.0006734548
77,0.000788238
78,0.0008742416
79,0.0008700326
80,0.0008309739
81,0.0008713093
82,0.0008587358
83,0.0007871867
84,0.0007630902
85,0.0007036373
86,0.0006888137
87,0.0007001022
88,0.000648895
89,0.0006775364
90,0.0007481988
91,0.0007372244
92,0.0008813809
93,0.0008270776
94,0.0008065636
95,0.0008177253
96,0.0008629603
97,0.0008992019
98,0.0008858711
99,0.0007754661
100,0.0006964173
101,0.0007883706
102,0.0007924847
103,0.0007856013
104,0.000877586
105,0.0008726094
106,0.0009169437
107,0.0008866588
108,0.0008965295
109,0.0009073163
110,0.0008630736
111,0.0008474443
112,0.0008163784
113,0.000925757
114,0.0009149463
115,0.0009114016
116,0.001006111
117,0.0009060889
118,0.0009456297
119,0.0009276596
120,0.0009950392
121,0.0009785136
122,0.001048391
123,0.001066291
124,0.001107418
125,0.001092168
126,0.001150369
127,0.001217943
128,0.001256433
129,0.001337474
130,0.001329231
131,0.001393715
132,0.001507682
133,0.001536209
134,0.001532126
135,0.001567335
136,0.001574521
137,0.001624581
138,0.001661799
139,0.001539337
140,0.001250032
141,0.001510051
142,0.001420552
143,0.001328496
144,0.001369856
145,0.001286437
146,0.00133694
147,0.001182202
148,0.001068251
149,0.001201585
150,0.0007957361
151,0.0007939687
152,0.0007270012
153,0.0006192722
154,0.0005976902
155,0.0007170731
156,0.0006074777
157,0.0005079596
158,0.0005455251
159,0.0005014959
160,0.0005269569
161,0.0005362682
162,0.0005922617
163,0.001315933
164,0.001165023
165,0.0009105105
166,0.0006592004
167,0.0005619888
168,0.000608358
169,0.0006588155
170,0.0006897882
171,0.0006808258
172,0.0006977208
173,0.0007350365
174,0.0006965769
175,0.0007091706
176,0.0007003807
177,0.0006647788
178,0.0005975046
179,0.000622047
180,0.0007692943
181,0.00085962
182,0.0009100314
183,0.0008306101
184,0.001013533
185,0.0008331334
186,0.0008502484
187,0.0008680795
188,0.0008668685
189,0.0008568066
190,0.0007957809
191,0.000798817
192,0.0008090293
193,0.0008154835
194,0.0008204259
195,0.0008196154
196,0.0008324404
197,0.0007971983
198,0.0008103299
199,0.0008049225
200,0.0008106282
201,0.0008331557
202,0.0008159729
203,0.0008068989
204,0.0007038385
205,0.0007089192
206,0.0006882842
207,0.0006784332
208,0.0007039322
209,0.0006890643
210,0.0006840075
211,0.0006362732
212,0.0006402844
213,0.0006560847
214,0.0006746821
215,0.0007010906
216,0.0006406976
217,0.0006431611
218,0.0006906759
219,0.0006726239
220,0.0006184789
221,0.0005997341
222,0.0006493703
223,0.0006342076
224,0.0005883561
225,0.0005595302
226,0.0005557811
227,0.0005474808
228,0.0005467892
229,0.0005423362
230,0.0005434293
231,0.0005606543
232,0.0005288192
233,0.0005216642
234,0.0005312032
235,0.0005348022
236,0.0005287868
237,0.0005310754
238,0.0005541609
239,0.0005716076
240,0.0005821633
241,0.0005973175
242,0.0005812708
243,0.000587223
244,0.000600836
245,0.0005969459
246,0.0006715846
247,0.0006508926
248,0.0006598554
249,0.0006669014
250,0.0006365527
251,0.0006285232
252,0.0006515858
253,0.0006600577
254,0.0006627808
255,0.0006493383
256,0.00062137
257,0.0006151987
258,0.0005690254
259,0.0005737865
260,0.0005447202
261,0.0005576866
262,0.0005523535
263,0.0005389408
264,0.0005332129
265,0.0005630615
266,0.0005638525
267,0.0006466454
268,0.0006558143
269,0.0006702665
270,0.0006560381
271,0.0006815127
272,0.0006894603
273,0.0006705743
274,0.0007435539
275,0.0007404232
276,0.0007255076
277,0.0007341124
278,0.0007667323
279,0.0007599283
280,0.0007547685
281,0.0007434153
282,0.0007229095
283,0.000724166
284,0.0006731377
285,0.0006757506
286,0.0006651402
287,0.0006370422
288,0.0005563773
289,0.0005818143
290,0.000543781
291,0.0005369816
292,0.0005838895
293,0.0006221939
294,0.0006070015
295,0.0006618268
296,0.0006002343
297,0.0006013527
298,0.0005639521
299,0.0005551973
300,0.0006149119
301,0.0005654212
302,0.0005546986
303,0.000427619
304,0.0004144175
305,0.0003928225
306,0.0002504747
307,0.0003023177
308,0.0003275542
309,0.0003938374
310,0.0004833726
311,0.0005667455
312,0.0005862704
313,0.0003950064
314,0.0004290996
315,0.0005168629
316,0.0005221098
317,0.0006312453
318,0.0007024645
319,0.0008543396
320,0.0005877707
321,0.0005731621
322,0.0006078174
323,0.0007585181
324,0.0008595817
325,0.0008579556
326,0.0008063418
327,0.0006200215
328,0.0005654839
329,0.0005583628
330,0.0005630812
331,0.0006411768
332,0.0006117821
333,0.0005520608
334,0.0004223261
335,0.0004465207
336,0.0004111446
337,0.0003974274
338,0.0004428607
339,0.0004757566
340,0.0005123131
341,0.0003712339
342,0.0003754601
343,0.0003639994
344,0.0003579316
345,0.0003637915
346,0.0003735876
347,0.0004027778
348,0.0004293104
349,0.0004073868
350,0.0003891298
351,0.0003859736
352,0.000408301
353,0.0004163464
354,0.0004209985
355,0.0004097584
356,0.0004436471
357,0.0004784905
358,0.0004897969
359,0.0005291114
360,0.0006205084
