Frame,Variance
0,0.00143736
1,0.001309465
2,0.00129952
3,0.001295657
4,0.001332764
5,0.001340816
6,0.001534736
7,0.001189198
8,0.001264455
9,0.001188696
10,0.00115662
11,0.001210996
12,0.001184463
13,0.001236405
14,0.001280679
15,0.001264631
16,0.001342654
17,0.001304118
18,0.001265464
19,0.00122839
20,0.001208294
21,0.001290879
22,0.001320642
23,0.001261417
24,0.001236711
25,0.001281431
26,0.001365824
27,0.001225207
28,0.001262471
29,0.001264028
30,0.001302815
31,0.001243641
32,0.001181374
33,0.001191877
34,0.001201451
35,0.000938131
36,0.0008220227
37,0.0009088571
38,0.0007412723
39,0.0009406309
40,0.0009942719
41,0.001002564
42,0.0009181538
43,0.0007891052
44,0.0006769914
45,0.0009318097
46,0.001017154
47,0.0008409024
48,0.0008035866
49,0.0006051277
50,0.000664479
51,0.0006238006
52,0.0006266139
53,0.000657259
54,0.0006509519
55,0.0007068184
56,0.0006897174
57,0.0006716257
58,0.0007143886
59,0.0006463075
60,0.0006666383
61,0.0006631258
62,0.0006239957
63,0.0007600437
64,0.0007322088
65,0.0007306749
66,0.0007385587
67,0.0006992791
68,0.000733214
69,0.0007311378
70,0.0008163893
71,0.0007218301
72,0.0008234558
73,0.0007789332
74,0.0007368231
75,0.0006685097
76,0.0007631443
77,0.0008088967
78,0.0008306513
79,0.0008195682
80,0.0008663394
81,0.0008853633
82,0.0007814412
83,0.0007623194
84,0.0007403387
85,0.0007000465
86,0.000770991
87,0.0006730556
88,0.0006667308
89,0.0007489678
90,0.0007221071
91,0.0007721554
92,0.0007986446
93,0.000723873
94,0.0007528313
95,0.0007537011
96,0.0007932069
97,0.0008160061
98,0.0006755873
99,0.0005930187
100,0.0006872712
101,0.0007437347
102,0.0007226013
103,0.0007813486
104,0.0008099352
105,0.0009222743
106,0.0008629952
107,0.000815841
108,0.00089693
109,0.0008512494
110,0.0009174733
111,0.0008229573
112,0.0009058482
113,0.000845109
114,0.000814345
115,0.0008416378
116,0.0008617988
117,0.0008471243
118,0.0008202591
119,0.000800623
120,0.0007900951
121,0.0009279366
122,0.000897883
123,0.0009120248
124,0.0009544203
125,0.0008962747
126,0.001023617
127,0.0009611555
128,0.0009663103
129,0.0009157265
130,0.001015198
131,0.001071156
132,0.001125537
133,0.001025055
134,0.0009871455
135,0.0009694736
136,0.001127707
137,0.00101213
138,0.0009548922
139,0.0008446399
140,0.0009479821
141,0.0008372662
142,0.0007884821
143,0.0007802385
144,0.0008292231
145,0.0006761603
146,0.0006791909
147,0.0005705464
148,0.0008247231
149,0.00064233
150,0.0005446047
151,0.000516397
152,0.000373445
153,0.0003633869
154,0.0004771162
155,0.0003757853
156,0.0003249968
157,0.0003670329
158,0.0002883631
159,0.0002660053
