Frame,Variance
0,0.01487207
1,0.01385623
2,0.01369984
3,0.01372891
4,0.0137462
5,0.01366966
6,0.01368409
7,0.01362285
8,0.01360169
9,0.01364106
10,0.01365744
11,0.01363794
12,0.01367518
13,0.01362015
14,0.013687
15,0.01365963
16,0.01369006
17,0.01364306
18,0.01364729
19,0.01364134
20,0.01371015
21,0.01372984
22,0.01373275
23,0.01335215
24,0.01342524
25,0.01341878
26,0.01333822
27,0.01328641
28,0.01330229
29,0.01330132
30,0.01276644
31,0.01275637
32,0.01271041
33,0.01273095
34,0.01275444
35,0.01260145
36,0.01262582
37,0.0127115
38,0.01265018
39,0.01256872
40,0.01245573
41,0.01232927
42,0.01228481
43,0.01217581
44,0.01253556
45,0.0122539
46,0.01173717
47,0.01160357
48,0.01150848
49,0.01141799
50,0.01137911
51,0.01147869
52,0.01123726
53,0.01109128
54,0.01101862
55,0.01084905
56,0.0105328
57,0.01021857
58,0.01018889
59,0.009881592
60,0.009677922
61,0.009512463
62,0.00932407
63,0.009160177
64,0.009031109
65,0.008887485
66,0.008568737
67,0.008130822
68,0.007734308
69,0.007310504
70,0.007141359
71,0.006923449
72,0.00688211
73,0.006712434
74,0.006735208
75,0.006721263
76,0.006684645
77,0.006656358
78,0.006646473
79,0.006555565
80,0.006515028
81,0.006550219
82,0.006468094
83,0.00643139
84,0.006390077
85,0.006395094
86,0.006367261
87,0.006403833
88,0.006365367
89,0.006265613
90,0.006144808
91,0.006111242
92,0.00527959
93,0.005161489
94,0.005075241
95,0.005041086
96,0.005006387
97,0.004982634
98,0.004937585
99,0.004857204
100,0.004927328
101,0.004897974
102,0.004870611
103,0.004842527
104,0.004779476
105,0.004720836
106,0.004659541
107,0.004675504
108,0.004630095
109,0.004587635
110,0.004525403
111,0.004491509
112,0.004452871
113,0.00441635
114,0.004541005
115,0.004491621
116,0.004436409
117,0.004395314
118,0.00440802
119,0.004343173
120,0.004350709
121,0.004277986
122,0.004282405
123,0.004261081
124,0.004164851
125,0.00414171
126,0.00409878
127,0.00401838
128,0.004089653
129,0.004075963
130,0.004031489
131,0.004026432
132,0.004008465
133,0.003928791
134,0.003913684
135,0.003883393
136,0.003841865
137,0.003849763
138,0.003850097
139,0.003843336
140,0.003747644
141,0.003749035
142,0.003740798
143,0.003726246
144,0.003749913
145,0.003709354
146,0.003711082
147,0.003733347
148,0.00369196
149,0.003678711
150,0.003708552
151,0.003721527
152,0.003721809
153,0.003765652
154,0.003767722
155,0.003803401
156,0.003820717
157,0.003860165
158,0.004017208
159,0.004067005
160,0.004111221
161,0.004240802
162,0.004302506
163,0.004317209
