Frame,Variance
0,0
1,0.001459558
2,0.001369762
3,0.001199174
4,0.001193568
5,0.001152688
6,0.001212774
7,0.001269441
8,0.001055755
9,0.0009972508
10,0.001024594
11,0.0009853498
12,0.0009901973
13,0.000989882
14,0.0009547116
15,0.001316088
16,0.001392438
17,0.001484676
18,0.001407919
19,0.001406241
20,0.001231088
21,0.001236457
22,0.001028949
23,0.001032649
24,0.0009816614
25,0.001146267
26,0.001155505
27,0.001150305
28,0.001092501
29,0.001279164
30,0.001077863
31,0.001102537
32,0.001040887
33,0.0009256182
34,0.0009571302
35,0.0009120795
36,0.0007162212
37,0.0007598028
38,0.0007554799
39,0.0007503537
40,0.0007269933
41,0.0007815572
42,0.0006725689
43,0.0008064129
44,0.000710971
45,0.0006185377
46,0.0006274965
47,0.0006648278
48,0.0006041738
49,0.000631285
50,0.0005495332
51,0.0005207273
52,0.0005821927
53,0.0004901527
54,0.0005213278
55,0.0004679562
56,0.0005305466
57,0.000736639
58,0.0007631145
59,0.0007691667
60,0.0007359195
61,0.0007855538
62,0.0007224
63,0.0007467836
64,0.001185728
65,0.000756683
66,0.0007705282
67,0.000790412
68,0.0007449672
69,0.0007606468
70,0.0007568491
71,0.0007899447
72,0.0007027757
73,0.000782826
74,0.0007518278
75,0.0007361616
76,0.0006734548
77,0.000788238
78,0.0008742416
79,0.0008700326
80,0.0008309739
81,0.0008713093
82,0.0008587358
83,0.0007871867
84,0.0007631638
85,0.0007036373
86,0.0006888137
87,0.0007001022
88,0.000648895
89,0.0006775364
90,0.0007481988
91,0.0007372244
92,0.0008813809
93,0.000767681
94,0.0007495984
95,0.000768684
96,0.0007896574
97,0.0008188556
98,0.0007961838
99,0.0007343534
100,0.0006394628
101,0.0008139368
102,0.0008054214
103,0.0007891231
104,0.000824235
105,0.0007992314
106,0.0009543831
107,0.000934764
108,0.0009185992
109,0.0009250284
110,0.0009075046
111,0.0008962823
112,0.0008673489
113,0.0009046257
114,0.0009149463
115,0.0009007233
116,0.0009708505
117,0.0008842421
118,0.0008788983
119,0.0008673353
120,0.0009199654
121,0.0009271901
122,0.0009282816
123,0.000936927
124,0.000980619
125,0.0009793434
126,0.001003694
127,0.001007236
128,0.001015527
129,0.001024883
130,0.001007174
131,0.001049548
132,0.001145091
133,0.001171243
134,0.0008705852
135,0.0008577565
136,0.0008759108
137,0.0009233577
138,0.0008512856
139,0.0008222424
140,0.0007757941
141,0.0009105011
142,0.000824375
143,0.0007584891
144,0.000890856
145,0.0007920976
146,0.0009466293
147,0.0007986443
148,0.0008060631
149,0.0009269742
150,0.000833193
151,0.0007215479
152,0.0006495946
153,0.0005191987
154,0.0005299787
155,0.0005364352
156,0.0005183704
157,0.0004857493
158,0.0003606424
159,0.000278936
160,0.000299901
161,0.0002828065
162,0.0006951236
163,0.001125627
164,0.0006906014
165,0.0006921484
166,0.0004762978
167,0.0004646727
168,0.0002941945
169,0.0002837958
170,0.0002883324
171,0.0002892796
172,0.0003106358
173,0.0003293087
174,0.0003336733
175,0.0003379868
