Frame,Variance
0,0
1,0.001579503
2,0.0013275
3,0.001297607
4,0.001336175
5,0.001315804
6,0.00135722
7,0.001497643
8,0.001064534
9,0.001038759
10,0.001072114
11,0.0009990375
12,0.001066389
13,0.0009907326
14,0.001106476
15,0.001199308
16,0.001210756
17,0.001166485
18,0.001174779
19,0.001218542
20,0.00116001
21,0.001147597
22,0.001183191
23,0.001123628
24,0.001142046
25,0.001153641
26,0.001185797
27,0.001173984
28,0.001208629
29,0.001129428
30,0.001181049
31,0.001119378
32,0.001121331
33,0.001007378
34,0.001102681
35,0.001029594
36,0.0008683776
37,0.0008840813
38,0.0009791442
39,0.0008511895
40,0.0009247437
41,0.0009178094
42,0.0008238108
43,0.0008414773
44,0.0007449073
45,0.0006302533
46,0.000685794
47,0.0007128997
48,0.0006911109
49,0.0007451831
50,0.0006254093
51,0.0005380184
52,0.0006149487
53,0.0006289723
54,0.0006968683
55,0.0005968914
56,0.0006727751
57,0.0009002907
58,0.0009486756
59,0.0008888812
60,0.0009097168
61,0.0009136598
62,0.0008686699
63,0.0008199047
64,0.001110898
65,0.0008973416
66,0.001149731
67,0.000918692
68,0.001200502
69,0.0009114649
70,0.001329021
71,0.0009050496
72,0.0009658164
73,0.0008890496
74,0.0009225945
75,0.0007763397
76,0.0009372403
77,0.0008480218
78,0.001045247
79,0.000885034
80,0.001064022
81,0.0008673067
82,0.001030634
83,0.00077537
84,0.0008164205
85,0.0006882616
86,0.0007303513
87,0.0006947126
88,0.0007255158
89,0.0007076882
90,0.0008971803
91,0.0007414815
92,0.0008535619
93,0.0007717219
94,0.0008176297
95,0.0007678402
96,0.0008409193
97,0.0008168921
98,0.0008576832
99,0.0007605989
100,0.000855408
101,0.0007388859
102,0.0008818918
103,0.0007389192
104,0.0009062741
105,0.0008109975
106,0.001152398
107,0.0009418552
108,0.001065886
109,0.0009276653
110,0.001021318
111,0.000896616
112,0.001072257
113,0.0009213179
114,0.001081884
115,0.0009099827
116,0.00102906
117,0.0008892026
118,0.0009593517
119,0.0008651688
120,0.0009619494
121,0.0009317919
122,0.0009599458
123,0.0009430206
124,0.001044424
125,0.0009823786
126,0.001056982
127,0.000988504
128,0.001107134
129,0.001012877
130,0.00114921
131,0.001030872
132,0.001221635
133,0.001170279
134,0.0009744087
135,0.0008584569
136,0.0009642545
137,0.0009301411
138,0.001026044
139,0.0008237545
140,0.0008990634
141,0.0009119492
142,0.0008472318
143,0.0007645989
144,0.001015502
145,0.0008070718
146,0.0009783624
147,0.0008298742
148,0.001501584
149,0.0009612302
150,0.0008733622
151,0.0007593229
152,0.0008219977
153,0.0006176148
154,0.0006815172
155,0.0005904321
156,0.000634159
157,0.0005772239
158,0.0005799443
159,0.0003567638
160,0.0003120123
161,0.0002869125
162,0.0006335627
163,0.0004505107
164,0.0005316124
165,0.0005111629
166,0.0003545765
167,0.0002376523
168,0.0002391475
169,0.0002809442
170,0.0003035873
171,0.000281446
172,0.0003133836
173,0.0003305616
174,0.000347281
175,0.0003314256
176,0.0003312686
177,0.000284725
178,0.0003001629
179,0.0003059341
180,0.0004012402
181,0.0003653125
182,0.0004626818
183,0.0003719
184,0.0008444672
185,0.0003727624
186,0.0003930991
187,0.0003794179
188,0.0003983614
189,0.0003517604
190,0.0003851569
191,0.0003067188
192,0.0006237454
193,0.0006838174
194,0.0006548854
195,0.0005662128
196,0.0005854788
197,0.0003260477
198,0.0003332266
199,0.0003181695
200,0.0003566977
201,0.0003175257
202,0.0003471599
203,0.0003384007
204,0.0003129565
205,0.0002868075
206,0.0003094579
207,0.0004803104
208,0.0004325956
209,0.0003136647
210,0.0003066095
211,0.0002304448
212,0.0001986421
213,0.0002434269
214,0.0002200415
215,0.0002360483
216,0.0002216471
217,0.0002434591
218,0.0002445878
219,0.0001846481
220,0.0002082146
221,0.0001946731
222,0.0002422064
223,0.0002071005
224,0.0002108695
225,0.0001867158
226,0.0001980563
227,0.0001799832
228,0.0001838253
229,0.0001755811
230,0.0002003621
231,0.0001956241
232,0.0002511989
233,0.0002380399
234,0.0002469588
235,0.0002311572
236,0.0002401428
237,0.0002266964
238,0.0002570548
239,0.000358199
240,0.0004316329
241,0.0004332275
242,0.0004274262
243,0.0003843333
244,0.0004221985
245,0.0004089501
246,0.0006620978
247,0.0006386371
248,0.0006777084
249,0.0006773373
250,0.0006584706
251,0.0004659429
252,0.0005049582
253,0.0004618646
254,0.0005392518
255,0.0004508783
256,0.0005092872
257,0.0004173304
258,0.000438011
259,0.0003872502
260,0.0004508136
261,0.0003843731
262,0.0004348346
263,0.000361354
264,0.0004129276
265,0.0003708581
266,0.0004234262
267,0.0004710015
268,0.0005317302
269,0.000491137
270,0.000533792
271,0.0005000788
272,0.0005671758
273,0.0004902604
274,0.0006531282
275,0.0005680122
276,0.0006179776
277,0.0005639336
278,0.0006794694
279,0.0005784556
280,0.000640325
281,0.0005397431
282,0.0005791702
283,0.0004999787
284,0.0005286394
285,0.0004575149
286,0.0004949768
287,0.0003981472
288,0.0004158964
