Frame,Variance
0,0
1,0.001688706
2,0.001107166
3,0.001060368
4,0.001078433
5,0.001075087
6,0.001161495
7,0.001317699
8,0.001057936
9,0.001015536
10,0.001021162
11,0.0009892259
12,0.0009852082
13,0.0009817788
14,0.0009730165
15,0.001259822
16,0.001280487
17,0.001341533
18,0.001374893
19,0.001333521
20,0.001215565
21,0.001240897
22,0.001117162
23,0.001120273
24,0.001062009
25,0.00115705
26,0.00124344
27,0.001192212
28,0.001175375
29,0.001347259
30,0.00135914
31,0.001382919
32,0.001090057
33,0.001002325
34,0.001050275
35,0.001078176
36,0.0008157888
37,0.0008531237
38,0.000880582
39,0.0008382823
40,0.0008626735
41,0.0007110924
42,0.0007116651
43,0.0007450543
44,0.0006624988
45,0.0006019095
46,0.0006773777
47,0.0007088047
48,0.0007037501
49,0.0006557084
50,0.0005047916
51,0.0004658121
52,0.0005027732
53,0.0005004269
54,0.0005307253
55,0.0004738251
56,0.0005258293
57,0.0007653002
58,0.0007533793
59,0.0007749381
60,0.0007382312
61,0.0007802177
62,0.0007150651
63,0.0007402377
64,0.001181225
65,0.001016768
66,0.0007941389
67,0.0008218689
68,0.0007663454
69,0.0007900498
70,0.0007766944
71,0.0008067862
72,0.0007277142
73,0.0008010889
74,0.0007512105
75,0.0007350761
76,0.000676413
77,0.0007868521
78,0.0008870506
79,0.000910684
80,0.0008675377
81,0.0009091368
82,0.0008968927
83,0.0008038755
84,0.0007597095
85,0.0007188304
86,0.0006979901
87,0.000715645
88,0.0006579549
89,0.0006766628
90,0.0007514368
91,0.0007372255
92,0.000898328
93,0.0008628021
94,0.0008116842
95,0.0008269314
96,0.0008710485
97,0.0009044729
98,0.0008971799
99,0.0007967706
100,0.0006932936
101,0.000790127
102,0.0007931881
103,0.0008133501
104,0.0009630968
105,0.0009170016
106,0.0009905006
107,0.000960213
108,0.0009498866
109,0.0009560308
110,0.0009130145
111,0.0008990617
112,0.0008626024
113,0.0009703081
114,0.0009878032
115,0.000973686
116,0.001039772
117,0.0009701047
118,0.0009753925
119,0.0009763325
120,0.001003632
121,0.001033842
122,0.001049596
123,0.001068307
124,0.001110613
125,0.001092226
126,0.001161176
127,0.001209252
128,0.001239501
129,0.001318917
130,0.001358143
131,0.001406341
132,0.001519312
133,0.00160636
134,0.001199423
135,0.001111386
136,0.001050055
137,0.001064247
138,0.0009514004
139,0.0009161301
140,0.0008356692
141,0.0009705286
142,0.0008882961
143,0.0008179165
144,0.0009696922
145,0.0008269125
146,0.000787431
147,0.0007747997
148,0.0008067935
149,0.0009355592
150,0.0008494273
151,0.0007438073
152,0.0006694703
153,0.0005254103
154,0.0005340392
155,0.0005434116
156,0.0005172417
157,0.0004842795
158,0.0004604589
159,0.0003226725
160,0.0003360623
161,0.0003195145
162,0.000721162
163,0.0008703845
164,0.0008508308
165,0.0007868612
166,0.0005862667
167,0.0003013588
168,0.0002475337
169,0.0002771707
170,0.00029416
171,0.0002970189
172,0.0003156991
173,0.0003391074
174,0.0003428933
175,0.0003436659
176,0.0003066493
177,0.0002866342
178,0.0002896656
179,0.0003110732
180,0.0003511672
181,0.0003714037
182,0.0004013513
183,0.0003647298
184,0.0005484665
185,0.0003706221
186,0.0003607818
187,0.0003449045
188,0.0003530456
189,0.0003548192
190,0.0003444905
191,0.0003515885
192,0.0006643143
193,0.0006965033
194,0.0007097161
195,0.0006155992
196,0.0005513435
197,0.0006254645
198,0.0003048519
199,0.0003052451
200,0.0003022803
201,0.0003100492
202,0.0003200543
203,0.0003250263
204,0.0002701223
205,0.0002789386
206,0.000268143
207,0.0004825805
208,0.0004931838
209,0.0004682652
210,0.0003970476
211,0.0002071689
212,0.0001703899
213,0.0002382403
214,0.0002033015
215,0.0002384891
216,0.0002137797
217,0.0002491988
218,0.0002288936
219,0.0001851112
220,0.0001884354
221,0.0001904365
222,0.0002148452
223,0.0002039295
224,0.0001819051
225,0.0001875435
226,0.0001849296
227,0.0001794565
228,0.0001774227
229,0.0001781163
230,0.0001843271
231,0.0001998179
232,0.0006445254
233,0.0006452763
234,0.0006738831
235,0.0007352278
236,0.000758904
237,0.0006997248
238,0.0005480977
239,0.000491908
240,0.0006598921
241,0.0006661442
242,0.0006117841
243,0.0005994614
244,0.0006430548
245,0.0005722037
246,0.0006713059
247,0.0006579753
248,0.0006612688
249,0.0006900919
250,0.0005711523
251,0.000591829
252,0.0006018503
253,0.0006966513
254,0.0007181605
255,0.0006856503
256,0.0006479409
257,0.0006204342
258,0.0005544961
259,0.0005659309
260,0.0006381421
261,0.0006589976
262,0.000638921
263,0.0005827646
264,0.0005524803
265,0.0005878305
266,0.0005856262
267,0.001074634
268,0.001067568
269,0.001062366
270,0.001061815
271,0.001113992
272,0.001143571
273,0.001108203
274,0.001309552
275,0.001304945
276,0.001260729
277,0.001259676
278,0.001273882
279,0.001260029
280,0.001205254
281,0.001118421
282,0.001158431
283,0.00102178
284,0.0009215405
285,0.0008982327
286,0.000791832
287,0.0007052956
288,0.0006226347
289,0.0006276721
290,0.00058655
291,0.0005832035
292,0.0006015228
293,0.0006464172
294,0.0006742847
295,0.0009153163
296,0.0007774165
297,0.0008333532
298,0.0007475635
299,0.0007945852
300,0.001019038
301,0.0009646452
302,0.001027014
303,0.0007152624
304,0.0006195243
305,0.000519258
306,0.0002649159
307,0.0003152071
308,0.0003158971
309,0.0003280271
310,0.0003786667
311,0.0004340114
312,0.0005288217
313,0.0006036258
314,0.0007885135
315,0.0009202221
316,0.0009033619
317,0.000751055
318,0.0006695289
319,0.0006333019
320,0.0004231717
321,0.0003656246
322,0.0003894935
323,0.0004543193
324,0.0005246545
325,0.0005659705
326,0.0005714223
327,0.0005126733
328,0.0005018772
329,0.0005443711
330,0.0005965182
331,0.0007521145
332,0.0007619933
333,0.0007290224
334,0.0005756001
335,0.0006831232
336,0.0007265457
337,0.0007344519
338,0.0007676238
339,0.0007607665
340,0.0008172676
341,0.0007446598
342,0.0007606536
343,0.0007664367
344,0.0007571577
345,0.0007526487
346,0.0007761086
347,0.0002263903
348,0.0002231929
349,0.0001876649
350,0.0001815706
351,0.0001772929
352,0.0001916612
353,0.0002044322
354,0.0002010455
355,0.0001999325
356,0.0002216557
357,0.000237775
358,0.0002383601
359,0.0002532301
360,0.0003065976
361,0.0003058487
362,0.0003392767
363,0.0003214025
364,0.0003207409
365,0.0003228565
366,0.0003653616
367,0.0003694776
368,0.0004062826
369,0.0004172776
370,0.0004039446
371,0.0004316698
372,0.000422756
373,0.000445439
374,0.0004436098
375,0.0004594189
376,0.0003564364
377,0.0003166573
378,0.0003173063
379,0.0003099028
380,0.0003239279
381,0.0003334685
382,0.0003555842
383,0.0004720958
384,0.0004600448
385,0.0004652431
386,0.0004553973
387,0.0004427734
388,0.0004243546
389,0.0004084704
390,0.0005667721
391,0.0005460292
392,0.0006881779
393,0.0006981152
394,0.0007089108
395,0.0005517631
396,0.0004417136
397,0.0005546674
398,0.0005567573
399,0.0005832425
400,0.000622584
401,0.000581295
402,0.0006029239
403,0.0006461155
404,0.0004640162
405,0.000440186
406,0.0004365577
407,0.0004334281
408,0.0004571522
409,0.0004740212
410,0.000494168
411,0.0004632293
412,0.0004520532
413,0.0004402604
414,0.0004176072
415,0.0004024348
416,0.0003910924
417,0.0003979025
418,0.000393309
419,0.0004095056
420,0.0004172296
421,0.0004052275
422,0.0004160336
423,0.000415336
424,0.000408915
425,0.0004591606
426,0.0005124097
427,0.0004889379
428,0.0005018078
429,0.0004882863
430,0.0005120915
431,0.0005479652
432,0.0006670303
433,0.000596804
434,0.0006244445
435,0.0006243021
436,0.0006381766
437,0.0005754268
438,0.0005944
439,0.0006737896
440,0.0007211827
441,0.0006740466
442,0.0007393063
443,0.0006516736
444,0.0006481187
445,0.0006346648
446,0.000833703
447,0.0008041545
448,0.000779889
449,0.0007519913
450,0.0008160383
451,0.0007061855
452,0.0007406959
453,0.0007600364
454,0.0008019249
455,0.0008098903
456,0.0008186239
457,0.0008195787
458,0.0008354778
459,0.0007762368
460,0.0008152451
461,0.0007163079
462,0.0006199282
463,0.0006710115
464,0.0006207754
465,0.000567048
466,0.0005627872
467,0.0005991212
468,0.0006568835
469,0.0006954456
470,0.0006868801
471,0.0006432417
472,0.0006937936
473,0.0007214519
474,0.0006875712
475,0.0006668125
476,0.0006385768
477,0.000638705
478,0.0006640271
479,0.0006834811
480,0.0007681543
481,0.0007855057
482,0.0007206537
483,0.0007167343
484,0.0007432576
485,0.0007710714
486,0.0007761211
487,0.0007142761
488,0.0007656388
489,0.0007121296
490,0.0007530489
491,0.000660389
492,0.0006872889
493,0.0006927503
494,0.0007112001
495,0.0007908224
496,0.0007389668
497,0.0007570959
498,0.0007407981
499,0.0007112413
500,0.0007376972
501,0.0007379231
502,0.0008492763
503,0.0008408163
504,0.0008795995
505,0.000933051
506,0.0009533329
507,0.001015648
508,0.001010871
509,0.001018802
510,0.001004611
511,0.0009590535
512,0.0009369534
513,0.0009337921
514,0.0008233194
515,0.0009146133
516,0.0008560198
517,0.0007960281
518,0.0006725479
519,0.0006361764
520,0.0006494478
521,0.0005999284
522,0.0005838816
523,0.0006676468
524,0.0006039357
525,0.0005759732
526,0.000614709
527,0.000593144
528,0.0005810898
529,0.0005735219
530,0.0005483967
531,0.0005244926
532,0.0005526743
533,0.0005453359
534,0.0005463624
535,0.0005254017
536,0.0005674903
