Frame,Variance
0,0
1,0.0176354
2,0.01717075
3,0.01701969
4,0.01696927
5,0.01681908
6,0.016665
7,0.0165655
8,0.01631222
9,0.01620325
10,0.01619379
11,0.01617115
12,0.01611106
13,0.01619571
14,0.01629108
15,0.01619071
16,0.01626114
17,0.01620187
18,0.0159998
19,0.01598535
20,0.0160451
21,0.01591937
22,0.01583512
23,0.01578082
24,0.01523271
25,0.01510849
26,0.01469609
27,0.0140253
28,0.01368099
29,0.01364933
30,0.0136487
31,0.01316639
32,0.01318817
33,0.01305316
34,0.01309522
35,0.01317933
36,0.01300607
37,0.01299288
38,0.01306545
39,0.01294201
40,0.01275393
41,0.01266611
42,0.01258214
43,0.0125553
44,0.01254332
45,0.01290902
46,0.0127888
47,0.01246641
48,0.01224376
49,0.01223539
50,0.01219138
51,0.01221312
52,0.01317582
53,0.01294562
54,0.01276215
55,0.01267666
56,0.01266486
57,0.01230181
58,0.01187173
59,0.01193771
60,0.01179677
61,0.01166984
62,0.01159135
63,0.01138102
64,0.01117865
65,0.0108029
66,0.01145333
67,0.01134157
68,0.01105226
69,0.01076074
70,0.01042868
71,0.01000267
72,0.00971662
73,0.009355456
74,0.009249267
75,0.009114893
76,0.008934428
77,0.008695051
78,0.008362366
79,0.008030143
80,0.007706228
81,0.007392578
82,0.007428231
83,0.007160658
84,0.006889568
85,0.006680485
86,0.006658719
87,0.006467616
88,0.006289984
89,0.006091557
90,0.005829968
91,0.00558297
92,0.005420134
93,0.005318257
94,0.005203877
95,0.005122917
96,0.005110327
97,0.005046455
98,0.005007389
99,0.004995109
100,0.004963382
101,0.005003136
102,0.00498884
103,0.00496014
104,0.004946732
105,0.004922662
106,0.004926815
107,0.004912327
108,0.005007366
109,0.005014179
110,0.004948733
111,0.004863181
112,0.004896134
113,0.004893138
114,0.004860847
115,0.005043034
116,0.005083619
117,0.005001786
118,0.004946276
119,0.005100062
120,0.005052408
121,0.00508529
122,0.004936262
123,0.00499447
124,0.00494494
125,0.004872125
126,0.004824852
127,0.004781592
128,0.004627573
129,0.004620544
130,0.004639031
131,0.004548266
132,0.004486464
133,0.00435694
134,0.004125934
135,0.003962308
136,0.0039173
137,0.003877467
138,0.003886976
139,0.003892555
140,0.003871034
141,0.003772222
142,0.00379067
143,0.003764651
144,0.003742901
145,0.003773904
146,0.003736973
147,0.003737881
148,0.003752111
149,0.003723267
150,0.003706012
151,0.003723399
152,0.00374912
153,0.003755026
154,0.003789467
155,0.003792672
156,0.003837043
157,0.003853558
158,0.003892082
159,0.004054916
160,0.004110524
161,0.004151495
162,0.004290223
163,0.004346815
164,0.004382326
165,0.004525894
166,0.004603241
167,0.004488801
168,0.004585507
169,0.004757524
170,0.004901345
171,0.005015241
172,0.004984765
173,0.005135016
174,0.005102892
175,0.005117609
176,0.005180069
177,0.005298584
178,0.005362771
179,0.005311859
180,0.005356025
181,0.005175276
182,0.005192406
183,0.005252987
184,0.005173935
185,0.005046743
186,0.004910992
187,0.004819101
188,0.004788246
189,0.004754438
190,0.004748286
191,0.004715481
192,0.004676034
193,0.004737097
194,0.004814878
195,0.00480513
196,0.004870469
197,0.004973605
198,0.005077798
199,0.005257401
200,0.005339458
201,0.005408784
202,0.005258793
203,0.005261158
204,0.005237177
205,0.005240766
206,0.005160118
207,0.005071108
208,0.005137792
209,0.004818554
210,0.004743132
211,0.004683577
212,0.004739245
213,0.004728808
214,0.004646879
215,0.004613597
216,0.004654032
217,0.00465603
218,0.004589695
219,0.004580407
220,0.004508407
221,0.004539405
222,0.004550532
223,0.004584218
224,0.004610342
225,0.004586724
226,0.004617076
227,0.004656225
228,0.004670181
229,0.004719777
230,0.004748594
231,0.004761175
232,0.004781627
233,0.004797393
234,0.00484837
235,0.004839522
236,0.004853082
237,0.004870445
238,0.004950759
239,0.004970737
240,0.004994547
241,0.005079227
242,0.005098904
243,0.005092704
244,0.00516493
245,0.005238699
246,0.00526417
247,0.005310689
248,0.005372893
249,0.005472895
250,0.005471258
251,0.005526358
252,0.005521293
253,0.005533664
254,0.005566849
255,0.005571988
256,0.005594182
257,0.005618684
258,0.005419081
259,0.005388891
260,0.005417451
261,0.005458289
262,0.005421947
263,0.005449913
264,0.005425998
265,0.005503324
266,0.005497364
267,0.005459173
268,0.005448333
269,0.005486624
270,0.005462286
271,0.005438921
272,0.00554933
273,0.005532439
274,0.005530003
275,0.005548582
276,0.005553381
277,0.005547222
278,0.005550129
279,0.005566972
280,0.00563039
281,0.005562994
282,0.005516758
283,0.005509312
284,0.005510229
285,0.005426058
286,0.005324375
287,0.005269504
288,0.005227302
289,0.005097775
290,0.005147889
291,0.005327297
292,0.005306216
293,0.005380973
294,0.005551105
295,0.005684265
296,0.005792221
297,0.00557714
298,0.005328663
299,0.005531393
300,0.005503982
301,0.006108757
302,0.006631968
303,0.006802898
304,0.006873952
305,0.006945558
306,0.006801657
307,0.007059749
308,0.007359432
309,0.007711242
310,0.008031323
311,0.008422974
312,0.008535217
313,0.007220176
314,0.00581859
315,0.005269633
316,0.004880324
317,0.004890203
318,0.0049986
319,0.005032531
320,0.005115238
321,0.005200708
322,0.005102271
323,0.005065721
324,0.005000593
325,0.00489543
326,0.004798586
327,0.004593024
328,0.004545837
329,0.004418597
330,0.004323314
331,0.004325022
332,0.004345695
333,0.004310776
334,0.004467569
335,0.004533523
336,0.004584383
337,0.004644497
338,0.004688488
339,0.004746523
340,0.004771162
341,0.004404757
342,0.004381459
343,0.004327683
344,0.004295089
345,0.004223682
346,0.004023756
347,0.003797822
348,0.004013123
349,0.004078366
350,0.004140817
351,0.004144295
352,0.004200069
353,0.004202906
354,0.004263207
355,0.004220235
356,0.004166664
357,0.004323878
358,0.004370593
359,0.00446963
360,0.004519643
361,0.004864284
362,0.004912954
363,0.005112553
364,0.005314987
365,0.005478653
366,0.005723399
367,0.005826311
368,0.005901913
369,0.005878728
370,0.005850803
371,0.005924365
372,0.005957745
373,0.00586986
374,0.005966762
375,0.006045815
376,0.006115879
377,0.00610553
378,0.006044622
379,0.006003901
380,0.005888859
381,0.005858197
382,0.005816568
383,0.006347453
384,0.006349774
385,0.006344468
386,0.006220912
387,0.006164258
388,0.006092671
389,0.005992179
390,0.006476819
391,0.006631343
392,0.006697154
393,0.006589333
394,0.006462393
395,0.006481666
396,0.006150394
397,0.006943252
398,0.006754592
399,0.006353373
400,0.006099899
401,0.006024807
402,0.005965264
403,0.00571079
404,0.005347897
405,0.005145466
406,0.005011582
407,0.004924653
408,0.004777965
409,0.004676383
410,0.004863326
411,0.004795689
412,0.004940436
413,0.004902291
414,0.004873744
415,0.004619137
416,0.004615775
417,0.004640844
418,0.004701891
419,0.004678169
420,0.004717786
421,0.004681984
422,0.004833786
423,0.004906318
424,0.004840983
425,0.004662917
426,0.004414198
427,0.00431882
428,0.004300703
429,0.004287132
430,0.004248139
431,0.004190731
432,0.003782324
433,0.003557342
434,0.00359727
435,0.003655904
436,0.003954182
437,0.003853685
438,0.003692426
439,0.004155713
440,0.004276952
441,0.004367738
442,0.004150474
443,0.004170225
444,0.004318239
445,0.004238476
446,0.004384953
447,0.0044628
448,0.004544406
449,0.004731318
450,0.004865885
451,0.005101758
452,0.00521311
453,0.005376672
454,0.005688871
455,0.005857558
456,0.006036424
457,0.006187256
458,0.006318814
459,0.006376833
460,0.006580937
461,0.00693711
462,0.00734354
463,0.00749197
464,0.00756344
465,0.007635531
466,0.007699044
467,0.00754494
468,0.007165401
469,0.007350396
470,0.00721993
471,0.00717744
472,0.007035426
473,0.007006225
474,0.007535967
475,0.007464529
476,0.007314708
477,0.007423276
478,0.007186932
479,0.007133441
480,0.00708385
481,0.007090338
482,0.007010353
483,0.006994045
484,0.006992222
485,0.007075315
486,0.006936199
487,0.006997148
488,0.006924572
489,0.006819221
490,0.00676985
491,0.006428849
492,0.006261915
493,0.006102948
494,0.006060345
495,0.005970356
496,0.006083557
497,0.006078069
498,0.006024234
499,0.006020815
500,0.005978185
501,0.005984258
502,0.006395682
503,0.006496421
504,0.006435808
505,0.006364566
506,0.006422326
507,0.00648901
508,0.006325367
509,0.006355001
510,0.006673647
511,0.006919301
512,0.006504344
513,0.006706344
514,0.006718724
515,0.006945409
516,0.007224811
517,0.007288794
518,0.007274771
519,0.007304437
520,0.007553804
521,0.007723828
522,0.007708809
523,0.007788042
524,0.007618782
525,0.007429148
526,0.007407682
527,0.007348056
528,0.007211357
529,0.007050986
530,0.006837862
531,0.006730284
532,0.006677763
533,0.006620524
534,0.006531641
535,0.006711505
536,0.006789485
537,0.006845948
538,0.006970973
539,0.007152638
540,0.007363827
541,0.007448345
542,0.007483468
543,0.007576191
544,0.007238811
545,0.007139222
546,0.007323312
547,0.007603535
548,0.007766305
549,0.007913782
550,0.008051784
551,0.007287005
552,0.007284247
553,0.007474943
554,0.007587112
555,0.007850998
556,0.008127783
557,0.008467627
558,0.008286857
559,0.008393828
560,0.008589827
561,0.008717516
562,0.008626204
563,0.009033044
564,0.009201622
565,0.009279942
566,0.009363109
567,0.00952069
568,0.009521843
569,0.009775691
570,0.009934656
571,0.009947625
572,0.009839427
573,0.009918606
574,0.01008214
575,0.01021035
576,0.01035968
577,0.01014622
578,0.01004102
579,0.009969247
580,0.01000302
581,0.009937468
582,0.009901624
583,0.009635658
584,0.009414841
585,0.009350829
586,0.009361736
587,0.009218045
588,0.009063747
589,0.008913227
590,0.008822275
591,0.008939002
592,0.008992033
593,0.009060565
594,0.00911501
595,0.009156241
596,0.0093184
597,0.009254616
598,0.009444468
599,0.009784654
600,0.009971756
601,0.01028261
602,0.01083449
603,0.01089088
604,0.01074631
605,0.01066011
606,0.01045151
607,0.01013023
608,0.01004393
609,0.01008572
610,0.01006839
611,0.01088601
612,0.01136908
613,0.01127301
614,0.01126295
615,0.01151816
616,0.0119318
617,0.01214077
618,0.01208482
619,0.01222532
620,0.01244939
621,0.01273163
622,0.01297633
623,0.01304554
624,0.01325145
625,0.01467766
626,0.01478801
627,0.01483289
628,0.01489314
629,0.01477481
630,0.01485996
631,0.01495445
632,0.01555297
633,0.0155191
634,0.01560023
635,0.01572032
636,0.01559626
637,0.01568454
638,0.01574234
639,0.01594502
640,0.01581726
641,0.01546951
642,0.01501262
643,0.01462735
644,0.0141841
645,0.01368538
646,0.01389444
647,0.0134577
648,0.01308276
649,0.01278477
650,0.01200934
651,0.01162661
652,0.01099454
653,0.01059092
654,0.01022816
655,0.01001643
656,0.009892192
657,0.009694444
658,0.009467656
659,0.009266505
660,0.009240922
661,0.009130044
662,0.008908268
663,0.008889597
664,0.008716866
665,0.008731304
666,0.008504591
667,0.008629922
668,0.00843885
669,0.008250009
670,0.008102485
671,0.00782258
672,0.007723237
673,0.007762304
674,0.008018901
675,0.00807414
676,0.008093412
677,0.008221214
678,0.008333181
679,0.00825678
680,0.008184394
681,0.008414172
682,0.00848161
683,0.008674617
684,0.008638209
685,0.008620294
686,0.008625123
687,0.008636818
688,0.008949403
689,0.008977606
690,0.008978519
691,0.009049368
692,0.009017506
693,0.008981897
694,0.009000381
695,0.009585299
696,0.009543793
697,0.009491206
698,0.009355791
699,0.009352335
700,0.009267118
701,0.009110103
702,0.009279945
703,0.00920481
704,0.009243084
705,0.009138852
706,0.009100273
707,0.009211184
708,0.009208522
709,0.009108545
710,0.0093295
711,0.009365467
712,0.009288555
713,0.009248536
714,0.00939747
715,0.00918632
716,0.009404352
717,0.009375779
718,0.009352688
719,0.00927864
720,0.009285723
721,0.009197371
722,0.009242142
723,0.009089257
724,0.009095992
725,0.009127818
726,0.00913447
727,0.009234722
728,0.009307082
729,0.009371715
730,0.009317704
731,0.009444149
732,0.009656589
733,0.009581478
734,0.009493505
735,0.009450346
736,0.009331718
737,0.009057966
738,0.008722113
739,0.008625568
740,0.008522184
741,0.008456626
742,0.008400296
743,0.008406744
744,0.008379367
745,0.00841102
746,0.008225876
747,0.008121217
748,0.007925141
749,0.007848285
750,0.007831277
751,0.007749296
752,0.007837046
753,0.007829569
754,0.007800078
755,0.007862039
756,0.007592027
757,0.007525779
758,0.007465254
759,0.007336968
760,0.007181002
761,0.006928061
762,0.00586316
763,0.005565533
764,0.00549789
765,0.005484826
766,0.00544704
767,0.00545388
768,0.005391519
769,0.005473108
770,0.005608797
771,0.005544645
772,0.005535084
773,0.005575999
774,0.005569527
775,0.005604985
776,0.005640232
777,0.005750496
778,0.005746503
779,0.005788001
780,0.005857666
781,0.005924533
782,0.006035874
783,0.006104451
784,0.006197053
785,0.006234283
786,0.006242658
787,0.006258099
788,0.006257324
789,0.0063114
790,0.006388627
791,0.00675244
792,0.006742691
793,0.006758615
794,0.006779489
795,0.006728896
796,0.006731543
797,0.00681276
798,0.006710642
799,0.006724461
800,0.006742659
801,0.006737133
802,0.006808804
803,0.006902114
804,0.007062325
805,0.007156906
806,0.007141024
807,0.007158934
808,0.007196702
809,0.007395817
810,0.007605719
811,0.007695424
812,0.008138306
813,0.008119395
814,0.008146884
815,0.007924751
816,0.00784183
817,0.00769924
818,0.007666151
819,0.007963661
820,0.007908248
821,0.008404062
822,0.008018096
823,0.007945755
824,0.007885518
825,0.007859629
826,0.008168327
827,0.008197138
828,0.008231102
829,0.008269235
830,0.00831187
831,0.008238799
832,0.00825828
833,0.008220715
834,0.008281677
835,0.008259698
836,0.008187046
837,0.00826453
838,0.008393086
839,0.008102341
840,0.007429054
841,0.007310282
842,0.007246019
843,0.007227181
844,0.007222115
845,0.007284649
846,0.007266363
847,0.007366831
848,0.007422973
849,0.007559071
850,0.007601128
851,0.007924601
852,0.007954486
853,0.008217958
854,0.008538412
855,0.008560893
856,0.008547512
857,0.008347092
858,0.00835826
859,0.008150066
860,0.008161257
861,0.008182163
862,0.008078122
863,0.00773262
864,0.007200213
865,0.006594955
866,0.006291529
867,0.006761343
868,0.007930581
869,0.0109508
870,0.01456968
871,0.01679046
872,0.01736739
873,0.01476707
874,0.009430827
875,0.008843661
876,0.008786116
877,0.008730678
878,0.009067044
879,0.008869863
880,0.009006682
881,0.008969748
882,0.00897072
883,0.008999102
884,0.008846272
885,0.008480698
886,0.008175988
887,0.008246244
888,0.00823932
889,0.008286537
890,0.008242814
891,0.008334839
892,0.008358072
893,0.00828616
894,0.008347573
895,0.008609484
896,0.008689692
897,0.008672285
898,0.008942952
899,0.009040579
900,0.009088323
901,0.009193262
902,0.009320718
903,0.009425807
904,0.009460094
905,0.009550642
906,0.009602777
907,0.009702514
908,0.009629513
909,0.00954292
910,0.009385267
911,0.009012521
912,0.00873005
913,0.008837096
914,0.008873545
915,0.008494231
916,0.008350373
917,0.00821986
918,0.00803771
919,0.007930369
920,0.007948516
921,0.007759321
922,0.007420103
923,0.007369758
924,0.007061307
925,0.00689508
926,0.007019999
927,0.007413592
928,0.007561494
929,0.007653426
930,0.007918593
931,0.00792463
932,0.008283528
933,0.008910232
934,0.00924213
935,0.009298448
936,0.009369414
937,0.009371719
938,0.00930429
939,0.009126052
940,0.009360543
941,0.00901946
942,0.009112058
943,0.009035885
944,0.009367648
945,0.009122892
946,0.009206329
947,0.009153083
948,0.008867063
949,0.008827627
950,0.008882649
951,0.008436508
952,0.008509739
953,0.008593725
954,0.008641419
955,0.008622038
956,0.008796552
957,0.008732922
958,0.008830676
959,0.008722321
960,0.008752496
961,0.008706828
962,0.008527881
963,0.008525624
964,0.008407628
965,0.008242247
966,0.008306725
967,0.008405773
968,0.007494685
969,0.006390934
970,0.006233323
971,0.006218869
972,0.006690794
973,0.006970481
974,0.007167284
975,0.007133709
976,0.007342563
977,0.007464516
978,0.007800353
979,0.009204803
980,0.009149413
981,0.009217194
982,0.009427734
983,0.009632482
984,0.009769241
985,0.009847435
986,0.01085248
987,0.01071958
988,0.01101338
989,0.01086768
990,0.01090316
991,0.01096386
992,0.01109156
993,0.01238007
994,0.01161436
995,0.01166068
996,0.01155799
997,0.01153786
998,0.01179446
999,0.01162435
1000,0.01215833
1001,0.0121722
1002,0.01186294
1003,0.01188826
1004,0.01140288
1005,0.01181929
1006,0.01206098
1007,0.01150946
1008,0.01151855
1009,0.0108065
1010,0.0106478
1011,0.01051055
1012,0.01102122
1013,0.01051514
1014,0.008367603
1015,0.007404444
1016,0.006720393
1017,0.00644525
1018,0.006437234
1019,0.006348035
1020,0.006299957
1021,0.005945612
1022,0.005626305
1023,0.00564718
1024,0.005673928
1025,0.005554861
1026,0.005461261
1027,0.005269402
1028,0.005098077
1029,0.005078403
1030,0.005084636
1031,0.005207865
1032,0.005120569
1033,0.005012942
1034,0.005063616
1035,0.005449728
1036,0.005624502
1037,0.005494073
1038,0.005556072
1039,0.005664327
1040,0.005693432
1041,0.00578357
1042,0.00561694
1043,0.005765921
1044,0.005894189
1045,0.006009736
1046,0.006023748
1047,0.006033469
1048,0.006004272
1049,0.005611445
1050,0.00553063
1051,0.00546151
1052,0.005538511
1053,0.005709903
