Frame,Variance
0,0
1,0.00181364
2,0.001406243
3,0.001761432
4,0.001452518
5,0.001821602
6,0.001503448
7,0.002099706
8,0.001283672
9,0.001672039
10,0.001229507
11,0.001762251
12,0.001201677
13,0.001871779
14,0.001276279
15,0.001841858
16,0.001393047
17,0.001785126
18,0.001431035
19,0.001692515
20,0.001387664
21,0.001736193
22,0.001379608
23,0.001666224
24,0.001399787
25,0.001575411
26,0.001393315
27,0.00166874
28,0.001278088
29,0.001720336
30,0.001269359
31,0.00186667
32,0.001309359
33,0.001682162
34,0.001221435
35,0.001698598
36,0.00096541
37,0.001698683
38,0.001024277
39,0.001542634
40,0.001123894
41,0.001440291
42,0.001039869
43,0.001587939
44,0.000863848
45,0.001305412
46,0.000854452
47,0.001290258
48,0.0007817424
49,0.001316669
50,0.0006365104
51,0.001104254
52,0.0006897114
53,0.001142806
54,0.0007239893
55,0.0009782147
56,0.0007440583
57,0.001558621
58,0.0008502656
59,0.002175315
60,0.0007670103
61,0.002919683
62,0.0007249913
63,0.002434019
64,0.001038794
65,0.002286429
66,0.0009372763
67,0.002740824
68,0.001014122
69,0.003178984
70,0.001008645
71,0.002198934
72,0.0008726193
73,0.002302051
74,0.0008990068
75,0.001748145
76,0.0009090626
77,0.001770605
78,0.001004553
79,0.002245825
80,0.0009150166
81,0.002057316
82,0.0009498645
83,0.001853678
84,0.0008417657
85,0.001218697
86,0.0007521424
87,0.001179998
88,0.0008164961
89,0.001208233
90,0.0009651475
91,0.001244807
92,0.0009993176
93,0.001280457
94,0.0008577433
95,0.001145534
96,0.0009496604
97,0.001416453
98,0.0009328896
99,0.001100279
100,0.0008199668
101,0.0008420175
102,0.001188173
103,0.0008890616
104,0.001143838
105,0.000925588
106,0.0009075173
107,0.001064857
108,0.001014207
109,0.001096894
110,0.0008979233
111,0.001120581
112,0.001062119
113,0.001144506
114,0.001143635
115,0.001180726
116,0.001033517
117,0.001422965
118,0.001276264
119,0.001152792
120,0.001268987
121,0.001066169
122,0.001061139
123,0.00110157
124,0.001611115
125,0.001233023
126,0.001337411
127,0.001348982
128,0.001298543
129,0.001116445
130,0.002060342
131,0.001127645
132,0.002011317
133,0.001278416
134,0.001724531
135,0.0009280556
136,0.001620162
137,0.001162751
138,0.001833148
139,0.001013405
140,0.002013815
141,0.001003029
142,0.001318501
143,0.0009738554
144,0.001761488
145,0.000959318
146,0.001121788
147,0.0008553953
148,0.001329091
149,0.001562369
150,0.0007998812
151,0.001311376
152,0.0008830872
153,0.00103245
154,0.0006593005
155,0.000801797
156,0.0004669748
157,0.0007564448
158,0.0005038863
159,0.0007905734
160,0.0004537051
161,0.0009074762
162,0.0007701569
163,0.001324744
164,0.0009246109
165,0.001374591
166,0.0003807184
167,0.0006046455
168,0.0003656758
169,0.0004726144
170,0.0004333909
171,0.0004110481
172,0.0004201944
173,0.0005105654
174,0.0004269643
175,0.0004177957
176,0.0004317688
177,0.0003014441
178,0.0004110167
179,0.0003504335
180,0.0005265846
181,0.0003791924
182,0.0005818706
183,0.0004173923
184,0.0007943597
185,0.0004440822
186,0.000574666
187,0.0005154113
188,0.0005519016
189,0.0006481655
190,0.0005532951
191,0.0006609965
192,0.0007541631
193,0.000455711
194,0.0004768324
195,0.0006073784
196,0.0005498688
197,0.0004447267
198,0.0003951862
199,0.0003960965
200,0.0004330727
201,0.0003546104
202,0.0004569344
203,0.0004212016
204,0.0004824832
205,0.0003802336
206,0.000570997
207,0.000536656
208,0.0005060614
209,0.000315422
210,0.000412365
211,0.0004136695
212,0.0003363765
213,0.0003050881
214,0.0003772738
215,0.0002765182
216,0.0002964484
217,0.0002809166
218,0.0002947845
219,0.0002583615
220,0.0002680819
221,0.0002752291
222,0.0003379665
223,0.0003493408
224,0.0002788169
225,0.0002555613
226,0.0002666758
227,0.0002253405
228,0.0002377641
229,0.0002415817
230,0.0002637644
231,0.0002710081
232,0.0003643507
233,0.0002651467
234,0.0004227156
235,0.0002368375
236,0.0004707896
237,0.0002560665
238,0.000526908
239,0.0004006066
240,0.0007385575
241,0.0004937515
242,0.0007173846
243,0.0004337738
244,0.0007684674
245,0.0004335987
246,0.001051747
247,0.0007983662
248,0.001253686
249,0.0008233791
250,0.001049391
251,0.000592847
252,0.0005857163
253,0.0006758969
254,0.0006728887
255,0.0007663998
256,0.0006710806
257,0.0005763107
258,0.0005414432
259,0.0005666943
260,0.000583098
261,0.0005850814
262,0.000507673
263,0.0005044268
264,0.000566335
265,0.0004887408
266,0.0005678253
267,0.0006096298
268,0.0006994486
269,0.0006322173
270,0.000733733
271,0.0007028248
272,0.0008158528
273,0.0006614798
274,0.0008182923
275,0.0007518107
276,0.0008044668
277,0.0007751738
278,0.0009130448
279,0.0008542566
280,0.0008436239
281,0.0007215912
282,0.0008462808
283,0.0006757627
284,0.0007322477
285,0.0006437048
286,0.0007451589
287,0.0005834467
288,0.0005464131
289,0.0005717445
290,0.0005335865
291,0.0005095768
292,0.0005695299
293,0.0005984528
294,0.0005974892
295,0.0007946729
296,0.0006743746
297,0.0009129462
298,0.0006573113
299,0.000793392
300,0.0006565686
301,0.0006884626
302,0.000615805
303,0.0004238994
304,0.0004221958
305,0.0004276215
306,0.000228868
307,0.0003634878
308,0.0003452668
309,0.0004693379
310,0.0005520707
311,0.000781443
312,0.001058611
313,0.0004939496
314,0.0004018333
315,0.000665709
316,0.0004981052
317,0.0007787091
318,0.0004951843
319,0.0007940265
320,0.0004696219
321,0.0007238887
322,0.0004914762
323,0.0008975961
324,0.0006312926
325,0.000917815
326,0.0005828931
327,0.0006494112
328,0.0004327203
329,0.0006648561
330,0.0004219676
331,0.0008681936
332,0.0004766895
333,0.0007463302
334,0.0003257456
335,0.0006033097
336,0.0003456376
337,0.0005402821
338,0.0003731367
339,0.0005584456
340,0.0004226385
341,0.0005289965
342,0.0003866992
343,0.0005459256
344,0.0003730993
345,0.0005281715
346,0.0003789492
347,0.0003875997
348,0.000278174
349,0.0002340271
350,0.0002884309
351,0.0002504532
352,0.0003185532
353,0.0003303904
354,0.0003446219
355,0.0002956812
356,0.0003129096
357,0.0003524761
358,0.0003470855
359,0.0003385138
360,0.0004429121
361,0.0004254884
362,0.0004516419
363,0.000437469
364,0.0004915866
365,0.0004419695
366,0.0005260333
367,0.0004982869
368,0.0005739771
369,0.0005311443
370,0.0005136785
371,0.0005697224
372,0.0005583817
373,0.0006345219
374,0.0005785438
375,0.0006878027
376,0.0004666444
377,0.0004915326
378,0.0004296845
379,0.0004664896
380,0.0004403535
381,0.0004201553
382,0.0005270672
383,0.0005192671
384,0.0004676809
385,0.0006420744
386,0.0004990802
387,0.0006908512
388,0.0005074166
389,0.0006761987
390,0.0005269878
391,0.0006736791
392,0.0005020507
393,0.0006600214
394,0.0005167752
395,0.0006793172
396,0.0005350159
397,0.0007818349
398,0.0006570837
399,0.001014631
400,0.0007128438
401,0.0009321773
402,0.0006861539
403,0.001089216
404,0.0005332881
405,0.000740572
406,0.0005380595
407,0.0007375445
408,0.000560527
409,0.0007729882
410,0.0005718889
411,0.0006341879
412,0.0005281036
413,0.0006556337
414,0.0005008472
415,0.000562363
416,0.0004624341
417,0.0005199985
418,0.0005085655
419,0.0006547535
420,0.000444263
421,0.0006230646
422,0.0004715452
423,0.0006549851
424,0.0004562062
425,0.0006737961
426,0.0005372314
427,0.0007223102
428,0.0006434988
429,0.0007605273
430,0.0007144387
431,0.0008039146
432,0.0009112772
433,0.0007651836
434,0.0007894447
435,0.0007488276
436,0.0009635223
437,0.0007055086
438,0.0006857652
439,0.0008416607
440,0.0007218884
441,0.001079325
442,0.0007531636
443,0.0009626503
444,0.0008237701
445,0.0009472537
446,0.0007088816
447,0.0008360374
448,0.0007240216
449,0.0008666199
450,0.0006931577
451,0.0008568616
452,0.000707471
453,0.0008263286
454,0.0006363491
455,0.0007918929
456,0.0006157183
457,0.0009074314
458,0.0007243861
459,0.001114999
460,0.0007858138
461,0.001031991
462,0.0008622206
463,0.001033225
464,0.0008999149
465,0.001019445
466,0.0008511686
467,0.001203537
468,0.0006589756
469,0.001229175
470,0.0007716338
471,0.001216203
472,0.0008416905
473,0.001055526
474,0.0007751418
475,0.0009188801
476,0.0005971455
477,0.0008860453
478,0.0007720643
479,0.001070591
480,0.0007384511
481,0.001054008
482,0.0008717775
483,0.001402996
484,0.0008387344
485,0.001298858
486,0.0008527059
487,0.001118624
488,0.0007776855
489,0.001339066
490,0.0009297185
491,0.0009552208
492,0.0008578836
493,0.001209779
494,0.0009665336
495,0.001229071
496,0.0008561888
497,0.001458187
498,0.001062852
499,0.001544742
500,0.001010111
501,0.001639693
502,0.0009356827
503,0.001419462
504,0.001046054
505,0.001657726
506,0.001027112
507,0.002403913
508,0.001135632
509,0.002214373
510,0.0009891876
511,0.002285148
512,0.001016999
513,0.001646099
514,0.0008797976
515,0.001604236
516,0.0008605173
517,0.001476387
518,0.0006977658
519,0.001636799
520,0.0007386736
521,0.001529876
522,0.0006814341
523,0.001507206
524,0.0007419078
525,0.001379772
526,0.0007691674
527,0.001134661
528,0.0007256405
529,0.0009764936
530,0.0006217275
531,0.001455737
532,0.0006917436
533,0.001039324
534,0.0006488002
535,0.001233
536,0.0006396644
537,0.001408905
538,0.0008130069
539,0.002000578
540,0.0008726218
541,0.001437429
542,0.001016894
543,0.002093382
544,0.001030055
545,0.00151676
546,0.001148543
547,0.002019555
548,0.001126688
549,0.001989343
550,0.001061941
551,0.001543778
552,0.001197584
553,0.001898116
554,0.001156747
555,0.001540098
556,0.001228126
557,0.001559172
558,0.001162707
559,0.002106261
560,0.001437687
561,0.001569254
562,0.001400304
563,0.001383876
564,0.001562438
565,0.001570656
566,0.00122399
567,0.001457294
568,0.001335348
569,0.001717358
570,0.001570446
571,0.001421585
572,0.001219986
573,0.001394672
574,0.001300109
575,0.00168143
576,0.001311619
577,0.001293933
578,0.001265366
579,0.001229554
580,0.001220451
581,0.00112754
582,0.001134487
583,0.001387096
584,0.001205167
585,0.001214008
586,0.001313073
587,0.001019103
588,0.001161169
589,0.001082659
590,0.001312035
591,0.001405394
592,0.001367116
593,0.001518089
594,0.001575951
595,0.001254317
596,0.001756098
597,0.001214408
598,0.001612712
599,0.001004291
600,0.001667591
601,0.001207117
602,0.00150821
603,0.001108354
604,0.001586495
605,0.001022036
606,0.00160926
607,0.001051724
608,0.001590157
609,0.001115922
610,0.001658359
611,0.001144325
612,0.001745946
613,0.001533537
614,0.002380085
615,0.001952379
616,0.001929413
617,0.001934003
618,0.001545535
619,0.002012811
620,0.001905739
621,0.0019354
622,0.001683279
623,0.00195897
624,0.002030398
625,0.003482356
626,0.003326305
627,0.003993176
628,0.003290186
629,0.004349488
630,0.004072445
631,0.003540267
632,0.002529757
633,0.003201029
634,0.002481523
635,0.002616186
636,0.002202291
637,0.002897059
638,0.002418744
639,0.002657433
640,0.002606733
641,0.002685354
642,0.002977408
643,0.002802488
644,0.002659123
645,0.002559419
646,0.002288892
647,0.002243007
648,0.002302607
649,0.002144009
650,0.002381334
651,0.00232028
652,0.002518957
653,0.001339196
654,0.001450683
655,0.001517165
656,0.001733437
657,0.001615915
658,0.001724499
659,0.001910074
660,0.001889689
