Frame,Variance
0,0
1,0.0003700276
2,0.0003911102
3,0.0003874775
4,0.0004758823
5,0.000444582
6,0.0006578728
7,0.0005788064
8,0.0006983308
9,0.0007202363
10,0.0006972806
11,0.0006487116
12,0.0006431844
13,0.0008491288
14,0.0008352407
15,0.0008259906
16,0.0008346231
17,0.000945383
18,0.0009126709
19,0.0009223265
20,0.0008582862
21,0.0008604075
22,0.000948231
23,0.0009732405
24,0.0009954834
25,0.001021105
26,0.0009812894
27,0.0007461549
28,0.0006898114
29,0.0006601253
30,0.0007398679
31,0.0006936811
32,0.0006665841
33,0.001002952
34,0.001361197
35,0.001285074
36,0.001401201
37,0.001358994
38,0.000808745
39,0.0007400947
40,0.0007253306
41,0.0004161749
42,0.000333412
43,0.002337703
44,0.0005426843
45,0.001874069
46,0.000277619
47,0.0002748306
48,0.002546972
49,0.0007779329
50,0.000424638
51,0.0002508429
52,0.0002193211
53,0.0002252978
54,0.0003114109
55,0.0002829555
56,0.0003268064
57,0.006402875
58,0.003057222
59,0.002463947
60,0.003278941
61,0.007485669
62,0.0001715821
63,0.0001747047
64,0.0001847971
65,0.0001980361
66,0.0002013565
67,0.0002136659
68,0.0002853352
69,0.0002820971
70,0.0002847082
71,0.0004019226
72,0.0003406835
73,0.0003740765
74,0.0003455686
75,0.0002840876
76,0.0002822072
77,0.002030883
78,0.001596846
79,0.0002791825
80,0.0003434418
81,0.0004695529
82,0.0004288358
83,0.0004519206
84,0.000552948
85,0.0007533513
86,0.001141262
87,0.00239426
88,0.001842586
89,0.001096625
90,0.001056754
91,0.001325347
92,0.001400612
93,0.001472032
94,0.001582315
95,0.001669302
96,0.001088064
97,0.0009880115
98,0.001081337
99,0.0009849487
