Frame,Variance
0,0
1,0.001827112
2,0.00213816
3,0.002373149
4,0.002473857
5,0.00245501
6,0.002766277
7,0.002884234
8,0.003024254
9,0.002999885
10,0.003072303
11,0.00335713
12,0.003517406
13,0.003275055
14,0.003247267
15,0.003192164
16,0.003467052
17,0.003559062
18,0.003653032
19,0.003385152
20,0.002469082
21,0.002410436
22,0.002182095
23,0.001972365
24,0.001999206
25,0.002080708
26,0.00221589
27,0.001188211
28,0.001132612
29,0.001358927
30,0.001373191
31,0.001454183
32,0.001562945
33,0.001846034
34,0.001566123
35,0.001570852
36,0.001717085
37,0.00158558
38,0.001667741
39,0.001543437
40,0.001753339
41,0.001499406
42,0.001449156
43,0.001558263
44,0.001572697
45,0.001401875
46,0.001465273
47,0.001577572
48,0.001339044
49,0.001656302
50,0.001367835
51,0.001286823
52,0.001243795
53,0.001138112
54,0.001004315
55,0.00113326
56,0.001274138
57,0.001214322
58,0.0013761
59,0.001178288
60,0.001225727
61,0.0008184563
62,0.0008240304
63,0.0007839539
64,0.0008678294
65,0.0008001042
66,0.0008698615
67,0.0008143559
68,0.00125897
69,0.001299015
70,0.001299373
71,0.001634965
72,0.001406159
73,0.001255398
74,0.001252643
75,0.001193771
76,0.001059095
77,0.001058377
78,0.001024748
79,0.001174503
80,0.001306321
81,0.001369747
82,0.001784993
83,0.001606438
84,0.002375442
85,0.00234494
86,0.002468674
87,0.002192402
88,0.002554235
89,0.007962578
90,0.009016903
91,0.01264967
92,0.0138154
93,0.01412238
94,0.01527605
95,0.01473708
96,0.009950577
97,0.009576696
98,0.009527549
99,0.009639303
