Frame,Variance
0,0
1,0.0003002277
2,0.0003550694
3,0.0003626861
4,0.000460848
5,0.0004249334
6,0.0008603157
7,0.0005322807
8,0.0006865154
9,0.0007014104
10,0.0005960647
11,0.0006053661
12,0.0006318936
13,0.0008161195
14,0.0008202236
15,0.0007984635
16,0.0008305074
17,0.0009194828
18,0.0009093703
19,0.0009070804
20,0.0007183256
21,0.0007197332
22,0.0007126761
23,0.0007096812
24,0.0006703486
25,0.0007536179
26,0.0007508256
27,0.0003908264
28,0.0003780468
29,0.0004274067
30,0.0004691498
31,0.0004481165
32,0.0004816403
33,0.0006893164
34,0.0006276588
35,0.000721468
36,0.0007581812
37,0.0006554447
38,0.000457799
39,0.0003508005
40,0.0005553907
41,0.0004041889
42,0.0003508447
43,0.002347452
44,0.0005210334
45,0.0003302407
46,0.0003225377
47,0.0002989093
48,0.002621668
49,0.0008338309
50,0.0003654197
51,0.0002244799
52,0.0002277406
53,0.0002227411
54,0.0003651243
55,0.0003235872
56,0.0003315378
57,0.006396479
58,0.003142077
59,0.00249383
60,0.003287558
61,0.007504541
62,0.000172738
63,0.0001715161
64,0.0001890311
65,0.0001892019
66,0.000195598
67,0.000212018
68,0.0002746242
69,0.0002750454
70,0.0002624864
71,0.0003675607
72,0.0003376092
73,0.0003570737
74,0.0003373589
75,0.0002909584
76,0.0002842023
77,0.00205282
78,0.001592054
79,0.0003141931
80,0.0003195477
81,0.0004417286
82,0.0009773141
83,0.0007568299
84,0.00168773
85,0.001753375
86,0.001941794
87,0.002717369
88,0.001772405
89,0.001061115
90,0.0009818898
91,0.001036993
92,0.001008903
93,0.001061569
94,0.001101195
95,0.0009576692
96,0.0005723955
97,0.0005338239
98,0.0004834311
99,0.0004948115
