Frame,Variance
0,0
1,0.002631636
2,0.002340647
3,0.002318316
4,0.002383681
5,0.002278647
6,0.002359782
7,0.002189551
8,0.001261922
9,0.001230842
10,0.001261738
11,0.001227268
12,0.001235392
13,0.001216504
14,0.001197724
15,0.001534161
16,0.001595164
17,0.001680846
18,0.001624383
19,0.001629164
20,0.001452726
21,0.001501575
22,0.001193829
23,0.001190223
24,0.001166701
25,0.001281542
26,0.001309955
27,0.0013038
28,0.001328177
29,0.001404299
30,0.001455211
31,0.001468034
32,0.001155904
33,0.001080628
34,0.001082958
35,0.001079266
36,0.0008605365
37,0.0008587072
38,0.0008957734
39,0.0008764021
40,0.0009108622
41,0.0009119583
42,0.000958233
43,0.001025883
44,0.0009177551
45,0.0008619063
46,0.000842916
47,0.0008622164
48,0.0008439276
49,0.0008475485
50,0.000831811
51,0.0007972876
52,0.0008035607
53,0.0008105125
54,0.0008494388
55,0.0007976901
56,0.0008364487
57,0.0008891958
58,0.0008962151
59,0.0008813925
60,0.000875076
61,0.0008748166
62,0.000831802
63,0.0008477795
64,0.001254886
65,0.0007793299
66,0.0007785937
67,0.0007908285
68,0.0007465769
69,0.0007729735
70,0.0007620672
71,0.0007899447
72,0.0007027757
73,0.0007819816
74,0.0007516954
75,0.0007361616
76,0.0006737989
77,0.0007856348
78,0.0008742416
79,0.0008700326
80,0.0008309739
81,0.0008713093
82,0.0008587358
83,0.0007871867
84,0.0007603453
85,0.0006961752
86,0.0006864759
87,0.0006997209
88,0.0006478046
89,0.0006775364
90,0.0007481988
91,0.0007372244
92,0.0008786084
93,0.0008270776
94,0.0008050923
95,0.0008177253
96,0.0008608804
97,0.0008992019
98,0.0008858711
99,0.0007826473
100,0.0006956664
101,0.0007883706
102,0.0007924847
103,0.0008088675
104,0.0008996706
105,0.0008736092
106,0.0009334017
107,0.0008956702
108,0.0008965295
109,0.0009073163
110,0.0008630736
111,0.0008474443
112,0.0008163784
113,0.000925757
114,0.0009142243
115,0.0009114016
116,0.001004984
117,0.0009060889
118,0.0009456297
119,0.0009276596
120,0.0009868498
121,0.0009858718
122,0.001043466
123,0.001064115
124,0.001107418
125,0.001092168
126,0.001150369
127,0.001222294
128,0.001254338
129,0.001325066
130,0.001330992
131,0.001393715
132,0.001507682
133,0.001550399
134,0.001532785
135,0.001561208
136,0.001574521
137,0.001624581
138,0.001597331
139,0.001502367
140,0.001259552
141,0.001513827
142,0.001415755
143,0.001325737
144,0.001369856
145,0.001285802
146,0.001334543
147,0.001181787
148,0.001057391
149,0.001183727
150,0.0008806187
151,0.0007939687
152,0.0007283512
153,0.0006192722
154,0.0005976902
155,0.0007211809
156,0.0006051046
157,0.0005076095
158,0.0005456994
159,0.0005021759
160,0.0005295645
161,0.0005362682
162,0.0005908027
163,0.001316545
164,0.001163566
165,0.0009105105
166,0.0006592004
167,0.0005619888
168,0.0006119842
169,0.0006623224
170,0.0006923191
171,0.0006808258
172,0.0006977208
173,0.0007350365
174,0.0006965769
175,0.0007091706
176,0.0007003807
177,0.0006647788
178,0.0005975617
179,0.000622047
180,0.0007692943
181,0.0008971314
182,0.0009777357
183,0.00103798
184,0.001024822
185,0.0008331334
186,0.0008502484
187,0.0008680795
188,0.0008668685
189,0.0008568066
190,0.0007957809
191,0.000798817
192,0.0008090293
193,0.0008154835
194,0.0008204259
195,0.0008196154
196,0.0008324404
197,0.0007971983
198,0.0008103299
199,0.0008049225
200,0.0008106282
201,0.0008331557
202,0.0008159729
203,0.0008006388
204,0.0007038385
205,0.0007089192
206,0.0006882842
207,0.0006784332
208,0.0007039322
209,0.0006890643
210,0.000683239
211,0.0006584916
212,0.0006391824
213,0.0006550215
214,0.0006739799
215,0.0006999004
216,0.0006397686
217,0.0006394864
218,0.0006977935
219,0.0007011191
220,0.0006838875
221,0.0006410755
222,0.0007127317
223,0.0006574166
224,0.0006133043
225,0.0007362572
226,0.0007357542
227,0.0006991064
228,0.0006825507
229,0.0006835504
230,0.0006952203
231,0.0007373148
232,0.0008972485
233,0.0005287105
234,0.0005312032
235,0.0005348022
236,0.0005287868
237,0.0005310754
238,0.0005541609
239,0.0005716076
240,0.0005821633
241,0.0005973175
242,0.0005812708
243,0.000587223
244,0.000600836
245,0.0005969459
246,0.0006715846
247,0.0006508926
248,0.0006598554
249,0.0006669014
250,0.0006365527
251,0.0006364323
252,0.0006235029
253,0.0006878973
254,0.0006837155
255,0.0006809766
256,0.0006596405
257,0.0006164935
258,0.0005881829
259,0.0005883116
260,0.0005779858
261,0.0005953731
262,0.000560559
263,0.0005392241
264,0.0005332129
265,0.0005630615
266,0.0005635722
267,0.0006463397
268,0.000655831
269,0.0006702665
270,0.0006560381
271,0.0006815127
272,0.0006894603
273,0.0006705743
274,0.0007425754
275,0.0007404232
276,0.0007255076
277,0.0007340431
278,0.0007667323
279,0.0007599283
280,0.0007544659
281,0.0007431965
282,0.0007313073
283,0.0007243261
284,0.0006731519
285,0.0006757506
286,0.0006650945
287,0.0006370422
288,0.0005569314
289,0.0005818781
290,0.000543781
291,0.0005365732
292,0.0005833233
293,0.0006220592
294,0.0006076157
295,0.0006699174
296,0.0005998915
297,0.0006012727
298,0.0005635523
299,0.0005545588
300,0.0006134789
301,0.0005684542
302,0.0005553106
303,0.0004277852
304,0.0004144175
305,0.000394814
306,0.0002584913
307,0.0003082643
308,0.000328567
309,0.000393727
310,0.0004833726
311,0.000561365
312,0.0005805347
313,0.0003812526
314,0.000416265
315,0.0004908075
316,0.0005106161
317,0.0006228731
318,0.0006890098
319,0.0008339825
320,0.0005880565
321,0.0005734148
322,0.0006078174
323,0.0007909128
324,0.0008812955
325,0.0008483361
326,0.0008042574
327,0.0006214464
328,0.0005655483
329,0.000558899
330,0.0005627048
331,0.0006375239
332,0.0006061563
333,0.0005465713
334,0.0004220959
335,0.0004475092
336,0.0004111446
337,0.0003974274
338,0.0004428607
339,0.0004747249
340,0.0005110935
341,0.0003714041
342,0.0003754601
343,0.0003639994
344,0.0003579316
345,0.0003637915
346,0.0003735876
347,0.0004027778
348,0.0004336058
349,0.0004181344
350,0.0003940915
351,0.0003876728
352,0.000408301
353,0.0004162281
354,0.0004210251
355,0.0004098451
356,0.0004435437
357,0.0004784905
358,0.000489797
359,0.0005291114
360,0.0006426792
361,0.000643591
362,0.0007521579
363,0.0007336272
364,0.0007424376
365,0.0007593401
366,0.0008564499
367,0.0008756329
368,0.0009484196
369,0.0008671926
370,0.0008531071
371,0.0009210031
372,0.0008611594
373,0.0008946771
374,0.0008882245
375,0.0009361184
376,0.0005790014
377,0.0005606025
378,0.0005636095
379,0.0005583845
380,0.0005752783
381,0.0005910667
382,0.0006081107
383,0.0006667225
384,0.0006348988
385,0.0006428639
386,0.0006729734
387,0.0006654446
388,0.0005815101
389,0.0006203945
390,0.0007177209
391,0.0006764135
392,0.0006823519
393,0.0006814868
394,0.0006757122
395,0.0006884417
396,0.0006937058
397,0.0008804124
398,0.0008835458
399,0.0009147102
400,0.0009223226
401,0.0009101777
402,0.0009329797
403,0.0009992257
404,0.0008068752
405,0.0007209579
406,0.0007531938
407,0.0007578382
408,0.0007858895
409,0.0007942283
410,0.0008146612
411,0.0009222974
412,0.0009290548
413,0.0009066406
414,0.0008818501
415,0.0008834862
416,0.0008756864
417,0.000875336
418,0.0007634701
419,0.0007601728
420,0.0007482055
421,0.0007251202
422,0.0006738865
423,0.0006706716
424,0.0006857987
425,0.0007392271
426,0.0007903779
427,0.0007762887
428,0.0007841614
429,0.0007944381
430,0.0008288848
431,0.000840363
432,0.001127869
433,0.001180754
434,0.001107701
435,0.001024959
436,0.001034746
437,0.000971869
438,0.0009956482
439,0.0009849533
440,0.001000026
441,0.001020144
442,0.000945846
443,0.0008404609
444,0.0008600304
445,0.0008491609
446,0.0007863376
447,0.0007727409
448,0.0007602663
449,0.0007384896
450,0.0007542783
451,0.0007557429
452,0.0007938298
453,0.0006886296
454,0.0006873448
455,0.0007113342
456,0.0007402463
457,0.0007630647
458,0.0007900702
459,0.0007850764
460,0.0008325831
461,0.0008207757
462,0.0008295597
463,0.0008228837
464,0.0008151538
465,0.0008212514
466,0.0008413499
467,0.0007187067
468,0.0007574187
469,0.0007796641
470,0.0007983885
471,0.0008068483
472,0.0008120564
473,0.0008669986
474,0.0008480389
475,0.0007921946
476,0.0007788928
477,0.0007829908
478,0.0007787856
479,0.0007941257
480,0.000881979
481,0.0008414391
482,0.0008031021
483,0.0008191174
484,0.0008026442
485,0.0008235694
486,0.0008578526
487,0.0007924692
488,0.0008144634
489,0.0007952054
490,0.0008333359
491,0.0007389982
492,0.0008337289
493,0.0008394407
494,0.0008375163
495,0.0008761474
496,0.0008796271
497,0.0008977683
498,0.0008849517
499,0.0008795453
500,0.0009139832
501,0.0008753593
502,0.0008364155
503,0.0008387745
504,0.0008692681
505,0.0009058352
506,0.0008989884
507,0.0009574325
508,0.0009046839
509,0.00100242
510,0.000971179
511,0.0009456112
512,0.0008571267
513,0.0008679291
514,0.0007445379
515,0.0007846294
516,0.0007478943
517,0.0007480675
518,0.0005990059
519,0.00062177
520,0.0006369307
521,0.0006001445
522,0.0005807996
523,0.0006668131
