Frame,Variance
0,0
1,0.01330048
2,0.01298036
3,0.01300061
4,0.01304454
5,0.01310904
6,0.01306189
7,0.0131006
8,0.01316144
9,0.01309011
10,0.01316684
11,0.01316245
12,0.01308429
13,0.01315095
14,0.013169
15,0.01292651
16,0.012912
17,0.01293004
18,0.0128597
19,0.0128687
20,0.01287186
21,0.01278203
22,0.01345426
23,0.01342121
24,0.01342545
25,0.01338209
26,0.0133091
27,0.01335737
28,0.01328636
29,0.01294772
30,0.01293383
31,0.01293968
32,0.01294295
33,0.01281979
34,0.01286112
35,0.01284891
36,0.01276853
37,0.0127208
38,0.01278631
39,0.01283888
40,0.01283494
41,0.01283171
42,0.01291382
43,0.01300315
44,0.01302786
45,0.01309154
46,0.01309519
47,0.01309208
48,0.01304953
49,0.01306265
50,0.01316792
51,0.01321903
52,0.01333815
53,0.01337185
54,0.01332677
55,0.01342177
56,0.01346123
57,0.01436021
58,0.01448384
59,0.01419491
60,0.01422558
61,0.01422474
62,0.01430392
63,0.01435616
64,0.01419718
65,0.01414937
66,0.01412536
67,0.01413941
68,0.01427662
69,0.01415896
70,0.01411616
71,0.01421972
72,0.0141896
73,0.01424417
74,0.01428391
75,0.01425952
76,0.01420192
77,0.0141857
78,0.0139656
79,0.01400048
80,0.01399839
81,0.0139771
82,0.01401037
83,0.01401088
84,0.01405462
85,0.01426413
86,0.01433188
87,0.01433047
88,0.01432893
89,0.01424482
90,0.01430811
91,0.01440068
92,0.01505791
93,0.01513293
94,0.015047
95,0.01503168
96,0.01501337
97,0.01504569
98,0.01512904
99,0.01505779
100,0.01676094
101,0.01680785
102,0.01673328
103,0.01671508
104,0.01676835
105,0.01659409
106,0.01645618
107,0.01706665
108,0.01704193
109,0.01703516
110,0.01716281
111,0.01723348
112,0.01720517
113,0.01721684
114,0.01812996
115,0.01815783
116,0.01818657
117,0.01807607
118,0.01811839
119,0.01807851
120,0.01814702
121,0.02008321
122,0.01960862
123,0.01938707
124,0.01926362
125,0.01929014
126,0.01922782
127,0.01934963
128,0.01950385
129,0.01962088
130,0.01971551
131,0.01979301
132,0.01982076
133,0.01994665
134,0.0201413
135,0.01841073
136,0.01856154
137,0.01867687
138,0.01860406
139,0.0186783
140,0.01887324
141,0.01901227
142,0.01748975
143,0.01752298
144,0.0176056
145,0.01765122
146,0.01793858
147,0.01800572
148,0.01804904
149,0.01642595
150,0.01655711
151,0.01676601
152,0.01684636
153,0.01700962
154,0.01706206
155,0.01714431
156,0.01567749
157,0.01573028
158,0.01580754
159,0.01589037
160,0.01587451
161,0.01602734
162,0.01598543
163,0.01441096
164,0.01446259
165,0.01455106
166,0.01464689
167,0.01468597
168,0.01478991
169,0.01490107
170,0.013791
171,0.01385044
172,0.01391439
173,0.01388088
174,0.01392103
175,0.0138062
176,0.01372711
177,0.01314234
178,0.01315676
179,0.01319941
180,0.0132132
181,0.01324786
182,0.01322283
183,0.01323981
184,0.01310797
185,0.01309302
186,0.01306392
187,0.01308236
188,0.01308169
189,0.01313071
190,0.01309236
191,0.01287002
192,0.01290702
193,0.01296078
194,0.01297938
195,0.01292458
196,0.01293789
197,0.01296269
198,0.01322417
199,0.01318422
200,0.01316265
201,0.01320591
202,0.01318169
203,0.01316075
204,0.0131989
205,0.01406235
206,0.01407955
207,0.01404559
208,0.01400036
209,0.01402148
210,0.01404001
211,0.01407477
212,0.01472827
213,0.01474659
214,0.01471679
215,0.01470465
216,0.01465344
217,0.01462704
218,0.01460403
219,0.01626033
220,0.01620495
221,0.01620721
222,0.01621855
223,0.01625879
224,0.01625737
225,0.01625878
226,0.01783406
227,0.01782622
228,0.01778633
229,0.0177331
230,0.01828047
231,0.01836767
232,0.01828502
233,0.02053724
234,0.02048769
235,0.02043748
236,0.0204038
237,0.02048524
238,0.0205066
239,0.02057743
240,0.02150455
241,0.02148399
242,0.02159113
243,0.02148084
244,0.02140896
245,0.02150893
246,0.02150736
247,0.0230832
248,0.02311983
249,0.02309957
250,0.02297026
251,0.02292323
252,0.02281787
253,0.02280593
254,0.02334324
255,0.02337419
256,0.02339808
257,0.02333898
258,0.02332173
259,0.02312838
260,0.02291181
261,0.0233867
262,0.02329645
263,0.02333554
264,0.02337567
265,0.0233598
266,0.02329444
267,0.02335381
268,0.02372505
269,0.02373369
270,0.02356645
271,0.02355329
272,0.02352768
273,0.02330503
274,0.02316281
275,0.02343229
276,0.02335684
277,0.02349665
278,0.02345484
279,0.02345535
280,0.02349809
281,0.02341032
282,0.02365211
283,0.02358884
284,0.02360303
285,0.02353841
286,0.02340972
287,0.02337522
288,0.02324777
289,0.0231257
290,0.02306204
291,0.0227049
292,0.02262976
293,0.02263966
294,0.02267806
295,0.02253895
296,0.02255247
297,0.02248407
298,0.02243499
299,0.02254581
300,0.02261561
301,0.02269869
302,0.0227808
303,0.0226644
304,0.02268542
305,0.02279274
306,0.02212829
307,0.02224194
308,0.02225007
309,0.0221004
310,0.02205564
311,0.02196139
312,0.02173107
313,0.02235994
314,0.02241141
315,0.02236488
316,0.02224509
317,0.02220994
318,0.02229723
319,0.02225109
320,0.02230439
321,0.02235788
322,0.02237835
323,0.02233302
324,0.02226493
325,0.02234084
326,0.02216375
327,0.02232603
328,0.02236673
329,0.02224745
330,0.02227117
331,0.02242744
332,0.02238555
333,0.02234874
334,0.02241086
335,0.02242097
336,0.02240473
337,0.02242173
338,0.02242356
339,0.02238689
340,0.02246048
341,0.02209648
342,0.02219933
343,0.02216669
344,0.02212904
345,0.02222118
346,0.02224844
347,0.02215277
348,0.02269789
349,0.02287932
350,0.02283092
351,0.02304813
352,0.02296911
353,0.02295533
354,0.02293251
355,0.0229132
356,0.02281193
357,0.02287059
358,0.02283727
359,0.02281608
360,0.02276792
361,0.02282877
362,0.02267512
363,0.0227179
364,0.02270394
365,0.02258688
366,0.022239
367,0.02202297
368,0.02209986
369,0.02144137
370,0.02140559
371,0.0213445
372,0.02115679
373,0.02082103
374,0.02028883
375,0.01991548
376,0.02035365
377,0.02030892
378,0.02056166
379,0.02014517
380,0.0203757
381,0.02054354
382,0.02049674
383,0.02014449
384,0.02020295
385,0.02015833
386,0.02024928
387,0.02019531
388,0.01999528
389,0.02029413
390,0.02086958
391,0.02106949
392,0.02089885
393,0.02127707
394,0.02123491
395,0.02110474
396,0.02117022
397,0.02076522
398,0.02069012
399,0.02079689
400,0.02052111
401,0.0206579
402,0.0206793
403,0.02046349
404,0.02031862
405,0.02040425
406,0.02031687
407,0.02052421
408,0.02045342
409,0.02053912
410,0.02057217
411,0.02081917
412,0.02066278
413,0.02074985
414,0.02065653
415,0.02074016
416,0.02084182
417,0.02082757
418,0.0207435
419,0.02081812
420,0.02091654
421,0.02079336
422,0.02084645
423,0.02082504
424,0.02109954
425,0.02129505
426,0.02128567
427,0.02126049
428,0.02146992
429,0.02144177
430,0.02146658
431,0.02145945
432,0.02149818
433,0.02155269
434,0.02133424
435,0.02133283
436,0.02128321
437,0.02128032
438,0.02125114
439,0.02143695
440,0.02122528
441,0.02120879
442,0.02111029
443,0.02101869
444,0.02099079
445,0.02091062
446,0.02127723
447,0.02139818
448,0.02144956
449,0.02129118
450,0.02119445
451,0.02125675
452,0.02122931
453,0.02164462
454,0.02153719
455,0.02139634
456,0.02143914
457,0.02160427
458,0.02148289
459,0.02138703
460,0.02129418
461,0.02130791
462,0.02134252
463,0.02155535
464,0.02150436
465,0.02147543
466,0.02152283
467,0.02105102
468,0.02098707
469,0.02099496
470,0.02108531
471,0.02101289
472,0.02090964
473,0.02090616
474,0.02142267
475,0.0214546
476,0.02141206
477,0.02132078
478,0.02127774
479,0.02124989
