Frame,MSE
0,0
1,0
2,0.01050742
3,0.006229555
4,0.006047312
5,0.005751035
6,0.005595513
7,0.005335427
8,0.004570262
9,0.004209445
10,0.004062994
11,0.004126765
12,0.004073021
13,0.003949428
14,0.003914464
15,0.003796024
16,0.003731054
17,0.003707759
18,0.003580217
19,0.003551234
20,0.003505892
21,0.003461039
22,0.0035971
23,0.003542782
24,0.003444521
25,0.003404925
26,0.003378395
27,0.003461681
28,0.003354253
29,0.003247414
30,0.003233516
31,0.003111018
32,0.003080787
33,0.003074497
34,0.003027815
35,0.002895527
36,0.002657584
37,0.002626238
38,0.002597289
39,0.002528984
40,0.002477379
41,0.002379833
42,0.002424612
43,0.002299458
44,0.002306835
45,0.002386674
46,0.0023053
47,0.002342657
48,0.002346417
49,0.002303282
50,0.002348681
51,0.002331129
52,0.002353782
53,0.002379049
54,0.002357936
55,0.002362941
56,0.00233952
57,0.00237649
58,0.002382721
59,0.002212115
60,0.002191848
61,0.001902199
62,0.001568756
63,0.001521923
64,0.001549379
65,0.001519424
66,0.001518956
67,0.001510112
68,0.001507972
69,0.001561883
70,0.001537211
71,0.001616437
72,0.001638065
73,0.001680937
74,0.00168328
75,0.001684781
76,0.001697315
77,0.001652328
78,0.001589576
79,0.001594896
80,0.001552091
81,0.001797225
82,0.001949822
83,0.001663669
84,0.001631238
85,0.001538952
86,0.001519936
87,0.002055317
88,0.002103905
89,0.001412767
90,0.001335306
91,0.001250674
92,0.001155215
93,0.001023084
94,0.0009267672
95,0.0009122933
96,0.0009304699
97,0.0009589794
98,0.0009198934
99,0.000914566
100,0.0008961453
101,0.0008593765
102,0.0008736881
103,0.002780249
104,0.003022117
105,0.003527392
106,0.00360884
107,0.003772185
108,0.003785893
109,0.003665355
110,0.003402705
111,0.003426731
112,0.0031886
113,0.002657764
114,0.002515722
115,0.004235786
116,0.004156418
117,0.004216465
118,0.004507921
119,0.004230612
120,0.003390134
121,0.004062182
122,0.004295361
123,0.004022818
124,0.002165759
125,0.002445095
126,0.002497034
127,0.002148526
128,0.002093005
129,0.002081044
130,0.002144659
131,0.002171173
132,0.002430891
133,0.002621772
134,0.002599934
135,0.002686512
136,0.002783667
137,0.003017911
138,0.002988081
139,0.0030757
140,0.00297038
141,0.002620994
142,0.00265823
143,0.002390309
144,0.00236598
145,0.002442103
146,0.002254116
147,0.002315023
148,0.002281389
149,0.002308437
150,0.002481504
151,0.002454833
152,0.002818961
153,0.00289126
154,0.003199608
155,0.003839781
156,0.003829768
157,0.003990277
158,0.003762233
159,0.003445995
160,0.003313426
161,0.003164876
162,0.003069457
163,0.003120551
164,0.003054438
165,0.003040093
166,0.002989689
167,0.003012631
168,0.003034696
169,0.003030149
170,0.002998888
171,0.002889995
172,0.002847556
173,0.00285103
174,0.003014499
175,0.003014879
176,0.003104256
177,0.003199578
178,0.003177413
179,0.00312737
180,0.003224143
181,0.003194085
182,0.003157274
183,0.002912404
184,0.002811962
185,0.002875151
186,0.00274812
187,0.00258621
188,0.002559781
189,0.0024821
190,0.002537158
191,0.002532213
192,0.002430463
193,0.002402352
194,0.002354216
195,0.002314841
196,0.002241682
197,0.001949607
198,0.001941505
199,0.001743725
200,0.001713281
201,0.001673948
202,0.001638955
203,0.001594338
204,0.001585338
205,0.001556264
206,0.001555553
207,0.001541817
208,0.001543303
209,0.00154311
210,0.001584938
211,0.001498887
212,0.001535404
213,0.001571443
214,0.001627462
215,0.001649451
216,0.001630854
217,0.001620729
218,0.001565782
219,0.001673874
220,0.00165183
221,0.001731361
222,0.001730041
223,0.001693291
224,0.001653036
225,0.001610741
226,0.001584726
227,0.001576011
228,0.001559168
229,0.001626157
230,0.001637645
231,0.001596587
232,0.001753882
233,0.001861592
234,0.001868465
235,0.001795206
236,0.001766747
237,0.001748844
238,0.001763646
239,0.002394858
240,0.002352427
241,0.002343728
242,0.002355436
243,0.002377583
244,0.002438195
245,0.002286938
246,0.002424265
247,0.002434758
248,0.002678055
249,0.003062284
250,0.003112066
251,0.002910008
252,0.002619545
253,0.002727302
254,0.002941321
255,0.002935772
256,0.002816309
257,0.002385068
258,0.00232201
259,0.002121432
260,0.002018164
261,0.001894396
262,0.001756442
263,0.001782909
264,0.00177424
265,0.001761035
