Frame,MSE
0,0
1,0.007247239
2,0.008418332
3,0.006185168
4,0.006253512
5,0.005977378
6,0.005850042
7,0.005911608
8,0.004736663
9,0.004239973
10,0.004125171
11,0.004158129
12,0.004101065
13,0.003998178
14,0.003940114
15,0.003814513
16,0.003763247
17,0.003736842
18,0.003632844
19,0.003602115
20,0.003527032
21,0.003480098
22,0.003605914
23,0.003566374
24,0.00345857
25,0.003417724
26,0.003391384
27,0.003493062
28,0.003370048
29,0.003277771
30,0.003248533
31,0.003145398
32,0.003086967
33,0.003094572
34,0.003077128
35,0.002910637
36,0.002660124
37,0.002640921
38,0.002603141
39,0.00253416
40,0.00249477
41,0.002392703
42,0.002444021
43,0.002308289
44,0.002316571
45,0.002395776
46,0.002315176
47,0.002347236
48,0.002361296
49,0.00239059
50,0.002360857
51,0.002334622
52,0.002432074
53,0.002437548
54,0.002360469
55,0.002384483
56,0.002162107
57,0.001716909
58,0.001493098
59,0.001438367
60,0.001400741
61,0.001342566
62,0.001253811
63,0.00122831
64,0.001372218
65,0.00121222
66,0.00108298
67,0.001011125
68,0.001002556
69,0.001125754
70,0.001025898
71,0.00105133
72,0.001044551
73,0.001073519
74,0.001158764
75,0.001117815
76,0.001105694
77,0.001043099
78,0.001031895
79,0.001050739
80,0.0009969934
81,0.001186229
82,0.001326628
83,0.001037651
84,0.001018175
85,0.001046721
86,0.001009838
87,0.001404277
88,0.001485549
89,0.0009370365
90,0.0009017048
91,0.0008606475
92,0.0008023623
93,0.0007909316
94,0.0007379192
95,0.0007457373
96,0.0007681876
97,0.0008042153
98,0.0007718752
99,0.000772159
100,0.0007611198
101,0.0007263457
102,0.0007570256
103,0.004171377
104,0.004323907
105,0.004410428
106,0.004352163
107,0.004412046
108,0.004517174
109,0.004493901
110,0.004196139
111,0.00410015
112,0.004060469
113,0.003234276
114,0.003204308
115,0.004974811
116,0.004846501
117,0.004776535
118,0.00501421
119,0.004816606
120,0.003260523
121,0.003777309
122,0.004208787
123,0.004061062
124,0.002009104
125,0.00252733
126,0.002561468
127,0.002273467
128,0.002133841
129,0.002173485
130,0.002375473
131,0.002273268
132,0.002641477
133,0.002832622
134,0.002703716
135,0.002790337
136,0.002965048
137,0.003248644
138,0.003206478
139,0.003279021
140,0.003097772
141,0.002702442
142,0.002714888
143,0.002400015
144,0.002404365
145,0.002464961
146,0.002260399
