Frame,MSE
0,0
1,0
2,0.01880873
3,0.0180467
4,0.01788446
5,0.01698326
6,0.00957999
7,0.008391899
8,0.007735749
9,0.006592597
10,0.005806637
11,0.00506172
12,0.00516169
13,0.004669408
14,0.004673006
15,0.004267695
16,0.005813455
17,0.004159387
18,0.004075791
19,0.003756841
20,0.003728348
21,0.003574553
22,0.003683037
23,0.003687566
24,0.003637287
25,0.004718201
26,0.004397325
27,0.003764057
28,0.003660354
29,0.003500436
30,0.00369126
31,0.003190357
32,0.003320013
33,0.003572988
34,0.003274629
35,0.003308933
36,0.003484546
37,0.00315683
38,0.002506393
39,0.002583569
40,0.002798723
41,0.00280184
42,0.003123349
43,0.002356814
44,0.002541568
45,0.002601748
46,0.00278979
47,0.002690273
48,0.002646438
49,0.002488399
50,0.001890267
51,0.001868858
52,0.001739919
53,0.001747521
54,0.001686761
55,0.001585298
56,0.0016191
57,0.001573563
58,0.001669201
59,0.001520554
60,0.00168001
61,0.001583991
62,0.001567368
63,0.001545414
64,0.001711318
65,0.001650495
66,0.001598582
67,0.001559583
68,0.001605566
69,0.001743601
70,0.001627216
71,0.00177521
72,0.001798243
73,0.001915136
74,0.001999193
75,0.002007004
76,0.001850329
77,0.001865434
78,0.00167745
79,0.001625385
80,0.001805124
81,0.001833418
82,0.002003639
83,0.001694346
84,0.001693841
85,0.001602535
86,0.001651369
87,0.00238306
88,0.002470801
89,0.001512167
90,0.001467313
91,0.001388498
92,0.001350982
93,0.001431237
94,0.001305116
95,0.00133361
96,0.001320405
97,0.001349529
98,0.001403299
99,0.001412348
100,0.001277388
101,0.001333063
102,0.001247435
103,0.008836058
104,0.008793553
105,0.007478005
106,0.007520201
107,0.006452821
108,0.006926223
109,0.006220105
110,0.005267281
111,0.007258177
112,0.006370744
113,0.005759417
114,0.004812548
115,0.006209378
116,0.006228669
117,0.006143042
118,0.006306141
119,0.007694679
120,0.00573301
121,0.005973326
122,0.005712705
123,0.005103745
124,0.01094963
125,0.005293889
126,0.008907876
127,0.005850857
128,0.005021994
129,0.004724128
130,0.007818641
131,0.007392494
132,0.005001283
133,0.006510527
134,0.005930133
135,0.006518404
136,0.008796467
137,0.007642078
138,0.006704449
139,0.00574016
140,0.005510066
141,0.005244709
142,0.005527294
143,0.005227955
144,0.005249735
145,0.005350587
146,0.004226825
147,0.004185969
148,0.004816819
149,0.006916993
150,0.00495409
151,0.00449312
152,0.007164962
153,0.006021491
154,0.006379254
155,0.009110564
156,0.009085939
157,0.009801276
158,0.008903552
159,0.00586065
160,0.006017225
161,0.005766445
162,0.004826506
163,0.005088377
164,0.006333967
165,0.005336508
166,0.004746119
167,0.007197901
168,0.005593383
169,0.004942534
170,0.00498554
171,0.005648358
172,0.005244988
173,0.004119386
174,0.00383205
175,0.007107612
176,0.003428717
177,0.004399505
178,0.003414617
179,0.00337581
180,0.006048958
181,0.006148959
182,0.004984858
183,0.003472447
184,0.003174565
185,0.003417846
186,0.003370505
187,0.003222317
188,0.003343814
189,0.003182154
190,0.003196247
191,0.003050423
192,0.003127855
193,0.002884972
194,0.002858266
195,0.00309469
196,0.003093326
197,0.002123222
198,0.002117195
199,0.001934967
200,0.002122135
201,0.001878748
202,0.00187494
203,0.001759865
204,0.001745526
205,0.001654003
206,0.001708496
207,0.001735966
208,0.001875006
209,0.001688163
210,0.001669361
211,0.001494437
212,0.001487566
213,0.001537316
214,0.001651333
215,0.001867461
216,0.001920673
217,0.002231389
218,0.002371609
219,0.002299871
220,0.002603156
221,0.002677697
222,0.002386466
223,0.002546439
224,0.00240958
225,0.002279592
226,0.002711707
227,0.002522521
228,0.002319396
229,0.002911404
230,0.002931818
231,0.002821197
232,0.002881783
233,0.003400296
234,0.00400279
235,0.003311222
236,0.002790646
237,0.002858597
238,0.002565187
239,0.003775903
240,0.003361754
241,0.003528842
242,0.002836747
243,0.002912534
244,0.003162924
245,0.002776418
246,0.003095753
247,0.003538973
248,0.00378365
249,0.004527675
250,0.004309767
251,0.003683703
252,0.003500592
253,0.002839772
254,0.003176682
255,0.002749581
256,0.002697022
257,0.002225986
258,0.002126906
259,0.002266745
260,0.00187428
261,0.002047112
262,0.002060381
263,0.002795395
264,0.00221382
265,0.001980074
266,0.002250924
