Frame,Variance
0,0
1,0.01390325
2,0.01375047
3,0.01371518
4,0.01380162
5,0.013795
6,0.01378318
7,0.01379884
8,0.01372462
9,0.01371488
10,0.01379761
11,0.01383045
12,0.01391145
13,0.01385497
14,0.01378625
15,0.01385667
16,0.01376151
17,0.01382253
18,0.0137681
19,0.01375888
20,0.01369095
21,0.01385343
22,0.0139549
23,0.01379988
24,0.01346881
25,0.01366576
26,0.01349538
27,0.01343417
28,0.01350768
29,0.01337021
30,0.0135196
31,0.0128444
32,0.01301497
33,0.01278046
34,0.01282615
35,0.01282351
36,0.01276843
37,0.01277608
38,0.01261887
39,0.01256169
40,0.01242001
41,0.01240331
42,0.01221264
43,0.01220791
44,0.0121657
45,0.01204901
46,0.01187929
47,0.01177437
48,0.01168039
49,0.01152894
50,0.01142037
51,0.01146638
52,0.01163002
53,0.0113695
54,0.01133126
55,0.01119944
56,0.011069
57,0.01080185
58,0.01043624
59,0.01048272
60,0.01022015
61,0.01000731
62,0.009855673
63,0.009590135
64,0.00942949
65,0.009387418
66,0.009117094
67,0.00885297
68,0.008387385
69,0.00804113
70,0.007586421
71,0.007475398
72,0.007163331
73,0.007160869
74,0.006918159
75,0.006954989
76,0.007031757
77,0.006956035
78,0.00693631
79,0.006814888
80,0.006801629
81,0.006712192
82,0.00676058
83,0.006626121
84,0.00659153
85,0.006505313
86,0.006527344
87,0.006516622
88,0.006455246
89,0.006273516
90,0.005938098
91,0.005805042
92,0.005625471
93,0.005495015
94,0.005329768
95,0.005276199
96,0.005222792
97,0.005192639
98,0.005195777
99,0.005073978
100,0.005079845
101,0.005134583
102,0.005092669
103,0.005027953
104,0.00497084
105,0.004953177
106,0.004757325
107,0.004706246
108,0.004768659
109,0.004731473
110,0.004655103
111,0.004620448
112,0.004584669
113,0.004574631
114,0.004467949
115,0.004588624
116,0.004569164
117,0.004529888
118,0.004489598
119,0.004518754
120,0.004459076
121,0.004466196
122,0.004422025
123,0.004373907
124,0.004350591
125,0.00425355
126,0.004250933
127,0.004159432
128,0.004091608
129,0.00417849
130,0.004189909
131,0.004118547
132,0.004107373
133,0.004086098
134,0.00401487
135,0.00399711
136,0.003972682
137,0.003920032
138,0.003931758
139,0.003940623
140,0.003910447
141,0.003801402
142,0.003810176
143,0.003787673
144,0.003787534
145,0.003817795
146,0.003788992
147,0.003778373
148,0.003801774
149,0.003766703
150,0.003762383
151,0.003787491
152,0.003819837
153,0.003848241
154,0.003854212
155,0.003851381
156,0.003900815
157,0.003937637
158,0.003981218
159,0.004157546
160,0.004247452
161,0.004245718
162,0.004361776
163,0.004447601
164,0.004500536
165,0.004645151
166,0.004719142
167,0.004612229
168,0.004703602
169,0.004844402
170,0.004975591
171,0.005070765
172,0.00515392
173,0.005385455
174,0.005306044
175,0.005527697
176,0.005520278
177,0.005426118
178,0.005384914
179,0.005362975
180,0.005359828
181,0.005227331
182,0.005226722
183,0.005349058
184,0.005238526
185,0.005135864
186,0.004997061
187,0.004923165
188,0.004844937
189,0.004819608
190,0.004794478
191,0.004745601
192,0.004746669
193,0.004804596
194,0.004872911
195,0.004870281
196,0.004900438
197,0.00500875
198,0.005131078
199,0.005292573
200,0.005422225
201,0.005493426
202,0.00532776
203,0.005374004
204,0.00532553
205,0.005342979
206,0.005188263
207,0.00510513
208,0.005188084
209,0.004857554
210,0.004828801
211,0.004756594
