Frame,Variance
0,0.03066326
1,0.03069628
2,0.03139219
3,0.03271639
4,0.03390038
5,0.03397378
6,0.03427525
7,0.0334834
8,0.03414324
9,0.03393287
10,0.03481125
11,0.03618209
12,0.03677
13,0.0372843
14,0.03974558
15,0.04051679
16,0.041203
17,0.04617843
18,0.05048659
19,0.05283403
20,0.05398354
21,0.05550484
22,0.0556457
23,0.05877684
24,0.05874813
25,0.05862905
26,0.05858092
27,0.06096252
28,0.06375567
29,0.06465835
30,0.06604161
31,0.06065302
32,0.05446314
33,0.04976347
34,0.04310787
35,0.03600836
36,0.02995609
37,0.02500277
38,0.01847421
39,0.01257878
40,0.01160295
41,0.01303066
42,0.01331072
43,0.01513494
44,0.01764514
45,0.1
46,0.02072245
47,0.02184791
48,0.1
49,0.0382679
50,0.04386541
51,0.04855857
52,0.05483751
53,0.06309348
54,0.06840886
55,0.07090432
56,0.07283498
57,0.07335486
58,0.07815345
59,0.07789917
60,0.0792531
61,0.07898642
62,0.08011652
63,0.07998867
64,0.07990715
65,0.0760703
66,0.0797594
67,0.07993785
68,0.07856292
69,0.0779065
70,0.07714748
71,0.07663117
72,0.07798361
73,0.07593174
74,0.07372338
75,0.07245891
76,0.07065579
77,0.07037002
78,0.06751489
79,0.0673364
80,0.06630941
81,0.06284896
82,0.0604759
83,0.05944604
84,0.05709678
85,0.05614138
86,0.05414225
87,0.05507592
88,0.05373289
89,0.04969918
90,0.04986655
91,0.05028194
92,0.04841929
93,0.0431058
94,0.04137671
95,0.03777427
96,0.03422056
97,0.03389335
98,0.03035448
99,0.02752295
100,0.02672634
101,0.02281888
102,0.02022688
103,0.02123544
104,0.02125531
105,0.01968871
106,0.01640609
107,0.0153593
108,0.01313275
109,0.0110599
110,0.008456562
111,0.1
112,0.006218974
113,0.1
114,0.00476782
115,0.004842587
116,0.004654604
117,0.004874006
118,0.006112613
119,0.006890013
120,0.007452168
121,0.007617506
122,0.007743586
123,0.1
124,0.005972071
125,0.1
126,0.004902979
127,0.1
128,0.002329626
129,0.002302892
130,0.00188553
131,0.0020948
132,0.00210623
133,0.001798641
134,0.001975523
135,0.0008323761
136,0.0008488354
137,0.0007265644
138,0.000725195
139,0.0007854664
140,0.0007757699
141,0.0005977625
142,0.0006070141
143,0.0006360313
144,0.000627508
145,0.0005658241
146,0.0005647631
147,0.0005732065
148,0.0006279296
149,0.0006535267
150,0.000923829
151,0.001956275
152,0.002312311
153,0.00303662
154,0.003570125
155,0.005619429
156,0.008218045
157,0.01055272
158,0.01363856
159,0.01667958
160,0.02191401
161,0.0265335
162,0.03558103
163,0.04354326
164,0.05079855
165,0.05750262
166,0.06151618
167,0.06260948
168,0.06438132
169,0.06471515
170,0.06113551
171,0.05710556
172,0.05316368
173,0.04647793
174,0.04901506
175,0.03511455
176,0.02066515
177,0.01124063
178,0.006862996
179,0.005438691
180,0.006896426
181,0.01026755
182,0.01356831
183,0.01724455
184,0.0209571
185,0.02066965
186,0.01928471
187,0.01921851
188,0.01509073
189,0.01128994
190,0.00887092
191,0.00606972
192,0.004475589
193,0.004818617
194,0.00538763
195,0.00565384
196,0.005983511
197,0.006342647
198,0.006797922
199,0.007370665
200,0.008100619
201,0.00907187
202,0.009660576
203,0.0099902
204,0.00991562
205,0.01001112
206,0.009894947
207,0.009968309
208,0.01041364
209,0.01033697
210,0.01034673
211,0.01014132
212,0.01002553
213,0.01014616
214,0.01015013
215,0.0102261
216,0.01025515
217,0.01043934
218,0.01034229
219,0.01075107
220,0.01065677
221,0.01069956
222,0.011181
223,0.01112972
224,0.01095431
225,0.01064666
226,0.01084478
227,0.01090938
228,0.01089715
229,0.0112065
230,0.01133874
231,0.0114323
232,0.01144788
233,0.01134006
234,0.0112043
235,0.01130878
236,0.01093753
237,0.01076811
238,0.01072284
239,0.01081853
240,0.01065451
241,0.0103575
242,0.01039961
243,0.01065347
244,0.01041881
245,0.01008181
246,0.01006703
247,0.009700419
248,0.00943784
249,0.009061756
250,0.008600574
251,0.009552257
252,0.009969247
253,0.01033732
254,0.01019096
255,0.01026806
256,0.0101899
257,0.01034323
258,0.01000273
259,0.00991196
260,0.009465748
261,0.00935627
262,0.009892365
263,0.01010227
264,0.01055146
265,0.01094628
266,0.01116844
267,0.01122657
268,0.01149169
269,0.01164602
270,0.01161554
271,0.01108665
272,0.01110766
273,0.01111629
274,0.01100975
275,0.01093678
276,0.01088439
277,0.01082415
278,0.01075704
279,0.01097588
280,0.01114069
281,0.01122611
282,0.01142687
283,0.01157259
284,0.01162492
285,0.01070259
286,0.01036417
287,0.01008218
288,0.01057761
289,0.01116102
290,0.01173494
291,0.01068518
292,0.008907736
293,0.01334909
294,0.02988366
295,0.04575867
296,0.0552128
297,0.04554965
298,0.03596129
299,0.02947893
300,0.02552665
301,0.02424934
302,0.02286104
303,0.02049567
304,0.02050091
305,0.02774533
306,0.02921346
307,0.031483
308,0.03615769
309,0.04007048
310,0.04638159
311,0.04161539
312,0.04006005
313,0.03619952
314,0.03474348
315,0.02959669
316,0.1
317,0.1
318,0.02206137
319,0.1
320,0.1
321,0.1
322,0.01479653
323,0.1
324,0.01416054
325,0.01470809
326,0.01463957
327,0.01603444
328,0.01673513
329,0.01779542
330,0.01866458
331,0.01921635
332,0.01978334
333,0.01981341
334,0.02008476
335,0.02046418
336,0.02066319
337,0.02050857
338,0.02022712
339,0.01994747
340,0.01956861
341,0.019874
342,0.01966312
343,0.01986377
344,0.01912947
345,0.01725069
346,0.01658398
347,0.01694489
348,0.01651425
349,0.01606799
350,0.01220095
351,0.009614051
352,0.008632377
353,0.007208477
354,0.007617313
355,0.006870179
356,0.006874387
357,0.007573147
358,0.008581604
359,0.008361835
360,0.006657152
361,0.01060168
362,0.01071094
363,0.01428723
364,0.01582752
365,0.01453522
366,0.1
367,0.1
368,0.01012422
369,0.007138047
370,0.005844344
371,0.005154336
372,0.003915905
373,0.005195197
374,0.007193437
375,0.01928412
376,0.02121326
377,0.02226548
378,0.02066253
379,0.01930808
380,0.01674129
381,0.01447889
382,0.0173199
383,0.01554859
384,0.01191917
385,0.009263847
386,0.008814986
387,0.008639568
388,0.009816334
389,0.01103569
390,0.01060474
391,0.008311572
392,0.00671186
393,0.007764739
394,0.00621018
395,0.00919557
396,0.00984198
397,0.009430301
398,0.00842729
399,0.005709062
400,0.003450336
401,0.001813799
402,0.003956236
403,0.005749322
404,0.007826861
405,0.1
406,0.01406461
407,0.01682978
408,0.1
409,0.01584044
410,0.1
411,0.0173144
412,0.1
413,0.01857132
414,0.01810851
415,0.01699985
416,0.01696205
417,0.01558233
418,0.01422188
419,0.01120735
420,0.009073215
421,0.008830989
422,0.009053177
423,0.009227506
424,0.008437444
425,0.008916651
426,0.008385727
427,0.1
428,0.007653025
429,0.1
430,0.006644439
431,0.006337464
432,0.006888082
433,0.006238612
434,0.006674171
435,0.00674597
436,0.007469994
437,0.007973003
438,0.008671568
439,0.009983301
440,0.01059761
441,0.01157888
442,0.01161139
443,0.01119943
444,0.01142167
445,0.01244653
446,0.01216775
447,0.01227559
448,0.01257766
449,0.01223865
450,0.01234868
451,0.01300459
452,0.01500737
453,0.01744891
454,0.02005629
455,0.0225289
