Frame,Variance
0,0
1,0.001540986
2,0.001220962
3,0.001220766
4,0.001193568
5,0.001152688
6,0.001214065
7,0.001354222
8,0.001544412
9,0.00146508
10,0.001496262
11,0.001232422
12,0.001233762
13,0.001202073
14,0.00100276
15,0.001210654
16,0.001219144
17,0.001496647
18,0.001409376
19,0.00140848
20,0.001231088
21,0.001236457
22,0.001028949
23,0.001032649
24,0.0009816614
25,0.001146267
26,0.001144371
27,0.00114645
28,0.001104312
29,0.001224472
30,0.001283129
31,0.001311614
32,0.0009784428
33,0.0008411465
34,0.0008498454
35,0.0008316218
36,0.0006130243
37,0.0006343035
38,0.0006648471
39,0.0006145596
40,0.0006564751
41,0.0007047045
42,0.0006725689
43,0.0008064129
44,0.000710971
45,0.0006185377
46,0.000626643
47,0.0006641594
48,0.0006041738
49,0.000631285
50,0.0005819729
51,0.0005657136
52,0.0005927607
53,0.0005899954
54,0.0006013182
55,0.0005547724
56,0.000615403
57,0.0007074301
58,0.0007201408
59,0.0007205306
60,0.000692337
61,0.0005958493
62,0.0005555355
63,0.0005727996
64,0.0007816288
65,0.0007588032
66,0.0007747629
67,0.000790412
68,0.0007449672
69,0.0007606468
70,0.0007620672
71,0.0007899447
72,0.0007027757
73,0.000782826
74,0.0007518278
75,0.0007361616
76,0.0006734548
77,0.000788238
78,0.0008742416
79,0.0008700326
80,0.0008309739
81,0.0008713093
82,0.0008587358
83,0.0007871867
84,0.0007631638
85,0.0006955876
86,0.0006888137
87,0.0007001022
88,0.000648895
89,0.0006775364
90,0.0007481988
91,0.0007372244
92,0.0008813809
93,0.0008270776
94,0.0008065636
95,0.0008177253
96,0.0008629603
97,0.0008992019
98,0.0008858711
99,0.0007754661
100,0.0006964173
101,0.0007883706
102,0.0007924847
103,0.0007856013
104,0.000877586
105,0.0008726094
106,0.000860769
107,0.0008705774
108,0.0008552312
109,0.0008593148
110,0.0008426001
111,0.0008150738
112,0.0007775024
113,0.0009993765
114,0.0009838567
115,0.0009114016
116,0.001006111
117,0.0009060889
118,0.0009456297
119,0.0009276596
120,0.0009949451
121,0.0009785136
122,0.001048391
123,0.001066291
124,0.001107418
125,0.001092168
126,0.001151778
127,0.001008227
128,0.001018742
129,0.001024883
130,0.001007174
131,0.001049548
132,0.001145091
133,0.001171243
134,0.001043193
135,0.0009754796
136,0.000985393
137,0.0009837814
138,0.0009221884
139,0.0008993716
140,0.0007877081
141,0.0009317354
142,0.0008342531
143,0.0007771951
144,0.0009125889
145,0.0008136516
146,0.0008079748
147,0.0008196256
148,0.0008061151
149,0.0009646945
150,0.0007898565
151,0.0007593229
152,0.0007856954
153,0.0006814559
154,0.0005475796
155,0.0005361111
156,0.0005183704
157,0.0004857493
158,0.0005009664
159,0.0004019252
160,0.000424465
161,0.0004338473
162,0.000499343
163,0.001227684
164,0.001073621
165,0.0008197405
166,0.0005570696
167,0.0004612987
168,0.0002941945
169,0.0004170174
170,0.0003103378
171,0.0003055817
172,0.0003265559
173,0.0003568693
174,0.0003601178
175,0.0003459972
176,0.0003125087
177,0.000284725
178,0.0002899739
179,0.0003058928
180,0.0003479996
181,0.0003659012
182,0.0004038856
183,0.000370194
184,0.0005278158
185,0.0003912615
186,0.0003698209
187,0.000343528
188,0.0003535598
189,0.0003554541
190,0.0003490469
191,0.0003058249
192,0.0006908706
193,0.0007239031
194,0.0007558267
195,0.0006330426
196,0.0005870883
197,0.0008113103
198,0.0004133671
199,0.0003950331
200,0.0003827976
201,0.0004044878
202,0.0003829551
